equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rtt_5020_equity_convex,354459.75249999965,3444.597524999997,-98.45920388285646,rema_50100150__rtt_5020,32.0,rema_50100150__rtt_5020_equity_convex
rema_50100150__rbo_50_equity_concave,326660.98119999986,3166.609811999999,-98.37826131509658,rema_50100150__rbo_50,47.0,rema_50100150__rbo_50_equity_concave
rema_50100150__rtt_5020_equity_concave,324532.5732000001,3145.325732000001,-98.54243340334115,rema_50100150__rtt_5020,32.0,rema_50100150__rtt_5020_equity_concave
rema_50100150__rbo_100_equity_concave,311483.28410000005,3014.8328410000004,-98.37826131509658,rema_50100150__rbo_100,25.0,rema_50100150__rbo_100_equity_concave
rsma_50100150__rtt_5020_equity_convex,298361.2496999999,2883.612496999999,-98.3162439358259,rsma_50100150__rtt_5020,23.0,rsma_50100150__rtt_5020_equity_convex
rema_50100150__rbo_20_equity_concave,293652.17500000005,2836.5217500000003,-98.30058599070878,rema_50100150__rbo_20,51.0,rema_50100150__rbo_20_equity_concave
rsma_50100150__rbo_50_equity_convex,289473.6909999999,2794.7369099999987,-98.3162439358259,rsma_50100150__rbo_50,30.0,rsma_50100150__rbo_50_equity_convex
rema_50100150__rsma_50100_equity_concave,281833.8143999999,2718.338143999999,-98.11629293691489,rema_50100150__rsma_50100,25.0,rema_50100150__rsma_50100_equity_concave
rema_50100150__rsma_50100150_equity_concave,281833.8143999999,2718.338143999999,-98.11629293691489,rema_50100150__rsma_50100150,25.0,rema_50100150__rsma_50100150_equity_concave
rema_100150__rtt_5020_equity_convex,279189.63699999964,2691.8963699999963,-98.45920388285646,rema_100150__rtt_5020,36.0,rema_100150__rtt_5020_equity_convex
rsma_100150__rtt_5020_equity_convex,279189.63699999964,2691.8963699999963,-98.45920388285646,rsma_100150__rtt_5020,36.0,rsma_100150__rtt_5020_equity_convex
rbo_50__rbo_50_equity_concave,271251.3551999999,2612.5135519999985,-96.97936274894248,rbo_50__rbo_50,5.0,rbo_50__rbo_50_equity_concave
rbo_50__rtt_5020_equity_concave,271251.3551999999,2612.5135519999985,-96.97936274894248,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020_equity_concave
rsma_50100150__rtt_5020_equity_concave,268938.78209999984,2589.3878209999984,-98.3157824317103,rsma_50100150__rtt_5020,23.0,rsma_50100150__rtt_5020_equity_concave
rsma_50100150__rbo_50_equity_concave,268282.9484999999,2582.829484999999,-98.3157824317103,rsma_50100150__rbo_50,30.0,rsma_50100150__rbo_50_equity_concave
rema_100150__rtt_5020_equity_concave,255506.88040000008,2455.068804000001,-98.54243340334115,rema_100150__rtt_5020,36.0,rema_100150__rtt_5020_equity_concave
rsma_100150__rtt_5020_equity_concave,255506.88040000008,2455.068804000001,-98.54243340334115,rsma_100150__rtt_5020,36.0,rsma_100150__rtt_5020_equity_concave
rbo_50__rbo_50_equity_convex,254961.55609999996,2449.6155609999996,-96.9553233872452,rbo_50__rbo_50,5.0,rbo_50__rbo_50_equity_convex
rbo_50__rtt_5020_equity_convex,254961.55609999996,2449.6155609999996,-96.9553233872452,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020_equity_convex
rsma_50100150__rbo_100_equity_concave,251798.4045999999,2417.984045999999,-98.3157824317103,rsma_50100150__rbo_100,15.0,rsma_50100150__rbo_100_equity_concave
rema_50100150__rbo_50_equity_convex,247130.06920000006,2371.3006920000007,-97.59629529934286,rema_50100150__rbo_50,47.0,rema_50100150__rbo_50_equity_convex
rsma_50100150__rbo_100_equity_convex,242009.29420000006,2320.0929420000007,-98.3162439358259,rsma_50100150__rbo_100,15.0,rsma_50100150__rbo_100_equity_convex
rsma_50100150__rsma_50100_equity_concave,236391.227,2263.9122700000003,-98.14223518013952,rsma_50100150__rsma_50100,4.0,rsma_50100150__rsma_50100_equity_concave
rsma_50100150__rsma_50100150_equity_concave,236391.227,2263.9122700000003,-98.14223518013952,rsma_50100150__rsma_50100150,4.0,rsma_50100150__rsma_50100150_equity_concave
rsma_100150__rbo_20_equity_concave,231286.92369999996,2212.8692369999994,-98.30058599070878,rsma_100150__rbo_20,55.0,rsma_100150__rbo_20_equity_concave
