equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rbo_20_equity_concave,15817.50089999995,58.1750089999995,-66.74686890267772,rsma_50100150__rbo_20,51.0,rsma_50100150__rbo_20_equity_concave
rsma_50100150__rbo_20_equity_convex,13960.667399999964,39.60667399999964,-58.024415537844455,rsma_50100150__rbo_20,51.0,rsma_50100150__rbo_20_equity_convex
rbo_50__rsma_50100_equity_constant,13109.827699999998,31.098276999999985,-25.379066888430092,rbo_50__rsma_50100,10.0,rbo_50__rsma_50100_equity_constant
rtt_5020__rsma_50100_equity_constant,12843.809400000006,28.438094000000056,-24.17899992581374,rtt_5020__rsma_50100,8.0,rtt_5020__rsma_50100_equity_constant
rbo_50__rbo_100_equity_constant,12690.695099999994,26.906950999999935,-22.960222223268826,rbo_50__rbo_100,10.0,rbo_50__rbo_100_equity_constant
rbo_20__rsma_50100_equity_constant,12675.73650000001,26.7573650000001,-23.19229844411731,rbo_20__rsma_50100,35.0,rbo_20__rsma_50100_equity_constant
rbo_50__rema_50100_equity_constant,12616.535499999994,26.165354999999945,-22.5158199386551,rbo_50__rema_50100,10.0,rbo_50__rema_50100_equity_constant
rbo_20__rema_50100_equity_constant,12444.542000000009,24.445420000000095,-21.792306441793627,rbo_20__rema_50100,31.0,rbo_20__rema_50100_equity_constant
rema_50100__rsma_50100_equity_constant,12337.870400000007,23.378704000000063,-23.198642594376906,rema_50100__rsma_50100,16.0,rema_50100__rsma_50100_equity_constant
rsma_50100__rsma_50100_equity_constant,12325.369200000006,23.253692000000072,-22.956348577159417,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_constant
rbo_50__rema_100150_equity_constant,12313.636999999997,23.13636999999997,-20.951624057710056,rbo_50__rema_100150,10.0,rbo_50__rema_100150_equity_constant
rtt_5020__rbo_100_equity_constant,12311.805500000008,23.118055000000084,-20.870859093670386,rtt_5020__rbo_100,8.0,rtt_5020__rbo_100_equity_constant
rbo_50__rsma_100150_equity_constant,12158.344599999999,21.583445999999995,-20.951624057710056,rbo_50__rsma_100150,10.0,rbo_50__rsma_100150_equity_constant
rtt_5020__rema_50100_equity_constant,12148.014900000007,21.480149000000083,-19.82332717848371,rtt_5020__rema_50100,8.0,rtt_5020__rema_50100_equity_constant
rbo_20__rbo_100_equity_constant,12072.834100000013,20.728341000000118,-19.333160455825844,rbo_20__rbo_100,35.0,rbo_20__rbo_100_equity_constant
rbo_20__rema_100150_equity_constant,11945.825500000004,19.458255000000047,-19.279040110214144,rbo_20__rema_100150,30.0,rbo_20__rema_100150_equity_constant
rbo_20__rsma_100150_equity_constant,11862.305900000005,18.623059000000055,-19.279040110214144,rbo_20__rsma_100150,30.0,rbo_20__rsma_100150_equity_constant
rtt_5020__rema_100150_equity_constant,11811.567000000005,18.11567000000005,-19.279040110214144,rtt_5020__rema_100150,8.0,rtt_5020__rema_100150_equity_constant
