combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,4,5,0,0,83,107,337,15.749525616698293,20.30360531309298,63.946869070208734,20.75,21.4,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,37,15,22,0,0,79,121,327,14.990512333965844,22.960151802656547,62.04933586337761,5.266666666666667,5.5,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,54,23,31,0,0,70,115,342,13.282732447817835,21.821631878557877,64.89563567362428,3.0434782608695654,3.7096774193548385,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,92,141,294,17.4573055028463,26.755218216318788,55.787476280834916,30.666666666666668,47.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,48,23,25,0,0,70,171,286,13.282732447817835,32.44781783681214,54.26944971537002,3.0434782608695654,6.84,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,40,23,17,0,0,70,187,270,13.282732447817835,35.483870967741936,51.23339658444023,3.0434782608695654,11.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,28,2,25,1,0,104,105,318,19.734345351043643,19.924098671726757,60.341555977229596,52.0,4.2,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,34,23,11,0,0,70,185,272,13.282732447817835,35.10436432637571,51.61290322580645,3.0434782608695654,16.818181818181817,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,27,23,4,0,0,70,211,246,13.282732447817835,40.03795066413662,46.67931688804554,3.0434782608695654,52.75,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,51,2,48,1,0,104,60,363,19.734345351043643,11.385199240986717,68.88045540796965,52.0,1.25,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,27,8,19,0,0,62,84,381,11.76470588235294,15.939278937381404,72.29601518026566,7.75,4.421052631578948,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,2,2,0,0,69,101,357,13.092979127134724,19.165085388994306,67.74193548387096,34.5,50.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,31,10,21,0,0,61,106,360,11.57495256166983,20.113851992409867,68.3111954459203,6.1,5.0476190476190474,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,2,2,0,0,69,101,357,13.092979127134724,19.165085388994306,67.74193548387096,34.5,50.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,15,10,5,0,0,61,151,315,11.57495256166983,28.6527514231499,59.772296015180274,6.1,30.2,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,35,10,25,0,0,61,195,271,11.57495256166983,37.00189753320683,51.423149905123346,6.1,7.8,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,31,2,28,1,0,71,74,382,13.472485768500949,14.041745730550284,72.48576850094877,35.5,2.642857142857143,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,12,10,2,0,0,61,154,312,11.57495256166983,29.22201138519924,59.20303605313093,6.1,77.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,11,10,1,0,0,61,208,258,11.57495256166983,39.46869070208729,48.95635673624288,6.1,208.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,53,2,50,1,0,71,51,405,13.472485768500949,9.67741935483871,76.85009487666035,35.5,1.02,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,26,7,19,0,0,46,67,414,8.72865275142315,12.7134724857685,78.55787476280834,6.571428571428571,3.526315789473684,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,14,1,13,0,0,52,73,402,9.867172675521822,13.851992409867172,76.280834914611,52.0,5.615384615384615,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,1,2,0,0,52,86,389,9.867172675521822,16.318785578747626,73.81404174573055,52.0,43.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,14,1,13,0,0,52,73,402,9.867172675521822,13.851992409867172,76.280834914611,52.0,5.615384615384615,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,3,1,2,0,0,52,115,360,9.867172675521822,21.821631878557877,68.3111954459203,52.0,57.5,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,8,1,7,0,0,52,177,298,9.867172675521822,33.586337760910816,56.54648956356736,52.0,25.285714285714285,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,39,1,38,0,0,52,48,427,9.867172675521822,9.108159392789373,81.02466793168881,52.0,1.263157894736842,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,3,1,2,0,0,52,115,360,9.867172675521822,21.821631878557877,68.3111954459203,52.0,57.5,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,2,1,1,0,0,52,208,267,9.867172675521822,39.46869070208729,50.664136622390885,52.0,208.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,44,1,43,0,0,52,43,432,9.867172675521822,8.159392789373813,81.97343453510436,52.0,1.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,7,3,4,0,0,56,67,404,10.62618595825427,12.7134724857685,76.66034155597723,18.666666666666668,16.75,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,2,2,0,0,65,101,361,12.333965844402277,19.165085388994306,68.50094876660341,32.5,50.5,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,20,9,11,0,0,56,95,376,10.62618595825427,18.026565464895636,71.34724857685009,6.222222222222222,8.636363636363637,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,4,2,2,0,0,65,101,361,12.333965844402277,19.165085388994306,68.50094876660341,32.5,50.5,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,14,9,5,0,0,56,151,320,10.62618595825427,28.6527514231499,60.72106261859582,6.222222222222222,30.2,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,23,9,14,0,0,56,184,287,10.62618595825427,34.9146110056926,54.459203036053125,6.222222222222222,13.142857142857142,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,25,2,22,1,0,67,68,392,12.7134724857685,12.903225806451612,74.38330170777988,33.5,3.090909090909091,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,11,9,2,0,0,56,154,317,10.62618595825427,29.22201138519924,60.151802656546494,6.222222222222222,77.0,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,10,9,1,0,0,56,208,263,10.62618595825427,39.46869070208729,49.905123339658445,6.222222222222222,208.0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,37,2,34,1,0,67,35,425,12.7134724857685,6.641366223908918,80.64516129032258,33.5,1.0294117647058822,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,52,7,45,0,0,46,104,377,8.72865275142315,19.734345351043643,71.5370018975332,6.571428571428571,2.311111111111111,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,29,1,28,0,0,52,121,354,9.867172675521822,22.960151802656547,67.17267552182163,52.0,4.321428571428571,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,33,1,32,0,0,52,117,358,9.867172675521822,22.2011385199241,67.93168880455408,52.0,3.65625,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,29,1,28,0,0,52,121,354,9.867172675521822,22.960151802656547,67.17267552182163,52.0,4.321428571428571,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,3,1,2,0,0,52,148,327,9.867172675521822,28.083491461100568,62.04933586337761,52.0,74.0,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,25,1,24,0,0,52,193,282,9.867172675521822,36.62239089184061,53.510436432637576,52.0,8.041666666666666,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,54,1,53,0,0,52,115,360,9.867172675521822,21.821631878557877,68.3111954459203,52.0,2.169811320754717,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,4,1,3,0,0,52,149,326,9.867172675521822,28.27324478178368,61.859582542694504,52.0,49.666666666666664,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,2,1,1,0,0,52,208,267,9.867172675521822,39.46869070208729,50.664136622390885,52.0,208.0,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,74,1,73,0,0,52,84,391,9.867172675521822,15.939278937381404,74.19354838709677,52.0,1.1506849315068493,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,57,7,50,0,0,46,137,344,8.72865275142315,25.996204933586338,65.2751423149905,6.571428571428571,2.74,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,61,1,60,0,0,52,159,316,9.867172675521822,30.170777988614798,59.96204933586338,52.0,2.65,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,51,1,50,0,0,52,123,352,9.867172675521822,23.33965844402277,66.79316888045541,52.0,2.46,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,44,1,43,0,0,52,176,299,9.867172675521822,33.396584440227706,56.73624288425047,52.0,4.093023255813954,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,36,1,35,0,0,52,137,338,9.867172675521822,25.996204933586338,64.13662239089184,52.0,3.914285714285714,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,3,1,2,0,0,52,171,304,9.867172675521822,32.44781783681214,57.685009487666036,52.0,85.5,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,55,1,54,0,0,52,119,356,9.867172675521822,22.58064516129032,67.55218216318785,52.0,2.2037037037037037,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,24,1,23,0,0,52,197,278,9.867172675521822,37.381404174573056,52.75142314990512,52.0,8.565217391304348,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,7,1,6,0,0,52,213,262,9.867172675521822,40.41745730550284,49.71537001897533,52.0,35.5,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,71,1,70,0,0,52,102,373,9.867172675521822,19.35483870967742,70.77798861480076,52.0,1.457142857142857,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,43,15,28,0,0,97,93,337,18.40607210626186,17.647058823529413,63.946869070208734,6.466666666666667,3.3214285714285716,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,57,23,34,0,0,90,87,350,17.077798861480076,16.508538899430743,66.41366223908919,3.9130434782608696,2.5588235294117645,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,82,31,51,0,0,82,89,356,15.559772296015181,16.888045540796963,67.55218216318785,2.6451612903225805,1.7450980392156863,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,26,9,17,0,0,104,104,319,19.734345351043643,19.734345351043643,60.53130929791271,11.555555555555555,6.117647058823529,True,
rsma_50100150__rsma_50100,rsma_50100150,rsma_50100,rrg,rsma_50100150__rsma_50100,65,31,34,0,0,82,109,336,15.559772296015181,20.683111954459203,63.75711574952562,2.6451612903225805,3.2058823529411766,True,
rsma_50100150__rsma_100150,rsma_50100150,rsma_100150,rrg,rsma_50100150__rsma_100150,55,31,24,0,0,82,89,356,15.559772296015181,16.888045540796963,67.55218216318785,2.6451612903225805,3.7083333333333335,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,5,2,3,0,0,111,111,305,21.062618595825427,21.062618595825427,57.874762808349146,55.5,37.0,True,
rsma_50100150__rema_50100,rsma_50100150,rema_50100,rrg,rsma_50100150__rema_50100,53,31,22,0,0,82,124,321,15.559772296015181,23.52941176470588,60.91081593927894,2.6451612903225805,5.636363636363637,True,
