equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rsma_50100150_equity_concave,29642.297099999974,196.42297099999973,-96.17432125376372,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150_equity_concave
rema_50100__rsma_50100150_equity_convex,28561.76300000002,185.61763000000022,-95.01617954216388,rema_50100__rsma_50100150,113.0,rema_50100__rsma_50100150_equity_convex
rsma_50100150__rsma_50100150_equity_convex,27272.500399999994,172.72500399999996,-95.84199439389847,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150_equity_convex
rema_50100__rsma_50100150_equity_concave,26922.437399999963,169.22437399999964,-95.71789891587362,rema_50100__rsma_50100150,113.0,rema_50100__rsma_50100150_equity_concave
rtt_5020__rbo_100_equity_convex,24451.75759999996,144.51757599999962,-91.3600121538369,rtt_5020__rbo_100,14.0,rtt_5020__rbo_100_equity_convex
rsma_100150__rema_50100150_equity_convex,24073.25949999999,140.7325949999999,-84.92716102329688,rsma_100150__rema_50100150,77.0,rsma_100150__rema_50100150_equity_convex
rbo_50__rsma_50100150_equity_concave,24027.248700000026,140.27248700000024,-95.77219703546169,rbo_50__rsma_50100150,104.0,rbo_50__rsma_50100150_equity_concave
rema_50100150__rema_50100150_equity_convex,21701.638100000033,117.01638100000031,-123.34957511140034,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_convex
rbo_50__rsma_50100150_equity_convex,21210.6284,112.106284,-93.94490028751378,rbo_50__rsma_50100150,104.0,rbo_50__rsma_50100150_equity_convex
rema_50100150__rema_50100150_equity_concave,20898.6343,108.98634300000003,-126.58211815531921,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_concave
rsma_100150__rema_50100150_equity_concave,20762.212700000007,107.62212700000009,-84.92716102329688,rsma_100150__rema_50100150,77.0,rsma_100150__rema_50100150_equity_concave
rbo_100__rsma_50100150_equity_convex,18034.44299999999,80.34442999999989,-62.530318561293306,rbo_100__rsma_50100150,109.0,rbo_100__rsma_50100150_equity_convex
rbo_100__rsma_50100150_equity_concave,15859.477799999979,58.59477799999979,-64.30349036067832,rbo_100__rsma_50100150,109.0,rbo_100__rsma_50100150_equity_concave
rema_100150__rsma_50100150_equity_convex,15799.19420000003,57.99194200000031,-92.35600964641488,rema_100150__rsma_50100150,109.0,rema_100150__rsma_50100150_equity_convex
rema_50100150__rsma_50100150_equity_convex,15553.039899999989,55.530398999999896,-63.34560379322188,rema_50100150__rsma_50100150,44.0,rema_50100150__rsma_50100150_equity_convex
rtt_5020_equity_convex,15382.743400000021,53.82743400000021,-76.97552754847776,rtt_5020,,rtt_5020_equity_convex
rtt_5020__rbo_100_equity_concave,15366.867200000042,53.66867200000043,-92.4264921538161,rtt_5020__rbo_100,14.0,rtt_5020__rbo_100_equity_concave
rema_50100150__rsma_100150_equity_convex,15328.012300000004,53.280123000000046,-63.011295475824355,rema_50100150__rsma_100150,30.0,rema_50100150__rsma_100150_equity_convex
rtt_5020_equity_concave,15199.560100000026,51.99560100000027,-77.1611448424341,rtt_5020,,rtt_5020_equity_concave
rtt_5020__rema_50100150_equity_concave,15129.373499999929,51.293734999999295,-120.64506941545562,rtt_5020__rema_50100150,91.0,rtt_5020__rema_50100150_equity_concave
rbo_50__rbo_100_equity_convex,14993.955699999971,49.93955699999972,-96.31045397474641,rbo_50__rbo_100,14.0,rbo_50__rbo_100_equity_convex
rbo_20__rbo_100_equity_convex,14935.811499999963,49.35811499999963,-89.08487075072273,rbo_20__rbo_100,21.0,rbo_20__rbo_100_equity_convex
rtt_5020__rsma_50100150_equity_convex,14858.643699999971,48.58643699999972,-79.6751826206577,rtt_5020__rsma_50100150,85.0,rtt_5020__rsma_50100150_equity_convex
rema_50100150__rsma_50100150_equity_concave,14739.47489999997,47.39474899999969,-68.54307958713113,rema_50100150__rsma_50100150,44.0,rema_50100150__rsma_50100150_equity_concave
rema_50100150__rbo_20_equity_convex,13973.032999999994,39.730329999999945,-77.48914389556273,rema_50100150__rbo_20,20.0,rema_50100150__rbo_20_equity_convex
rema_50100150__rbo_20_equity_concave,13720.48000000001,37.204800000000105,-77.48914389556273,rema_50100150__rbo_20,20.0,rema_50100150__rbo_20_equity_concave
rbo_20__rbo_100_equity_concave,13536.407200000052,35.36407200000053,-90.15809440875495,rbo_20__rbo_100,21.0,rbo_20__rbo_100_equity_concave
