equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_constant,19357.753099999994,93.57753099999995,-55.00344942901585,rtt_5020,,rtt_5020_equity_constant
rsma_100150__rsma_50100150_equity_constant,17475.220999999994,74.75220999999993,-46.9093033255151,rsma_100150__rsma_50100150,131.0,rsma_100150__rsma_50100150_equity_constant
rsma_50100__rsma_100150_equity_constant,17184.227799999982,71.84227799999982,-46.49103071396009,rsma_50100__rsma_100150,19.0,rsma_50100__rsma_100150_equity_constant
rema_50100__rema_50100150_equity_constant,17154.36069999999,71.54360699999991,-48.44707120236339,rema_50100__rema_50100150,179.0,rema_50100__rema_50100150_equity_constant
rbo_50__rema_100150_equity_constant,17091.433000000005,70.91433000000005,-47.175751721764634,rbo_50__rema_100150,1.0,rbo_50__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,17091.433000000005,70.91433000000005,-47.175751721764634,rtt_5020__rema_100150,1.0,rtt_5020__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,16833.093399999983,68.33093399999983,-45.272745512215636,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,16833.093399999983,68.33093399999983,-45.272745512215636,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,16816.83290000002,68.1683290000002,-46.506779565286415,rtt_5020__rsma_100150,13.0,rtt_5020__rsma_100150_equity_constant
rbo_50__rsma_100150_equity_constant,16801.1536,68.011536,-46.30914395567194,rbo_50__rsma_100150,19.0,rbo_50__rsma_100150_equity_constant
rema_50100__rsma_100150_equity_constant,16642.808800000013,66.42808800000013,-44.79020286416259,rema_50100__rsma_100150,19.0,rema_50100__rsma_100150_equity_constant
rsma_100150__rbo_50_equity_constant,16521.570400000026,65.21570400000026,-43.514632913112635,rsma_100150__rbo_50,51.0,rsma_100150__rbo_50_equity_constant
rema_100150__rbo_50_equity_constant,16521.570400000026,65.21570400000026,-43.514632913112635,rema_100150__rbo_50,51.0,rema_100150__rbo_50_equity_constant
rsma_100150__rtt_5020_equity_constant,16455.835799999983,64.55835799999983,-42.8312097746734,rsma_100150__rtt_5020,43.0,rsma_100150__rtt_5020_equity_constant
rema_100150__rtt_5020_equity_constant,16455.835799999983,64.55835799999983,-42.8312097746734,rema_100150__rtt_5020,43.0,rema_100150__rtt_5020_equity_constant
rema_100150__rsma_50100150_equity_constant,16376.45990000001,63.76459900000011,-40.351092455626635,rema_100150__rsma_50100150,131.0,rema_100150__rsma_50100150_equity_constant
rbo_100__rema_100150_equity_constant,16338.341600000003,63.38341600000004,-47.01970524808958,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rbo_100__rsma_100150_equity_constant,16068.534300000001,60.68534300000002,-46.183980632510256,rbo_100__rsma_100150,19.0,rbo_100__rsma_100150_equity_constant
rbo_50__rbo_20_equity_constant,15909.306499999995,59.09306499999995,-41.83933081404191,rbo_50__rbo_20,28.0,rbo_50__rbo_20_equity_constant
rbo_20__rbo_50_equity_constant,15846.224100000023,58.46224100000023,-40.888704472425204,rbo_20__rbo_50,17.0,rbo_20__rbo_50_equity_constant
rtt_5020__rbo_20_equity_constant,15556.117799999995,55.561177999999956,-41.132013831363004,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20_equity_constant
rbo_20__rsma_50100_equity_constant,15479.841200000023,54.79841200000022,-40.30037280182158,rbo_20__rsma_50100,36.0,rbo_20__rsma_50100_equity_constant
rsma_50100150__rtt_5020_equity_constant,15417.918900000006,54.17918900000005,-39.0138969526525,rsma_50100150__rtt_5020,13.0,rsma_50100150__rtt_5020_equity_constant
rsma_50100150__rbo_50_equity_constant,15313.170100000007,53.131701000000064,-41.72800611930615,rsma_50100150__rbo_50,20.0,rsma_50100150__rbo_50_equity_constant
rema_100150__rsma_50100_equity_constant,15105.401400000008,51.054014000000066,-38.88464023398531,rema_100150__rsma_50100,47.0,rema_100150__rsma_50100_equity_constant
rema_50100__rbo_20_equity_constant,15049.438299999993,50.49438299999993,-37.8132161740959,rema_50100__rbo_20,62.0,rema_50100__rbo_20_equity_constant
rema_100150__rbo_20_equity_constant,15022.0304,50.22030399999999,-38.43325857042151,rema_100150__rbo_20,64.0,rema_100150__rbo_20_equity_constant
rbo_20__rbo_20_equity_constant,14966.834200000005,49.66834200000005,-39.87895880232833,rbo_20__rbo_20,6.0,rbo_20__rbo_20_equity_constant
rema_50100150__rbo_50_equity_constant,14912.047199999999,49.12047199999998,-36.849786456289884,rema_50100150__rbo_50,12.0,rema_50100150__rbo_50_equity_constant
rema_50100__rsma_50100_equity_constant,14910.927799999996,49.109277999999954,-39.440571400085005,rema_50100__rsma_50100,34.0,rema_50100__rsma_50100_equity_constant
