combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,0,6,0,0,0,306,221,0.0,58.06451612903226,41.935483870967744,0,51.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,17,0,17,0,0,0,344,183,0.0,65.2751423149905,34.72485768500949,0,20.235294117647058,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,14,0,14,0,0,0,410,117,0.0,77.7988614800759,22.2011385199241,0,29.285714285714285,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,0,3,0,0,0,358,169,0.0,67.93168880455408,32.06831119544592,0,119.33333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,36,0,36,0,0,0,384,143,0.0,72.86527514231499,27.13472485768501,0,10.666666666666666,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,13,0,13,0,0,0,409,118,0.0,77.60910815939279,22.39089184060721,0,31.46153846153846,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,88,0,88,0,0,0,248,279,0.0,47.05882352941176,52.94117647058824,0,2.8181818181818183,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,5,0,5,0,0,0,419,108,0.0,79.5066413662239,20.49335863377609,0,83.8,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,441,86,0.0,83.68121442125236,16.318785578747626,0,441.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,128,0,128,0,0,0,196,331,0.0,37.19165085388994,62.808349146110054,0,1.53125,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,28,0,28,0,0,0,301,226,0.0,57.1157495256167,42.8842504743833,0,10.75,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,0,3,0,0,0,329,198,0.0,62.428842504743834,37.571157495256166,0,109.66666666666667,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,12,0,12,0,0,0,394,133,0.0,74.76280834914611,25.23719165085389,0,32.833333333333336,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,0,3,0,0,0,329,198,0.0,62.428842504743834,37.571157495256166,0,109.66666666666667,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,29,0,29,0,0,0,364,163,0.0,69.07020872865274,30.929791271347252,0,12.551724137931034,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,19,0,19,0,0,0,409,118,0.0,77.60910815939279,22.39089184060721,0,21.526315789473685,True,
