equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rema_100150_equity_concave,82171.6065,721.7160650000001,-94.52766558482388,rsma_100150__rema_100150,8.0,rsma_100150__rema_100150_equity_concave
rsma_100150__rema_100150_equity_convex,68174.17730000002,581.7417730000002,-91.14935370729923,rsma_100150__rema_100150,8.0,rsma_100150__rema_100150_equity_convex
rema_100150__rema_100150_equity_concave,67983.59680000003,579.8359680000002,-92.8935617415322,rema_100150__rema_100150,3.0,rema_100150__rema_100150_equity_concave
rsma_100150__rsma_100150_equity_concave,65884.62399999997,558.8462399999996,-92.98703040734955,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_concave
rema_100150__rsma_100150_equity_concave,64812.19169999996,548.1219169999996,-93.00873109856737,rema_100150__rsma_100150,5.0,rema_100150__rsma_100150_equity_concave
rema_100150__rema_50100_equity_concave,64715.871100000026,547.1587110000003,-92.49546505852506,rema_100150__rema_50100,14.0,rema_100150__rema_50100_equity_concave
rsma_100150__rema_50100_equity_concave,62669.12770000003,526.6912770000002,-92.59591825275434,rsma_100150__rema_50100,14.0,rsma_100150__rema_50100_equity_concave
rema_100150__rsma_50100150_equity_concave,60823.9601,508.239601,-90.71979111358964,rema_100150__rsma_50100150,48.0,rema_100150__rsma_50100150_equity_concave
rema_100150__rema_100150_equity_convex,59021.25339999999,490.2125339999999,-89.3975076314059,rema_100150__rema_100150,3.0,rema_100150__rema_100150_equity_convex
rsma_100150__rsma_100150_equity_convex,57858.8532,478.58853199999993,-89.3049803999739,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_convex
rema_100150__rsma_100150_equity_convex,56825.62090000002,468.2562090000002,-89.29020741330926,rema_100150__rsma_100150,5.0,rema_100150__rsma_100150_equity_convex
rema_100150__rsma_50100150_equity_convex,53663.3665,436.633665,-88.76159895802498,rema_100150__rsma_50100150,48.0,rema_100150__rsma_50100150_equity_convex
rsma_100150__rtt_5020_equity_concave,49540.54670000006,395.4054670000006,-91.10034828889741,rsma_100150__rtt_5020,55.0,rsma_100150__rtt_5020_equity_concave
rsma_100150__rbo_20_equity_concave,43668.85140000001,336.68851400000005,-90.39465858442911,rsma_100150__rbo_20,76.0,rsma_100150__rbo_20_equity_concave
rema_100150__rema_50100_equity_convex,40735.42669999998,307.3542669999998,-84.71072423216003,rema_100150__rema_50100,14.0,rema_100150__rema_50100_equity_convex
rsma_100150__rema_50100_equity_convex,39241.18780000002,292.41187800000023,-84.21619431499394,rsma_100150__rema_50100,14.0,rsma_100150__rema_50100_equity_convex
rema_100150__rbo_20_equity_concave,38130.68650000002,281.3068650000002,-88.50622838048004,rema_100150__rbo_20,73.0,rema_100150__rbo_20_equity_concave
rsma_100150__rbo_20_equity_convex,37605.955800000025,276.05955800000027,-86.85416087137257,rsma_100150__rbo_20,76.0,rsma_100150__rbo_20_equity_convex
rema_100150__rtt_5020_equity_concave,35865.87830000005,258.6587830000005,-87.02973775311543,rema_100150__rtt_5020,52.0,rema_100150__rtt_5020_equity_concave
rsma_100150__rtt_5020_equity_convex,35151.07960000004,251.5107960000004,-85.20999539519303,rsma_100150__rtt_5020,55.0,rsma_100150__rtt_5020_equity_convex
rema_100150__rbo_100_equity_concave,34565.88970000002,245.6588970000002,-86.72322457074668,rema_100150__rbo_100,28.0,rema_100150__rbo_100_equity_concave
rema_100150__rbo_20_equity_convex,33406.525199999975,234.06525199999973,-84.72065058799359,rema_100150__rbo_20,73.0,rema_100150__rbo_20_equity_convex
rsma_100150__rbo_100_equity_concave,33230.30910000003,232.30309100000025,-86.51213447182504,rsma_100150__rbo_100,28.0,rsma_100150__rbo_100_equity_concave
rema_100150__rsma_50100_equity_concave,32089.415700000005,220.89415700000004,-84.4757971651313,rema_100150__rsma_50100,22.0,rema_100150__rsma_50100_equity_concave
rsma_100150__rsma_50100_equity_concave,30028.055300000015,200.28055300000017,-83.66547854854922,rsma_100150__rsma_50100,22.0,rsma_100150__rsma_50100_equity_concave
rsma_100150__rbo_50_equity_concave,29227.40440000004,192.2740440000004,-84.68595099366424,rsma_100150__rbo_50,65.0,rsma_100150__rbo_50_equity_concave
rema_100150__rbo_50_equity_concave,28021.099500000022,180.21099500000025,-83.3128415014986,rema_100150__rbo_50,60.0,rema_100150__rbo_50_equity_concave
rema_100150__rtt_5020_equity_convex,27469.217500000024,174.69217500000025,-80.45735599226414,rema_100150__rtt_5020,52.0,rema_100150__rtt_5020_equity_convex
rsma_100150__rema_50100150_equity_convex,27063.91119999998,170.63911199999978,-77.182169983626,rsma_100150__rema_50100150,55.0,rsma_100150__rema_50100150_equity_convex
rsma_100150__rema_50100150_equity_concave,25970.023199999978,159.7002319999998,-80.2765890880837,rsma_100150__rema_50100150,55.0,rsma_100150__rema_50100150_equity_concave
rsma_100150__rbo_50_equity_convex,24023.7422,140.237422,-78.24560343087079,rsma_100150__rbo_50,65.0,rsma_100150__rbo_50_equity_convex
rsma_100150__rsma_50100150_equity_convex,23955.543399999988,139.55543399999985,-76.31812665476426,rsma_100150__rsma_50100150,47.0,rsma_100150__rsma_50100150_equity_convex
rema_100150__rbo_50_equity_convex,23880.299400000004,138.80299400000004,-77.43354730152512,rema_100150__rbo_50,60.0,rema_100150__rbo_50_equity_convex
rsma_100150__rsma_50100150_equity_concave,23583.5624,135.835624,-78.55491693875678,rsma_100150__rsma_50100150,47.0,rsma_100150__rsma_50100150_equity_concave
rema_100150__rbo_100_equity_convex,22876.840700000037,128.76840700000037,-76.16601386198165,rema_100150__rbo_100,28.0,rema_100150__rbo_100_equity_convex
rema_100150__rsma_50100_equity_convex,22846.001800000024,128.46001800000022,-74.43994215090164,rema_100150__rsma_50100,22.0,rema_100150__rsma_50100_equity_convex
rema_100150__rema_50100150_equity_convex,22750.627699999986,127.50627699999986,-72.57505576265935,rema_100150__rema_50100150,52.0,rema_100150__rema_50100150_equity_convex
rsma_100150__rbo_100_equity_convex,22548.788600000018,125.48788600000016,-76.16618595373848,rsma_100150__rbo_100,28.0,rsma_100150__rbo_100_equity_convex
rsma_100150__rsma_50100_equity_convex,22398.186,123.98186,-74.05885917241598,rsma_100150__rsma_50100,22.0,rsma_100150__rsma_50100_equity_convex
rbo_20__rema_100150_equity_convex,20096.937100000003,100.96937100000001,-79.22286590259382,rbo_20__rema_100150,15.0,rbo_20__rema_100150_equity_convex
rbo_20__rema_100150_equity_concave,19635.748799999998,96.35748799999998,-79.2163810247623,rbo_20__rema_100150,15.0,rbo_20__rema_100150_equity_concave
rsma_50100150__rema_100150_equity_convex,19625.4334,96.25433400000001,-79.59194457147152,rsma_50100150__rema_100150,18.0,rsma_50100150__rema_100150_equity_convex
rtt_5020__rsma_100150_equity_convex,19178.49450000001,91.78494500000012,-77.81570581344009,rtt_5020__rsma_100150,15.0,rtt_5020__rsma_100150_equity_convex
rbo_50__rsma_100150_equity_convex,19178.49450000001,91.78494500000012,-77.81570581344009,rbo_50__rsma_100150,15.0,rbo_50__rsma_100150_equity_convex
rbo_50__rsma_100150_equity_concave,19141.483400000012,91.41483400000013,-77.94361905688073,rbo_50__rsma_100150,15.0,rbo_50__rsma_100150_equity_concave
rtt_5020__rsma_100150_equity_concave,19141.483400000012,91.41483400000013,-77.94361905688073,rtt_5020__rsma_100150,15.0,rtt_5020__rsma_100150_equity_concave
rtt_5020__rema_100150_equity_convex,19027.51890000001,90.27518900000011,-77.1577476170189,rtt_5020__rema_100150,13.0,rtt_5020__rema_100150_equity_convex
rbo_50__rema_100150_equity_convex,19027.51890000001,90.27518900000011,-77.1577476170189,rbo_50__rema_100150,13.0,rbo_50__rema_100150_equity_convex
rbo_50__rema_100150_equity_concave,18990.50780000001,89.90507800000009,-77.28543550566303,rbo_50__rema_100150,13.0,rbo_50__rema_100150_equity_concave
rtt_5020__rema_100150_equity_concave,18990.50780000001,89.90507800000009,-77.28543550566303,rtt_5020__rema_100150,13.0,rtt_5020__rema_100150_equity_concave
rbo_20__rsma_100150_equity_convex,18860.443700000003,88.60443700000002,-78.28804835425238,rbo_20__rsma_100150,15.0,rbo_20__rsma_100150_equity_convex
rema_100150__rema_50100150_equity_concave,18494.460199999976,84.94460199999976,-71.56705573052892,rema_100150__rema_50100150,52.0,rema_100150__rema_50100150_equity_concave
rbo_20__rsma_100150_equity_concave,18393.297099999996,83.93297099999997,-78.25052433901449,rbo_20__rsma_100150,15.0,rbo_20__rsma_100150_equity_concave
rbo_20__rbo_20_equity_concave,18179.531600000006,81.79531600000006,-79.16817513724956,rbo_20__rbo_20,9.0,rbo_20__rbo_20_equity_concave
rsma_50100150__rsma_100150_equity_convex,18113.228600000013,81.13228600000014,-77.96703925466423,rsma_50100150__rsma_100150,15.0,rsma_50100150__rsma_100150_equity_convex
rema_50100150__rema_100150_equity_convex,17807.840800000005,78.07840800000005,-77.41519616708601,rema_50100150__rema_100150,13.0,rema_50100150__rema_100150_equity_convex
rbo_20__rbo_100_equity_concave,17738.394999999993,77.38394999999994,-86.08203756404399,rbo_20__rbo_100,4.0,rbo_20__rbo_100_equity_concave
rbo_20__rbo_100_equity_convex,17738.394999999993,77.38394999999994,-86.08203756404399,rbo_20__rbo_100,4.0,rbo_20__rbo_100_equity_convex
rsma_50100150__rema_50100_equity_convex,17369.161099999976,73.69161099999974,-85.95725134811569,rsma_50100150__rema_50100,12.0,rsma_50100150__rema_50100_equity_convex
