combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,4,5,0,0,189,79,259,35.86337760910816,14.990512333965844,49.146110056926,47.25,15.8,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,13,5,8,0,0,233,82,212,44.212523719165084,15.559772296015181,40.22770398481973,46.6,10.25,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,4,2,2,0,0,255,117,155,48.38709677419355,22.2011385199241,29.411764705882355,127.5,58.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,235,88,204,44.59203036053131,16.698292220113853,38.70967741935484,78.33333333333333,29.333333333333332,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,10,2,8,0,0,282,111,134,53.510436432637576,21.062618595825427,25.426944971537,141.0,13.875,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,15,2,12,1,0,292,121,114,55.40796963946869,22.960151802656547,21.631878557874764,146.0,10.083333333333334,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,25,2,23,0,0,282,74,171,53.510436432637576,14.041745730550284,32.44781783681214,141.0,3.217391304347826,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,4,2,2,0,0,288,116,123,54.64895635673624,22.011385199240987,23.33965844402277,144.0,58.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,15,4,10,1,0,290,123,114,55.02846299810247,23.33965844402277,21.631878557874764,72.5,12.3,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,34,4,30,0,0,286,67,174,54.26944971537002,12.7134724857685,33.017077798861486,71.5,2.2333333333333334,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,32,26,6,0,0,203,70,254,38.51992409867172,13.282732447817835,48.19734345351044,7.8076923076923075,11.666666666666666,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,3,1,0,0,227,75,225,43.07400379506641,14.231499051233396,42.69449715370019,75.66666666666667,75.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,3,2,1,0,0,250,116,161,47.43833017077799,22.011385199240987,30.55028462998102,125.0,116.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,3,1,0,0,227,75,225,43.07400379506641,14.231499051233396,42.69449715370019,75.66666666666667,75.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,3,2,1,0,0,277,104,146,52.56166982922201,19.734345351043643,27.703984819734345,138.5,104.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,15,2,12,1,0,287,121,119,54.459203036053125,22.960151802656547,22.58064516129032,143.5,10.083333333333334,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,28,2,26,0,0,277,50,200,52.56166982922201,9.487666034155598,37.95066413662239,138.5,1.9230769230769231,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,3,2,1,0,0,283,115,129,53.70018975332068,21.821631878557877,24.47817836812144,141.5,115.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,13,2,10,1,0,287,123,117,54.459203036053125,23.33965844402277,22.2011385199241,143.5,12.3,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,30,2,28,0,0,283,48,196,53.70018975332068,9.108159392789373,37.19165085388994,141.5,1.7142857142857142,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,67,46,21,0,0,213,96,218,40.41745730550284,18.216318785578746,41.36622390891841,4.630434782608695,4.571428571428571,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,46,25,21,0,0,234,95,198,44.4022770398482,18.026565464895636,37.571157495256166,9.36,4.523809523809524,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,2,1,0,0,258,116,153,48.95635673624288,22.011385199240987,29.03225806451613,129.0,116.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,39,23,16,0,0,236,101,190,44.78178368121442,19.165085388994306,36.05313092979127,10.26086956521739,6.3125,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,9,2,7,0,0,285,110,132,54.079696394686906,20.872865275142317,25.047438330170777,142.5,15.714285714285714,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,22,8,12,1,1,288,121,118,54.64895635673624,22.960151802656547,22.39089184060721,36.0,10.083333333333334,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,50,8,41,0,1,278,93,156,52.75142314990512,17.647058823529413,29.601518026565465,34.75,2.268292682926829,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,3,2,1,0,0,291,115,121,55.21821631878557,21.821631878557877,22.960151802656547,145.5,115.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,26,14,10,1,1,282,123,122,53.510436432637576,23.33965844402277,23.14990512333966,20.142857142857142,12.3,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,63,14,48,0,1,278,86,163,52.75142314990512,16.318785578747626,30.929791271347252,19.857142857142858,1.7916666666666667,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,7,4,3,0,0,181,66,280,34.34535104364326,12.523719165085389,53.13092979127134,45.25,22.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,3,1,0,0,227,75,225,43.07400379506641,14.231499051233396,42.69449715370019,75.66666666666667,75.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,3,2,1,0,0,250,116,161,47.43833017077799,22.011385199240987,30.55028462998102,125.0,116.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,4,3,1,0,0,227,75,225,43.07400379506641,14.231499051233396,42.69449715370019,75.66666666666667,75.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,3,2,1,0,0,277,104,146,52.56166982922201,19.734345351043643,27.703984819734345,138.5,104.0,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,15,2,12,1,0,287,121,119,54.459203036053125,22.960151802656547,22.58064516129032,143.5,10.083333333333334,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,24,2,22,0,0,277,46,204,52.56166982922201,8.72865275142315,38.70967741935484,138.5,2.090909090909091,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,3,2,1,0,0,283,115,129,53.70018975332068,21.821631878557877,24.47817836812144,141.5,115.0,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,13,2,10,1,0,287,123,117,54.459203036053125,23.33965844402277,22.2011385199241,143.5,12.3,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,26,2,24,0,0,283,44,200,53.70018975332068,8.349146110056926,37.95066413662239,141.5,1.8333333333333333,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,80,60,20,0,0,227,84,216,43.07400379506641,15.939278937381404,40.98671726755218,3.783333333333333,4.2,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,54,39,15,0,0,248,89,190,47.05882352941176,16.888045540796963,36.05313092979127,6.358974358974359,5.933333333333334,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,16,15,1,0,0,271,116,140,51.423149905123346,22.011385199240987,26.56546489563567,18.066666666666666,116.0,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,52,37,15,0,0,250,89,188,47.43833017077799,16.888045540796963,35.673624288425046,6.756756756756757,5.933333333333334,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,3,2,1,0,0,285,104,138,54.079696394686906,19.734345351043643,26.185958254269448,142.5,104.0,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,22,8,12,1,1,288,121,118,54.64895635673624,22.960151802656547,22.39089184060721,36.0,10.083333333333334,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,49,9,40,0,0,278,64,185,52.75142314990512,12.144212523719165,35.10436432637571,30.88888888888889,1.6,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,3,2,1,0,0,291,115,121,55.21821631878557,21.821631878557877,22.960151802656547,145.5,115.0,True,
