equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rema_50100150_equity_concave,134103.89579999956,1241.0389579999955,-98.70969085915681,rbo_20__rema_50100150,105.0,rbo_20__rema_50100150_equity_concave
rbo_20__rema_50100150_equity_convex,108790.81559999971,987.9081559999971,-96.7331639697825,rbo_20__rema_50100150,105.0,rbo_20__rema_50100150_equity_convex
rtt_5020__rema_50100150_equity_concave,59782.42209999991,497.82422099999906,-97.10559241183499,rtt_5020__rema_50100150,92.0,rtt_5020__rema_50100150_equity_concave
rtt_5020__rema_50100150_equity_convex,54204.31769999993,442.0431769999992,-93.44338679643182,rtt_5020__rema_50100150,92.0,rtt_5020__rema_50100150_equity_convex
rema_50100150__rema_50100150_equity_convex,25370.548499999997,153.70548499999995,-82.10418633672842,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150_equity_convex
rema_50100150__rema_50100150_equity_concave,25370.548499999997,153.70548499999995,-82.10418633672842,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150_equity_concave
rsma_100150__rsma_50100_equity_constant,15045.15570000001,50.4515570000001,-33.83859781705618,rsma_100150__rsma_50100,36.0,rsma_100150__rsma_50100_equity_constant
rbo_20__rtt_5020_equity_convex,14622.796100000023,46.22796100000024,-86.52640455664121,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020_equity_convex
rsma_100150__rbo_50_equity_constant,14507.019599999992,45.07019599999993,-31.376881358553803,rsma_100150__rbo_50,50.0,rsma_100150__rbo_50_equity_constant
rbo_50__rsma_100150_equity_constant,14304.162199999992,43.041621999999926,-34.945753573857516,rbo_50__rsma_100150,38.0,rbo_50__rsma_100150_equity_constant
rsma_50100150__rsma_50100_equity_constant,14259.668599999994,42.59668599999993,-30.142947299371375,rsma_50100150__rsma_50100,32.0,rsma_50100150__rsma_50100_equity_constant
rsma_100150__rsma_100150_equity_constant,14218.963100000008,42.189631000000084,-30.457293338004032,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rema_50100__rsma_100150_equity_constant,14018.542599999999,40.18542599999999,-36.79741091512344,rema_50100__rsma_100150,29.0,rema_50100__rsma_100150_equity_constant
rsma_100150__rsma_50100150_equity_constant,13977.07900000001,39.7707900000001,-28.454292917711975,rsma_100150__rsma_50100150,114.0,rsma_100150__rsma_50100150_equity_constant
rsma_50100__rsma_100150_equity_constant,13865.852899999985,38.65852899999987,-36.636037728182515,rsma_50100__rsma_100150,32.0,rsma_50100__rsma_100150_equity_constant
rema_100150__rsma_100150_equity_constant,13767.682800000004,37.67682800000005,-30.42257536573039,rema_100150__rsma_100150,19.0,rema_100150__rsma_100150_equity_constant
rema_50100150__rsma_100150_equity_concave,13491.798999999995,34.91798999999995,-72.92484364106275,rema_50100150__rsma_100150,15.0,rema_50100150__rsma_100150_equity_concave
rsma_50100150__rema_50100_equity_constant,13457.803499999996,34.578034999999964,-25.876873986431086,rsma_50100150__rema_50100,16.0,rsma_50100150__rema_50100_equity_constant
rsma_50100150__rbo_100_equity_constant,13457.803499999996,34.578034999999964,-25.876873986431086,rsma_50100150__rbo_100,16.0,rsma_50100150__rbo_100_equity_constant
rema_50100__rsma_50100_equity_constant,13386.719500000017,33.86719500000017,-33.75565258136286,rema_50100__rsma_50100,28.0,rema_50100__rsma_50100_equity_constant
rbo_50__rsma_50100_equity_constant,12952.593599999997,29.525935999999973,-28.09402105021644,rbo_50__rsma_50100,32.0,rbo_50__rsma_50100_equity_constant
rbo_20__rtt_5020_equity_concave,12861.578499999987,28.61578499999986,-86.91575138329249,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020_equity_concave
rsma_50100150__rema_100150_equity_constant,12748.5115,27.485115000000015,-21.7533454024625,rsma_50100150__rema_100150,27.0,rsma_50100150__rema_100150_equity_constant
rema_100150__rsma_50100_equity_constant,12738.350999999982,27.383509999999834,-24.589308626543744,rema_100150__rsma_50100,26.0,rema_100150__rsma_50100_equity_constant
rsma_50100__rbo_50_equity_constant,12644.993099999998,26.44993099999997,-32.49959602648303,rsma_50100__rbo_50,36.0,rsma_50100__rbo_50_equity_constant
rema_50100__rbo_50_equity_constant,12641.180599999998,26.41180599999997,-29.90373467471677,rema_50100__rbo_50,32.0,rema_50100__rbo_50_equity_constant
rtt_5020_equity_constant,12620.10030000001,26.2010030000001,-27.63234946799712,rtt_5020,,rtt_5020_equity_constant
rema_100150__rema_50100150_equity_constant,12608.495600000007,26.08495600000007,-24.55004703336697,rema_100150__rema_50100150,139.0,rema_100150__rema_50100150_equity_constant
rema_100150__rbo_50_equity_constant,12541.742899999992,25.417428999999924,-23.08729511794351,rema_100150__rbo_50,30.0,rema_100150__rbo_50_equity_constant
rsma_50100150__rsma_100150_equity_constant,12368.803899999995,23.68803899999996,-19.151438725615144,rsma_50100150__rsma_100150,22.0,rsma_50100150__rsma_100150_equity_constant
rsma_50100__rsma_50100_equity_constant,12165.693299999999,21.656933000000002,-29.796276465005032,rsma_50100__rsma_50100,5.0,rsma_50100__rsma_50100_equity_constant
rsma_100150__rbo_100_equity_constant,12160.731499999994,21.60731499999995,-17.903806362926208,rsma_100150__rbo_100,21.0,rsma_100150__rbo_100_equity_constant
rsma_100150__rema_50100_equity_constant,12160.731499999994,21.60731499999995,-17.903806362926208,rsma_100150__rema_50100,21.0,rsma_100150__rema_50100_equity_constant
rbo_50__rema_50100_equity_constant,12075.6435,20.756434999999996,-22.747968634318774,rbo_50__rema_50100,20.0,rbo_50__rema_50100_equity_constant
rbo_50__rbo_100_equity_constant,12075.6435,20.756434999999996,-22.747968634318774,rbo_50__rbo_100,20.0,rbo_50__rbo_100_equity_constant
rbo_100__rsma_100150_equity_constant,11863.303599999992,18.633035999999926,-36.78462684252813,rbo_100__rsma_100150,29.0,rbo_100__rsma_100150_equity_constant
rsma_50100150__rsma_50100150_equity_constant,11826.195699999998,18.261956999999974,-15.876154894207515,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_constant
rsma_50100150__rbo_20_equity_concave,11683.9948,16.839947999999993,-76.20458372679178,rsma_50100150__rbo_20,33.0,rsma_50100150__rbo_20_equity_concave
rema_50100__rsma_50100150_equity_constant,11673.97670000001,16.739767000000107,-29.400617918853662,rema_50100__rsma_50100150,115.0,rema_50100__rsma_50100150_equity_constant
rbo_50__rsma_50100150_equity_constant,11606.341600000007,16.063416000000075,-25.420368453369026,rbo_50__rsma_50100150,97.0,rbo_50__rsma_50100150_equity_constant
rema_50100__rema_50100_equity_constant,11593.614199999995,15.936141999999954,-23.352251491811806,rema_50100__rema_50100,3.0,rema_50100__rema_50100_equity_constant
rema_50100__rbo_100_equity_constant,11593.614199999995,15.936141999999954,-23.352251491811806,rema_50100__rbo_100,3.0,rema_50100__rbo_100_equity_constant
rsma_50100150__rbo_20_equity_convex,11569.789000000008,15.697890000000081,-62.976004143204314,rsma_50100150__rbo_20,33.0,rsma_50100150__rbo_20_equity_convex
rsma_50100__rema_50100150_equity_constant,11510.664799999986,15.106647999999856,-25.063496766928633,rsma_50100__rema_50100150,136.0,rsma_50100__rema_50100150_equity_constant
rsma_100150__rema_100150_equity_constant,11503.195399999999,15.031953999999992,-13.456861913567323,rsma_100150__rema_100150,32.0,rsma_100150__rema_100150_equity_constant
rsma_100150__rema_50100150_equity_constant,11473.062899999999,14.730628999999995,-24.54154069006281,rsma_100150__rema_50100150,134.0,rsma_100150__rema_50100150_equity_constant
rema_100150__rbo_20_equity_constant,11453.486900000005,14.53486900000005,-21.50640605351373,rema_100150__rbo_20,49.0,rema_100150__rbo_20_equity_constant
rema_100150__rbo_100_equity_constant,11443.345800000001,14.433457999999998,-13.368710621007665,rema_100150__rbo_100,1.0,rema_100150__rbo_100_equity_constant
rema_100150__rema_50100_equity_constant,11443.345800000001,14.433457999999998,-13.368710621007665,rema_100150__rema_50100,1.0,rema_100150__rema_50100_equity_constant
rema_100150__rema_100150_equity_constant,11443.345800000001,14.433457999999998,-13.368710621007665,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rsma_100150__rtt_5020_equity_constant,11400.734099999989,14.007340999999895,-19.046802556630023,rsma_100150__rtt_5020,36.0,rsma_100150__rtt_5020_equity_constant
rema_50100150__rsma_100150_equity_convex,11340.3148,13.403147999999998,-72.93708115605418,rema_50100150__rsma_100150,15.0,rema_50100150__rsma_100150_equity_convex
rbo_100__rsma_50100_equity_constant,11328.720100000004,13.28720100000005,-33.74346790604308,rbo_100__rsma_50100,28.0,rbo_100__rsma_50100_equity_constant
rema_50100__rema_50100150_equity_constant,11314.547699999994,13.145476999999929,-24.52592956941622,rema_50100__rema_50100150,160.0,rema_50100__rema_50100150_equity_constant
rbo_50__rema_100150_equity_constant,11310.489099999999,13.104890999999984,-17.52311770437354,rbo_50__rema_100150,30.0,rbo_50__rema_100150_equity_constant
rsma_50100__rbo_100_equity_constant,11270.738200000009,12.707382000000077,-24.581255116080793,rsma_50100__rbo_100,18.0,rsma_50100__rbo_100_equity_constant
rsma_50100__rema_50100_equity_constant,11270.738200000009,12.707382000000077,-24.581255116080793,rsma_50100__rema_50100,18.0,rsma_50100__rema_50100_equity_constant
rema_100150__rsma_50100150_equity_constant,11252.945300000001,12.529453000000013,-18.678930063079658,rema_100150__rsma_50100150,105.0,rema_100150__rsma_50100150_equity_constant
rema_50100__rtt_5020_equity_constant,11175.8872,11.758871999999986,-20.512636526903965,rema_50100__rtt_5020,19.0,rema_50100__rtt_5020_equity_constant
rema_100150__rtt_5020_equity_constant,11085.590200000002,10.855902000000018,-14.35205095645316,rema_100150__rtt_5020,17.0,rema_100150__rtt_5020_equity_constant
rsma_50100150__rbo_50_equity_constant,11047.548399999992,10.475483999999934,-15.708156011390798,rsma_50100150__rbo_50,19.0,rsma_50100150__rbo_50_equity_constant
