equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rsma_50100150_equity_concave,75455.22420000008,654.5522420000008,-92.91804135237092,rema_50100150__rsma_50100150,17.0,rema_50100150__rsma_50100150_equity_concave
rema_50100150__rsma_50100150_equity_convex,68764.29470000003,587.6429470000003,-92.22897399055728,rema_50100150__rsma_50100150,17.0,rema_50100150__rsma_50100150_equity_convex
rema_50100150__rsma_100150_equity_concave,60875.32790000005,508.7532790000005,-92.90452313000854,rema_50100150__rsma_100150,19.0,rema_50100150__rsma_100150_equity_concave
rema_50100150__rsma_100150_equity_convex,55471.38760000002,454.7138760000002,-91.9807477579272,rema_50100150__rsma_100150,19.0,rema_50100150__rsma_100150_equity_convex
rsma_50100150__rsma_50100150_equity_concave,47603.336400000015,376.0333640000002,-82.4542089111532,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150_equity_concave
rbo_20__rsma_50100150_equity_concave,47416.13589999999,374.16135899999983,-96.49156637670163,rbo_20__rsma_50100150,58.0,rbo_20__rsma_50100150_equity_concave
rema_50100150__rbo_100_equity_concave,45758.76820000003,357.5876820000003,-93.35222672579954,rema_50100150__rbo_100,7.0,rema_50100150__rbo_100_equity_concave
rbo_20__rsma_50100150_equity_convex,44249.473099999996,342.49473099999994,-96.24037883565134,rbo_20__rsma_50100150,58.0,rbo_20__rsma_50100150_equity_convex
rsma_50100150__rema_50100150_equity_concave,43267.164799999984,332.67164799999983,-81.57024069062021,rsma_50100150__rema_50100150,23.0,rsma_50100150__rema_50100150_equity_concave
rbo_20__rema_50100150_equity_concave,43138.92169999998,331.3892169999998,-96.14309633796474,rbo_20__rema_50100150,70.0,rbo_20__rema_50100150_equity_concave
rema_100150__rsma_50100150_equity_convex,40644.944200000005,306.4494420000001,-86.66726872783246,rema_100150__rsma_50100150,86.0,rema_100150__rsma_50100150_equity_convex
rema_50100150__rbo_20_equity_concave,40627.338200000064,306.27338200000065,-87.90915457833746,rema_50100150__rbo_20,25.0,rema_50100150__rbo_20_equity_concave
rsma_50100150__rema_100150_equity_concave,38350.784899999984,283.50784899999985,-94.51878750621229,rsma_50100150__rema_100150,4.0,rsma_50100150__rema_100150_equity_concave
rema_50100150__rema_100150_equity_concave,38350.784899999984,283.50784899999985,-94.51878750621229,rema_50100150__rema_100150,4.0,rema_50100150__rema_100150_equity_concave
rema_100150__rema_100150_equity_concave,38066.29519999999,280.6629519999999,-96.3252249648408,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_concave
rema_100150__rbo_100_equity_concave,37586.60360000002,275.8660360000002,-96.27799038773746,rema_100150__rbo_100,7.0,rema_100150__rbo_100_equity_concave
rsma_50100150__rbo_100_equity_concave,34856.271000000015,248.56271000000015,-91.2551896043033,rsma_50100150__rbo_100,2.0,rsma_50100150__rbo_100_equity_concave
rsma_50100150__rsma_50100150_equity_convex,33333.737400000005,233.33737400000007,-74.73372362679707,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150_equity_convex
rsma_100150__rema_100150_equity_concave,33262.579999999994,232.6257999999999,-98.44320855715674,rsma_100150__rema_100150,2.0,rsma_100150__rema_100150_equity_concave
rema_50100150__rema_50100_equity_concave,32200.562700000024,222.00562700000023,-90.52699632957824,rema_50100150__rema_50100,19.0,rema_50100150__rema_50100_equity_concave
rema_50100150__rtt_5020_equity_concave,31389.92480000003,213.89924800000028,-90.27981253098632,rema_50100150__rtt_5020,19.0,rema_50100150__rtt_5020_equity_concave
rsma_50100150__rema_50100_equity_concave,31326.323800000002,213.263238,-90.2597993732794,rsma_50100150__rema_50100,6.0,rsma_50100150__rema_50100_equity_concave
rema_50100150__rema_50100150_equity_concave,31121.804899999992,211.21804899999992,-80.98913584657083,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150_equity_concave
rema_50100150__rbo_100_equity_convex,30959.75620000003,209.5975620000003,-90.1092989978777,rema_50100150__rbo_100,7.0,rema_50100150__rbo_100_equity_convex
rsma_50100150__rema_50100150_equity_convex,30837.357500000006,208.37357500000007,-70.73346405016532,rsma_50100150__rema_50100150,23.0,rsma_50100150__rema_50100150_equity_convex
rema_50100150__rema_100150_equity_convex,30433.224099999985,204.33224099999987,-90.54647773477281,rema_50100150__rema_100150,4.0,rema_50100150__rema_100150_equity_convex
rsma_50100150__rema_100150_equity_convex,30433.224099999985,204.33224099999987,-90.54647773477281,rsma_50100150__rema_100150,4.0,rsma_50100150__rema_100150_equity_convex
rema_100150__rsma_50100150_equity_concave,29041.543999999987,190.41543999999985,-84.38737886706684,rema_100150__rsma_50100150,86.0,rema_100150__rsma_50100150_equity_concave
rema_100150__rema_100150_equity_convex,29017.281199999994,190.17281199999996,-95.15259557640664,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_convex
rema_50100150__rbo_20_equity_convex,27210.57360000003,172.10573600000026,-75.21789578745357,rema_50100150__rbo_20,25.0,rema_50100150__rbo_20_equity_convex
rsma_50100150__rbo_20_equity_concave,26388.368200000004,163.88368200000002,-81.59168102376378,rsma_50100150__rbo_20,20.0,rsma_50100150__rbo_20_equity_concave
rbo_100__rema_50100150_equity_concave,25222.707599999987,152.22707599999987,-93.37527096651857,rbo_100__rema_50100150,94.0,rbo_100__rema_50100150_equity_concave
rsma_100150__rema_100150_equity_convex,24967.650499999996,149.67650499999996,-97.91365872313075,rsma_100150__rema_100150,2.0,rsma_100150__rema_100150_equity_convex
rbo_20__rema_50100150_equity_convex,24880.278599999987,148.80278599999986,-93.25820806971065,rbo_20__rema_50100150,70.0,rbo_20__rema_50100150_equity_convex
rbo_20__rema_50100_equity_convex,24817.943900000013,148.17943900000014,-97.66895410900273,rbo_20__rema_50100,20.0,rbo_20__rema_50100_equity_convex
rsma_50100150__rbo_100_equity_convex,24473.10750000001,144.73107500000012,-87.4431239774275,rsma_50100150__rbo_100,2.0,rsma_50100150__rbo_100_equity_convex
rema_100150__rbo_100_equity_convex,24342.871200000027,143.42871200000027,-94.20600724947086,rema_100150__rbo_100,7.0,rema_100150__rbo_100_equity_convex
rema_50100__rema_50100150_equity_convex,24179.204699999987,141.79204699999985,-79.11925780530915,rema_50100__rema_50100150,93.0,rema_50100__rema_50100150_equity_convex
rsma_100150__rbo_100_equity_concave,23994.390999999996,139.94390999999996,-97.8355473770663,rsma_100150__rbo_100,2.0,rsma_100150__rbo_100_equity_concave
rema_100150__rema_50100150_equity_concave,22411.675000000007,124.11675000000008,-81.6326804784168,rema_100150__rema_50100150,93.0,rema_100150__rema_50100150_equity_concave
rema_50100150__rema_50100150_equity_convex,21771.685799999985,117.71685799999987,-72.57111738296128,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150_equity_convex
rsma_50100150__rema_50100_equity_convex,21764.634599999998,117.646346,-85.86014283244417,rsma_50100150__rema_50100,6.0,rsma_50100150__rema_50100_equity_convex
rema_50100150__rema_50100_equity_convex,21617.5109,116.175109,-85.7625298207216,rema_50100150__rema_50100,19.0,rema_50100150__rema_50100_equity_convex
rema_50100150__rtt_5020_equity_convex,21275.513500000015,112.75513500000014,-85.5321113927193,rema_50100150__rtt_5020,19.0,rema_50100150__rtt_5020_equity_convex
rbo_100__rsma_50100150_equity_concave,21000.831899999997,110.00831899999999,-92.02354281118228,rbo_100__rsma_50100150,81.0,rbo_100__rsma_50100150_equity_concave
rsma_50100150__rbo_20_equity_convex,20940.778599999998,109.40778599999996,-68.34961564487556,rsma_50100150__rbo_20,20.0,rsma_50100150__rbo_20_equity_convex
rema_100150__rema_50100150_equity_convex,20653.6478,106.53647799999999,-77.23579491654374,rema_100150__rema_50100150,93.0,rema_100150__rema_50100150_equity_convex
rbo_100__rsma_50100150_equity_convex,20601.30899999999,106.01308999999989,-91.83477363361233,rbo_100__rsma_50100150,81.0,rbo_100__rsma_50100150_equity_convex
rema_50100__rsma_50100150_equity_convex,19456.296099999985,94.56296099999986,-73.97189134175231,rema_50100__rsma_50100150,72.0,rema_50100__rsma_50100150_equity_convex
rbo_100__rema_50100150_equity_convex,17993.49399999998,79.93493999999981,-90.63689207385653,rbo_100__rema_50100150,94.0,rbo_100__rema_50100150_equity_convex
rbo_20__rema_50100_equity_concave,17300.80210000001,73.00802100000013,-106.93748471262529,rbo_20__rema_50100,20.0,rbo_20__rema_50100_equity_concave
rsma_100150__rbo_100_equity_convex,17265.637000000006,72.65637000000007,-96.96744828569733,rsma_100150__rbo_100,2.0,rsma_100150__rbo_100_equity_convex
rema_50100__rema_100150_equity_concave,17103.486600000004,71.03486600000004,-80.30255850529447,rema_50100__rema_100150,5.0,rema_50100__rema_100150_equity_concave
rtt_5020__rsma_50100150_equity_convex,16960.504999999994,69.60504999999995,-90.0626874236459,rtt_5020__rsma_50100150,46.0,rtt_5020__rsma_50100150_equity_convex
rsma_50100150__rtt_5020_equity_concave,16817.505299999997,68.17505299999998,-81.68653629344186,rsma_50100150__rtt_5020,14.0,rsma_50100150__rtt_5020_equity_concave
rsma_50100150__rtt_5020_equity_convex,16817.505299999997,68.17505299999998,-81.68653629344186,rsma_50100150__rtt_5020,14.0,rsma_50100150__rtt_5020_equity_convex
rema_100150__rema_50100_equity_convex,16414.874399999982,64.14874399999981,-91.37664186472962,rema_100150__rema_50100,20.0,rema_100150__rema_50100_equity_convex
rema_100150__rema_50100_equity_concave,16316.525999999993,63.16525999999993,-91.32460120444638,rema_100150__rema_50100,20.0,rema_100150__rema_50100_equity_concave
rema_50100__rema_100150_equity_convex,15981.93000000001,59.819300000000084,-73.32674085398618,rema_50100__rema_100150,5.0,rema_50100__rema_100150_equity_convex
rsma_50100150__rbo_50_equity_convex,15715.242599999998,57.15242599999997,-80.40143129747263,rsma_50100150__rbo_50,16.0,rsma_50100150__rbo_50_equity_convex
rsma_50100150__rbo_50_equity_concave,15715.242599999998,57.15242599999997,-80.40143129747263,rsma_50100150__rbo_50,16.0,rsma_50100150__rbo_50_equity_concave
rema_50100__rema_50100150_equity_concave,15579.194099999977,55.79194099999978,-74.6181726767876,rema_50100__rema_50100150,93.0,rema_50100__rema_50100150_equity_concave
rtt_5020__rsma_50100150_equity_concave,15512.584599999995,55.125845999999946,-89.13329419503798,rtt_5020__rsma_50100150,46.0,rtt_5020__rsma_50100150_equity_concave
rsma_50100150__rsma_50100_equity_concave,15504.602900000002,55.04602900000002,-80.13557361427387,rsma_50100150__rsma_50100,25.0,rsma_50100150__rsma_50100_equity_concave
rsma_50100150__rsma_50100_equity_convex,15485.5811,54.85581099999999,-80.11214623497234,rsma_50100150__rsma_50100,25.0,rsma_50100150__rsma_50100_equity_convex
rema_50100__rbo_20_equity_concave,15381.045900000003,53.81045900000003,-81.71334497939642,rema_50100__rbo_20,46.0,rema_50100__rbo_20_equity_concave
rema_100150__rsma_50100_equity_concave,15187.987000000016,51.87987000000016,-90.68031417575015,rema_100150__rsma_50100,42.0,rema_100150__rsma_50100_equity_concave
rema_100150__rsma_50100_equity_convex,15187.987000000016,51.87987000000016,-90.68031417575015,rema_100150__rsma_50100,42.0,rema_100150__rsma_50100_equity_convex
rema_50100150__rbo_50_equity_concave,14893.240200000007,48.93240200000007,-79.32033002749215,rema_50100150__rbo_50,20.0,rema_50100150__rbo_50_equity_concave
rema_50100150__rbo_50_equity_convex,14893.240200000007,48.93240200000007,-79.32033002749215,rema_50100150__rbo_50,20.0,rema_50100150__rbo_50_equity_convex
rema_100150__rbo_20_equity_convex,14536.319599999999,45.36319599999998,-64.32446638958382,rema_100150__rbo_20,62.0,rema_100150__rbo_20_equity_convex
rema_50100150__rsma_50100_equity_convex,14487.412400000005,44.87412400000004,-78.74107527364316,rema_50100150__rsma_50100,20.0,rema_50100150__rsma_50100_equity_convex
rema_50100150__rsma_50100_equity_concave,14482.001300000007,44.82001300000007,-78.73344865423122,rema_50100150__rsma_50100,20.0,rema_50100150__rsma_50100_equity_concave
rema_50100__rbo_100_equity_convex,14397.4999,43.97499900000001,-110.62964663755017,rema_50100__rbo_100,2.0,rema_50100__rbo_100_equity_convex
rema_50100__rbo_100_equity_concave,14397.4999,43.97499900000001,-110.62964663755017,rema_50100__rbo_100,2.0,rema_50100__rbo_100_equity_concave
rsma_100150__rema_50100150_equity_convex,14374.252200000004,43.74252200000004,-67.74209161064206,rsma_100150__rema_50100150,88.0,rsma_100150__rema_50100150_equity_convex
rbo_50__rsma_50100150_equity_convex,14087.127399999988,40.87127399999988,-88.03391016638737,rbo_50__rsma_50100150,57.0,rbo_50__rsma_50100150_equity_convex
rema_50100__rsma_50100150_equity_concave,14073.824599999976,40.738245999999755,-71.80978649013508,rema_50100__rsma_50100150,72.0,rema_50100__rsma_50100150_equity_concave
rsma_100150__rema_50100_equity_concave,13771.267999999993,37.71267999999992,-96.195743870912,rsma_100150__rema_50100,6.0,rsma_100150__rema_50100_equity_concave
rsma_100150__rema_50100_equity_convex,13771.267999999993,37.71267999999992,-96.195743870912,rsma_100150__rema_50100,6.0,rsma_100150__rema_50100_equity_convex
rbo_100__rema_50100_equity_convex,13762.096300000008,37.62096300000009,-95.78279707565865,rbo_100__rema_50100,18.0,rbo_100__rema_50100_equity_convex
rsma_100150__rsma_50100150_equity_convex,13568.771700000008,35.687717000000085,-65.149622018188,rsma_100150__rsma_50100150,69.0,rsma_100150__rsma_50100150_equity_convex
rtt_5020__rema_50100_equity_convex,13467.002000000015,34.67002000000014,-95.6902797732001,rtt_5020__rema_50100,7.0,rtt_5020__rema_50100_equity_convex
rbo_50__rema_50100_equity_convex,13467.002000000015,34.67002000000014,-95.6902797732001,rbo_50__rema_50100,7.0,rbo_50__rema_50100_equity_convex
rema_50100__rbo_20_equity_convex,12945.530300000015,29.455303000000143,-78.10372132984227,rema_50100__rbo_20,46.0,rema_50100__rbo_20_equity_convex
rema_50100__rsma_100150_equity_convex,12760.7064,27.607063999999994,-68.46993576617065,rema_50100__rsma_100150,9.0,rema_50100__rsma_100150_equity_convex
rema_100150__rbo_20_equity_concave,12660.203300000006,26.60203300000006,-64.9450687922202,rema_100150__rbo_20,62.0,rema_100150__rbo_20_equity_concave
rsma_100150__rema_50100150_equity_concave,12579.257300000014,25.79257300000013,-67.6513766494616,rsma_100150__rema_50100150,88.0,rsma_100150__rema_50100150_equity_concave
rbo_20__rema_100150_equity_concave,12473.519399999994,24.73519399999993,-86.4856022970142,rbo_20__rema_100150,17.0,rbo_20__rema_100150_equity_concave
rema_100150__rsma_100150_equity_convex,12339.939100000007,23.39939100000006,-95.75915081685024,rema_100150__rsma_100150,20.0,rema_100150__rsma_100150_equity_convex
rema_100150__rsma_100150_equity_concave,12339.939100000007,23.39939100000006,-95.75915081685024,rema_100150__rsma_100150,20.0,rema_100150__rsma_100150_equity_concave
rbo_20__rema_100150_equity_convex,12259.802100000003,22.598021000000035,-86.25050089882589,rbo_20__rema_100150,17.0,rbo_20__rema_100150_equity_convex
rbo_50__rsma_50100150_equity_concave,12179.185499999989,21.79185499999989,-86.15855254830295,rbo_50__rsma_50100150,57.0,rbo_50__rsma_50100150_equity_concave
rsma_50100150__rsma_100150_equity_convex,12157.47219999999,21.574721999999902,-83.21564008602054,rsma_50100150__rsma_100150,5.0,rsma_50100150__rsma_100150_equity_convex
rsma_100150__rbo_20_equity_convex,12151.730299999997,21.517302999999966,-64.65723932235402,rsma_100150__rbo_20,45.0,rsma_100150__rbo_20_equity_convex
rtt_5020__rema_50100150_equity_concave,12138.608899999996,21.386088999999963,-86.11413015945737,rtt_5020__rema_50100150,57.0,rtt_5020__rema_50100150_equity_concave
rtt_5020__rema_50100150_equity_convex,12053.778499999995,20.537784999999943,-86.0156503278527,rtt_5020__rema_50100150,57.0,rtt_5020__rema_50100150_equity_convex
rsma_100150__rsma_50100150_equity_concave,11936.270500000011,19.362705000000126,-65.19549501357396,rsma_100150__rsma_50100150,69.0,rsma_100150__rsma_50100150_equity_concave
rsma_100150_equity_equal,11465.829199999995,14.65829199999995,-13.372311149446539,rsma_100150,,rsma_100150_equity_equal
rema_50100__rsma_100150_equity_concave,11455.68810000001,14.5568810000001,-72.78940787574902,rema_50100__rsma_100150,9.0,rema_50100__rsma_100150_equity_concave
rsma_50100_equity_equal,11440.175699999998,14.401756999999971,-13.321490100309564,rsma_50100,,rsma_50100_equity_equal
rsma_50100150__rsma_100150_equity_concave,11143.90139999999,11.439013999999892,-88.14921227401823,rsma_50100150__rsma_100150,5.0,rsma_50100150__rsma_100150_equity_concave
rbo_100_equity_equal,11015.012799999997,10.15012799999997,-9.658710471046296,rbo_100,,rbo_100_equity_equal
rsma_50100150_equity_equal,10933.403100000001,9.33403100000001,-11.598602614313672,rsma_50100150,,rsma_50100150_equity_equal
rema_100150_equity_equal,10839.746900000018,8.397469000000179,-8.254315173956012,rema_100150,,rema_100150_equity_equal
rema_50100_equity_equal,10822.758699999988,8.22758699999988,-9.380000283742577,rema_50100,,rema_50100_equity_equal
rbo_50_equity_equal,10772.249799999998,7.722497999999978,-9.552022617406838,rbo_50,,rbo_50_equity_equal
rema_50100150_equity_equal,10761.311500000002,7.613115000000015,-9.70226058910494,rema_50100150,,rema_50100150_equity_equal
rsma_50100__rbo_50_equity_equal,10757.388199999992,7.573881999999932,-7.294269505589244,rsma_50100__rbo_50,25.0,rsma_50100__rbo_50_equity_equal
rsma_50100__rtt_5020_equity_equal,10757.388199999992,7.573881999999932,-7.294269505589244,rsma_50100__rtt_5020,25.0,rsma_50100__rtt_5020_equity_equal
rbo_100__rema_50100_equity_concave,10737.583900000001,7.375839000000006,-110.61698331044114,rbo_100__rema_50100,18.0,rbo_100__rema_50100_equity_concave
rsma_50100__rema_50100_equity_equal,10699.194699999984,6.991946999999832,-6.791421253915858,rsma_50100__rema_50100,15.0,rsma_50100__rema_50100_equity_equal
