combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,2,6,0,0,77,153,297,14.61100569259962,29.03225806451613,56.35673624288425,38.5,25.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,17,1,16,0,0,89,165,273,16.888045540796963,31.309297912713475,51.802656546489565,89.0,10.3125,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,14,1,13,0,0,89,237,201,16.888045540796963,44.97153700189753,38.1404174573055,89.0,18.23076923076923,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,1,4,0,0,89,177,261,16.888045540796963,33.586337760910816,49.52561669829222,89.0,44.25,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,27,1,26,0,0,89,180,258,16.888045540796963,34.15559772296015,48.95635673624288,89.0,6.923076923076923,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,18,1,17,0,0,89,209,229,16.888045540796963,39.658444022770404,43.45351043643264,89.0,12.294117647058824,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,58,1,57,0,0,89,100,338,16.888045540796963,18.975332068311197,64.13662239089184,89.0,1.7543859649122806,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,20,1,19,0,0,89,210,228,16.888045540796963,39.84819734345351,43.26375711574953,89.0,11.052631578947368,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,17,1,16,0,0,89,245,193,16.888045540796963,46.48956356736243,36.62239089184061,89.0,15.3125,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,70,1,69,0,0,89,88,350,16.888045540796963,16.698292220113853,66.41366223908919,89.0,1.2753623188405796,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,22,7,15,0,0,83,138,306,15.749525616698293,26.185958254269448,58.06451612903226,11.857142857142858,9.2,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,89,151,287,16.888045540796963,28.6527514231499,54.459203036053125,89.0,75.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,2,1,1,0,0,89,225,213,16.888045540796963,42.69449715370019,40.41745730550284,89.0,225.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,89,151,287,16.888045540796963,28.6527514231499,54.459203036053125,89.0,75.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,15,1,14,0,0,89,168,270,16.888045540796963,31.87855787476281,51.23339658444023,89.0,12.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,8,1,7,0,0,89,199,239,16.888045540796963,37.76091081593928,45.35104364326376,89.0,28.428571428571427,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,57,1,56,0,0,89,95,343,16.888045540796963,18.026565464895636,65.08538899430741,89.0,1.6964285714285714,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,7,1,6,0,0,89,195,243,16.888045540796963,37.00189753320683,46.110056925996204,89.0,32.5,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,5,1,4,0,0,89,233,205,16.888045540796963,44.212523719165084,38.89943074003795,89.0,58.25,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,68,1,67,0,0,89,85,353,16.888045540796963,16.129032258064516,66.98292220113852,89.0,1.2686567164179106,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,56,7,49,0,0,83,176,268,15.749525616698293,33.396584440227706,50.853889943074,11.857142857142858,3.5918367346938775,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,39,1,38,0,0,89,187,251,16.888045540796963,35.483870967741936,47.6280834914611,89.0,4.921052631578948,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,1,1,0,0,89,225,213,16.888045540796963,42.69449715370019,40.41745730550284,89.0,225.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,37,1,36,0,0,89,189,249,16.888045540796963,35.86337760910816,47.24857685009488,89.0,5.25,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,37,1,36,0,0,89,190,248,16.888045540796963,36.05313092979127,47.05882352941176,89.0,5.277777777777778,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,18,1,17,0,0,89,209,229,16.888045540796963,39.658444022770404,43.45351043643264,89.0,12.294117647058824,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,81,1,80,0,0,89,146,292,16.888045540796963,27.703984819734345,55.40796963946869,89.0,1.825,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,18,1,17,0,0,89,208,230,16.888045540796963,39.46869070208729,43.643263757115754,89.0,12.235294117647058,True,
