equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rema_50100_equity_concave,73327.66499999996,633.2766499999997,-90.59367479115667,rsma_100150__rema_50100,16.0,rsma_100150__rema_50100_equity_concave
rsma_100150__rema_50100_equity_convex,70097.94529999996,600.9794529999996,-90.01771765394982,rsma_100150__rema_50100,16.0,rsma_100150__rema_50100_equity_convex
rsma_100150__rsma_100150_equity_concave,66235.44140000001,562.3544140000001,-89.1896951470157,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_concave
rsma_100150__rsma_100150_equity_convex,66235.44140000001,562.3544140000001,-89.1896951470157,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_convex
rsma_100150__rbo_100_equity_concave,63644.0001,536.4400009999999,-89.16275202286394,rsma_100150__rbo_100,19.0,rsma_100150__rbo_100_equity_concave
rsma_100150__rbo_20_equity_concave,59819.38369999998,498.19383699999975,-89.07660220423142,rsma_100150__rbo_20,42.0,rsma_100150__rbo_20_equity_concave
rsma_100150__rsma_50100_equity_concave,57914.76020000006,479.14760200000063,-88.70953763903225,rsma_100150__rsma_50100,11.0,rsma_100150__rsma_50100_equity_concave
rsma_100150__rtt_5020_equity_concave,57038.15769999997,470.38157699999965,-87.89759963676195,rsma_100150__rtt_5020,29.0,rsma_100150__rtt_5020_equity_concave
rsma_100150__rbo_50_equity_concave,57038.15769999997,470.38157699999965,-87.89759963676195,rsma_100150__rbo_50,29.0,rsma_100150__rbo_50_equity_concave
rsma_100150__rbo_50_equity_convex,52828.540099999955,428.2854009999996,-86.71332313401255,rsma_100150__rbo_50,29.0,rsma_100150__rbo_50_equity_convex
rsma_100150__rtt_5020_equity_convex,52828.540099999955,428.2854009999996,-86.71332313401255,rsma_100150__rtt_5020,29.0,rsma_100150__rtt_5020_equity_convex
rsma_100150__rbo_100_equity_convex,51695.675699999985,416.9567569999998,-86.46305512851092,rsma_100150__rbo_100,19.0,rsma_100150__rbo_100_equity_convex
rsma_100150__rsma_50100_equity_convex,48075.295500000066,380.7529550000006,-86.19786993461858,rsma_100150__rsma_50100,11.0,rsma_100150__rsma_50100_equity_convex
rsma_100150__rbo_20_equity_convex,47227.18519999999,372.2718519999999,-85.98978766683652,rsma_100150__rbo_20,42.0,rsma_100150__rbo_20_equity_convex
rema_100150__rema_50100_equity_concave,47005.22279999994,370.05222799999945,-104.417617163854,rema_100150__rema_50100,38.0,rema_100150__rema_50100_equity_concave
rbo_100__rsma_100150_equity_concave,46617.4339,366.1743390000001,-84.4824252286884,rbo_100__rsma_100150,15.0,rbo_100__rsma_100150_equity_concave
rsma_50100__rbo_100_equity_concave,43589.443299999955,335.89443299999954,-105.28710148371701,rsma_50100__rbo_100,17.0,rsma_50100__rbo_100_equity_concave
rema_100150__rema_50100_equity_convex,40955.10009999993,309.5510009999993,-82.91372615946318,rema_100150__rema_50100,38.0,rema_100150__rema_50100_equity_convex
rsma_50100__rbo_100_equity_convex,40808.661699999975,308.08661699999976,-101.1678273835582,rsma_50100__rbo_100,17.0,rsma_50100__rbo_100_equity_convex
rbo_100__rsma_100150_equity_convex,40284.22290000002,302.84222900000026,-81.74478556814788,rbo_100__rsma_100150,15.0,rbo_100__rsma_100150_equity_convex
rbo_100__rsma_50100_equity_concave,40173.576800000024,301.73576800000023,-84.34735402482232,rbo_100__rsma_50100,2.0,rbo_100__rsma_50100_equity_concave
rbo_100__rema_50100_equity_concave,40079.800800000026,300.7980080000003,-82.7624025518018,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_concave
rema_100150__rbo_50_equity_concave,38613.61439999989,286.1361439999989,-83.17897944732158,rema_100150__rbo_50,42.0,rema_100150__rbo_50_equity_concave
rbo_100__rsma_50100_equity_convex,38043.52640000001,280.43526400000013,-81.25846304558813,rbo_100__rsma_50100,2.0,rbo_100__rsma_50100_equity_convex
rbo_100__rbo_100_equity_concave,37904.32160000001,279.0432160000001,-84.62186151929222,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_concave
rbo_100__rbo_100_equity_convex,37904.32160000001,279.0432160000001,-84.62186151929222,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_convex
rbo_100__rema_50100_equity_convex,37634.86440000002,276.3486440000002,-79.45641997020513,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_convex
rema_100150__rbo_50_equity_convex,34362.05029999994,243.6205029999994,-80.16003966728309,rema_100150__rbo_50,42.0,rema_100150__rbo_50_equity_convex
rsma_50100__rema_50100_equity_concave,34012.866800000025,240.12866800000023,-114.63621655258504,rsma_50100__rema_50100,6.0,rsma_50100__rema_50100_equity_concave
rsma_50100__rema_50100_equity_convex,34006.42410000003,240.06424100000032,-114.63061177284332,rsma_50100__rema_50100,6.0,rsma_50100__rema_50100_equity_convex
rsma_50100__rsma_100150_equity_convex,33120.03779999997,231.2003779999997,-77.75362230720121,rsma_50100__rsma_100150,23.0,rsma_50100__rsma_100150_equity_convex
rsma_50100__rsma_50100_equity_concave,33039.4873,230.39487300000002,-110.81469762100727,rsma_50100__rsma_50100,2.0,rsma_50100__rsma_50100_equity_concave
rema_50100__rema_50100_equity_concave,32600.731900000002,226.00731900000005,-113.58407688648262,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_concave
rsma_50100__rsma_50100_equity_convex,31861.77699999999,218.61776999999992,-100.90492367234762,rsma_50100__rsma_50100,2.0,rsma_50100__rsma_50100_equity_convex
rsma_50100__rsma_100150_equity_concave,31524.96849999996,215.2496849999996,-76.72670462826717,rsma_50100__rsma_100150,23.0,rsma_50100__rsma_100150_equity_concave
rema_50100__rema_50100_equity_convex,31296.388400000014,212.96388400000015,-100.55410813311134,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_convex
rema_50100__rsma_50100_equity_concave,31049.97800000002,210.49978000000021,-104.97554319193168,rema_50100__rsma_50100,6.0,rema_50100__rsma_50100_equity_concave
rema_50100__rsma_100150_equity_convex,30908.481200000046,209.08481200000045,-76.106075243215,rema_50100__rsma_100150,28.0,rema_50100__rsma_100150_equity_convex
rbo_100__rbo_50_equity_concave,30205.34420000003,202.05344200000027,-81.07363428055172,rbo_100__rbo_50,12.0,rbo_100__rbo_50_equity_concave
rbo_100__rtt_5020_equity_concave,30205.34420000003,202.05344200000027,-81.07363428055172,rbo_100__rtt_5020,12.0,rbo_100__rtt_5020_equity_concave
rbo_100__rtt_5020_equity_convex,29453.745400000018,194.53745400000017,-80.53576093735882,rbo_100__rtt_5020,12.0,rbo_100__rtt_5020_equity_convex
rbo_100__rbo_50_equity_convex,29453.745400000018,194.53745400000017,-80.53576093735882,rbo_100__rbo_50,12.0,rbo_100__rbo_50_equity_convex
rema_50100__rsma_50100_equity_convex,28987.278000000013,189.87278000000015,-87.22512734260455,rema_50100__rsma_50100,6.0,rema_50100__rsma_50100_equity_convex
rema_50100__rsma_100150_equity_concave,28033.237700000052,180.33237700000052,-73.74942608472523,rema_50100__rsma_100150,28.0,rema_50100__rsma_100150_equity_concave
rema_50100__rbo_100_equity_convex,27392.122600000057,173.92122600000056,-73.68527810788932,rema_50100__rbo_100,17.0,rema_50100__rbo_100_equity_convex
rema_50100__rbo_100_equity_concave,27339.17560000008,173.3917560000008,-74.17379471869245,rema_50100__rbo_100,17.0,rema_50100__rbo_100_equity_concave
rbo_100__rbo_20_equity_concave,27338.7661,173.38766100000004,-83.39870720836217,rbo_100__rbo_20,25.0,rbo_100__rbo_20_equity_concave
rsma_100150__rsma_50100150_equity_concave,23674.229599999988,136.7422959999999,-79.953811683786,rsma_100150__rsma_50100150,50.0,rsma_100150__rsma_50100150_equity_concave
rema_50100__rema_100150_equity_concave,22622.47279999999,126.22472799999991,-73.22884645507928,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_concave
rema_50100__rema_100150_equity_convex,22622.47279999999,126.22472799999991,-73.22884645507928,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_convex
rema_100150__rema_100150_equity_convex,22622.47279999999,126.22472799999991,-73.22884645507928,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_convex
rbo_100__rema_100150_equity_convex,22622.47279999999,126.22472799999991,-73.22884645507928,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_convex
rema_100150__rema_100150_equity_concave,22622.47279999999,126.22472799999991,-73.22884645507928,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_concave
rsma_100150__rema_100150_equity_convex,22622.47279999999,126.22472799999991,-73.22884645507928,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_convex
rsma_50100__rema_100150_equity_convex,22622.47279999999,126.22472799999991,-73.22884645507928,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_convex
rsma_100150__rema_100150_equity_concave,22622.47279999999,126.22472799999991,-73.22884645507928,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_concave
rbo_100__rema_100150_equity_concave,22622.47279999999,126.22472799999991,-73.22884645507928,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_concave
rsma_50100__rema_100150_equity_concave,22622.47279999999,126.22472799999991,-73.22884645507928,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_concave
rbo_100__rbo_20_equity_convex,22117.964900000006,121.17964900000007,-80.50042765873854,rbo_100__rbo_20,25.0,rbo_100__rbo_20_equity_convex
rsma_50100__rtt_5020_equity_concave,20698.6063,106.986063,-116.97100528986041,rsma_50100__rtt_5020,19.0,rsma_50100__rtt_5020_equity_concave
rsma_50100__rbo_50_equity_concave,20698.6063,106.986063,-116.97100528986041,rsma_50100__rbo_50,19.0,rsma_50100__rbo_50_equity_concave
rsma_50100__rtt_5020_equity_convex,20583.369999999995,105.83369999999994,-101.46048355940263,rsma_50100__rtt_5020,19.0,rsma_50100__rtt_5020_equity_convex
rsma_50100__rbo_50_equity_convex,20583.369999999995,105.83369999999994,-101.46048355940263,rsma_50100__rbo_50,19.0,rsma_50100__rbo_50_equity_convex
rsma_100150__rsma_50100150_equity_convex,20285.747399999997,102.85747399999998,-73.70264050482777,rsma_100150__rsma_50100150,50.0,rsma_100150__rsma_50100150_equity_convex
rema_50100__rbo_50_equity_convex,20180.145099999998,101.801451,-80.46137905215151,rema_50100__rbo_50,15.0,rema_50100__rbo_50_equity_convex
rema_50100__rtt_5020_equity_convex,20180.145099999998,101.801451,-80.46137905215151,rema_50100__rtt_5020,15.0,rema_50100__rtt_5020_equity_convex
rema_50100__rtt_5020_equity_concave,19858.483299999996,98.58483299999996,-109.98823789584952,rema_50100__rtt_5020,15.0,rema_50100__rtt_5020_equity_concave
rema_50100__rbo_50_equity_concave,19858.483299999996,98.58483299999996,-109.98823789584952,rema_50100__rbo_50,15.0,rema_50100__rbo_50_equity_concave
rema_100150__rbo_100_equity_convex,19576.40820000003,95.7640820000003,-71.73426783400768,rema_100150__rbo_100,53.0,rema_100150__rbo_100_equity_convex
rema_100150__rsma_100150_equity_convex,18131.377200000035,81.31377200000036,-69.69968687709272,rema_100150__rsma_100150,49.0,rema_100150__rsma_100150_equity_convex
rsma_50100__rbo_20_equity_concave,16271.332599999985,62.71332599999986,-116.92907578845973,rsma_50100__rbo_20,33.0,rsma_50100__rbo_20_equity_concave
rsma_50100__rbo_20_equity_convex,16200.915299999993,62.00915299999994,-100.69863221472912,rsma_50100__rbo_20,33.0,rsma_50100__rbo_20_equity_convex
rema_100150__rsma_50100_equity_convex,16098.405600000042,60.98405600000041,-75.264305934832,rema_100150__rsma_50100,37.0,rema_100150__rsma_50100_equity_convex
rema_100150__rbo_100_equity_concave,15669.72610000005,56.697261000000495,-77.32036754189657,rema_100150__rbo_100,53.0,rema_100150__rbo_100_equity_concave
rema_50100__rbo_20_equity_convex,15576.847699999986,55.76847699999985,-79.93416452813504,rema_50100__rbo_20,28.0,rema_50100__rbo_20_equity_convex
rema_100150__rtt_5020_equity_concave,14741.458599999924,47.41458599999924,-156.81274028858726,rema_100150__rtt_5020,36.0,rema_100150__rtt_5020_equity_concave
rema_100150__rtt_5020_equity_convex,14265.163899999958,42.65163899999958,-154.65703126952397,rema_100150__rtt_5020,36.0,rema_100150__rtt_5020_equity_convex
