equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rbo_100_equity_concave,28600.470400000035,186.00470400000034,-78.31570594918003,rema_50100150__rbo_100,7.0,rema_50100150__rbo_100
rema_50100150__rbo_100_equity_convex,25472.563800000044,154.72563800000043,-77.97003542323624,rema_50100150__rbo_100,7.0,rema_50100150__rbo_100
rsma_50100150__rbo_100_equity_concave,23267.31150000002,132.67311500000022,-80.40738987365015,rsma_50100150__rbo_100,3.0,rsma_50100150__rbo_100
rema_50100150__rbo_20_equity_concave,22527.79230000006,125.2779230000006,-62.95407139126831,rema_50100150__rbo_20,60.0,rema_50100150__rbo_20
rsma_50100150__rbo_100_equity_convex,21279.394800000013,112.79394800000011,-77.91072699697268,rsma_50100150__rbo_100,3.0,rsma_50100150__rbo_100
rema_50100150__rbo_20_equity_convex,21272.998300000036,112.72998300000037,-58.97789941304641,rema_50100150__rbo_20,60.0,rema_50100150__rbo_20
rsma_50100150__rema_50100150_equity_concave,20328.011599999987,103.28011599999986,-80.88637402858578,rsma_50100150__rema_50100150,12.0,rsma_50100150__rema_50100150
rsma_50100150__rema_50100150_equity_convex,19958.776200000008,99.58776200000008,-80.95709618116487,rsma_50100150__rema_50100150,12.0,rsma_50100150__rema_50100150
rbo_20__rsma_50100150_equity_concave,18054.24749999995,80.54247499999951,-80.4646568285879,rbo_20__rsma_50100150,67.0,rbo_20__rsma_50100150
rema_50100150__rema_50100150_equity_concave,16894.913899999996,68.94913899999995,-65.34098248698594,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150
rbo_50__rbo_100_equity_concave,16048.849899999997,60.488498999999976,-71.57723810566166,rbo_50__rbo_100,7.0,rbo_50__rbo_100
rema_50100150__rema_50100150_equity_convex,15350.168499999996,53.501684999999966,-60.24427182265772,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150
rema_50100150__rsma_50100150_equity_convex,14725.959399999938,47.259593999999375,-56.17228966939146,rema_50100150__rsma_50100150,59.0,rema_50100150__rsma_50100150
rsma_50100150__rbo_20_equity_convex,14714.423300000011,47.1442330000001,-49.128157568249314,rsma_50100150__rbo_20,58.0,rsma_50100150__rbo_20
rtt_5020__rsma_50100150_equity_concave,13815.212599999986,38.15212599999987,-73.91342356052643,rtt_5020__rsma_50100150,53.0,rtt_5020__rsma_50100150
rbo_50__rbo_100_equity_convex,13769.204099999984,37.692040999999854,-65.16021592416756,rbo_50__rbo_100,7.0,rbo_50__rbo_100
rsma_50100150__rbo_20_equity_concave,13745.220800000012,37.45220800000011,-53.39739169678867,rsma_50100150__rbo_20,58.0,rsma_50100150__rbo_20
rbo_20__rsma_50100150_equity_convex,13219.748399999971,32.19748399999971,-71.9257562231057,rbo_20__rsma_50100150,67.0,rbo_20__rsma_50100150
rema_50100150__rtt_5020_equity_convex,12755.811299999988,27.558112999999885,-48.40527211219727,rema_50100150__rtt_5020,19.0,rema_50100150__rtt_5020
rbo_20__rbo_100_equity_concave,12752.462399999997,27.524623999999974,-63.67192734278906,rbo_20__rbo_100,3.0,rbo_20__rbo_100
rtt_5020__rbo_100_equity_concave,12752.462399999997,27.524623999999974,-63.67192734278906,rtt_5020__rbo_100,3.0,rtt_5020__rbo_100
rema_50100150__rtt_5020_equity_concave,12661.208999999979,26.6120899999998,-53.38699072983991,rema_50100150__rtt_5020,19.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_constant,11967.620800000008,19.676208000000074,-19.600832928938992,rema_50100150__rbo_20,60.0,rema_50100150__rbo_20
rbo_20__rsma_50100150_equity_constant,11966.037200000008,19.66037200000008,-24.590157154679876,rbo_20__rsma_50100150,67.0,rbo_20__rsma_50100150
rtt_5020__rsma_50100150_equity_convex,11774.379299999984,17.74379299999984,-67.80679993726906,rtt_5020__rsma_50100150,53.0,rtt_5020__rsma_50100150
rsma_50100150__rsma_50100150_equity_convex,11696.672100000005,16.96672100000005,-57.23029606126811,rsma_50100150__rsma_50100150,7.0,rsma_50100150__rsma_50100150
rema_50100150__rsma_50100150_equity_concave,11661.295999999953,16.61295999999952,-66.15426969616347,rema_50100150__rsma_50100150,59.0,rema_50100150__rsma_50100150
rtt_5020__rsma_50100150_equity_constant,11630.220500000005,16.302205000000058,-22.15046715009458,rtt_5020__rsma_50100150,53.0,rtt_5020__rsma_50100150
rtt_5020__rbo_100_equity_convex,11595.765599999997,15.957655999999965,-61.069687255171424,rtt_5020__rbo_100,3.0,rtt_5020__rbo_100
rbo_20__rbo_100_equity_convex,11595.765599999997,15.957655999999965,-61.069687255171424,rbo_20__rbo_100,3.0,rbo_20__rbo_100
rema_50100150__rbo_100_equity_constant,11542.4167,15.424167,-17.911498598917753,rema_50100150__rbo_100,7.0,rema_50100150__rbo_100
rema_50100150__rsma_50100150_equity_constant,11530.380499999992,15.303804999999926,-16.778235549121632,rema_50100150__rsma_50100150,59.0,rema_50100150__rsma_50100150
rsma_50100150__rbo_20_equity_constant,11523.565999999992,15.235659999999918,-18.753653215784524,rsma_50100150__rbo_20,58.0,rsma_50100150__rbo_20
rsma_50100150__rbo_100_equity_constant,11316.991600000007,13.16991600000006,-19.387287062550705,rsma_50100150__rbo_100,3.0,rsma_50100150__rbo_100
rbo_50__rbo_100_equity_constant,11166.472200000013,11.664722000000127,-17.726824463106052,rbo_50__rbo_100,7.0,rbo_50__rbo_100
rsma_50100150__rema_50100150_equity_constant,11023.037300000004,10.230373000000025,-19.346099075321526,rsma_50100150__rema_50100150,12.0,rsma_50100150__rema_50100150
rbo_20__rbo_100_equity_constant,10774.740899999999,7.747408999999994,-16.585908912179953,rbo_20__rbo_100,3.0,rbo_20__rbo_100
rtt_5020__rbo_100_equity_constant,10774.740899999999,7.747408999999994,-16.585908912179953,rtt_5020__rbo_100,3.0,rtt_5020__rbo_100
rema_50100150__rema_50100150_equity_constant,10747.357100000007,7.473571000000057,-16.005680579674927,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150
