combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,5,5,0,0,149,106,276,28.06026365348399,19.962335216572505,51.9774011299435,29.8,21.2,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,27,24,3,0,0,205,145,181,38.60640301318267,27.30696798493409,34.08662900188324,8.541666666666666,48.333333333333336,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,3,1,2,0,0,256,188,87,48.21092278719397,35.40489642184557,16.38418079096045,256.0,94.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,4,3,0,0,225,145,161,42.3728813559322,27.30696798493409,30.32015065913371,56.25,48.333333333333336,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,37,30,6,1,0,227,166,138,42.749529190207156,31.26177024482109,25.98870056497175,7.566666666666666,27.666666666666668,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,38,21,17,0,0,187,149,195,35.2165725047081,28.06026365348399,36.72316384180791,8.904761904761905,8.764705882352942,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,66,50,16,0,0,158,124,249,29.75517890772128,23.35216572504708,46.89265536723164,3.16,7.75,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,12,1,10,1,0,256,137,138,48.21092278719397,25.800376647834273,25.98870056497175,256.0,13.7,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,13,1,11,1,0,256,154,121,48.21092278719397,29.001883239171374,22.78719397363465,256.0,14.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,22,1,20,1,0,256,112,163,48.21092278719397,21.092278719397363,30.69679849340866,256.0,5.6,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,67,44,23,0,0,148,124,259,27.87193973634652,23.35216572504708,48.7758945386064,3.3636363636363638,5.391304347826087,True,
