equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020__rbo_20_equity_concave,35384.139699999985,253.84139699999983,-84.34834311285854,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20_equity_concave
rsma_50100150__rema_50100_equity_convex,31183.2144,211.832144,-118.6125611152052,rsma_50100150__rema_50100,10.0,rsma_50100150__rema_50100_equity_convex
rtt_5020__rbo_20_equity_convex,29916.703800000003,199.16703800000005,-77.99568135603981,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20_equity_convex
rsma_50100150__rema_50100_equity_concave,29730.12749999998,197.30127499999978,-116.53279227095761,rsma_50100150__rema_50100,10.0,rsma_50100150__rema_50100_equity_concave
rbo_20__rbo_20_equity_convex,23883.599900000005,138.83599900000004,-74.94124533294233,rbo_20__rbo_20,10.0,rbo_20__rbo_20_equity_convex
rbo_20__rbo_20_equity_concave,21164.169799999996,111.64169799999995,-79.02573403373333,rbo_20__rbo_20,10.0,rbo_20__rbo_20_equity_concave
rbo_50__rsma_50100_equity_concave,19040.017300000018,90.40017300000018,-93.96945847386405,rbo_50__rsma_50100,29.0,rbo_50__rsma_50100_equity_concave
rsma_50100150__rbo_100_equity_convex,18684.488499999985,86.84488499999985,-134.77688953986333,rsma_50100150__rbo_100,15.0,rsma_50100150__rbo_100_equity_convex
rsma_50100150__rbo_100_equity_concave,17421.207099999992,74.21207099999991,-128.65032816818572,rsma_50100150__rbo_100,15.0,rsma_50100150__rbo_100_equity_concave
rsma_50100150__rtt_5020_equity_concave,17128.60639999997,71.2860639999997,-141.31897390623277,rsma_50100150__rtt_5020,7.0,rsma_50100150__rtt_5020_equity_concave
rsma_50100150__rtt_5020_equity_convex,17128.60639999997,71.2860639999997,-141.31897390623277,rsma_50100150__rtt_5020,7.0,rsma_50100150__rtt_5020_equity_convex
rsma_50100150__rbo_50_equity_convex,17128.60639999997,71.2860639999997,-141.31897390623277,rsma_50100150__rbo_50,7.0,rsma_50100150__rbo_50_equity_convex
rsma_50100150__rbo_50_equity_concave,17128.60639999997,71.2860639999997,-141.31897390623277,rsma_50100150__rbo_50,7.0,rsma_50100150__rbo_50_equity_concave
rbo_50__rsma_50100_equity_convex,16985.429,69.85429,-87.67381916786782,rbo_50__rsma_50100,29.0,rbo_50__rsma_50100_equity_convex
rtt_5020__rtt_5020_equity_concave,15437.433599999997,54.37433599999997,-88.75201652110935,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020_equity_concave
rtt_5020__rbo_50_equity_concave,15437.433599999997,54.37433599999997,-88.75201652110935,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50_equity_concave
rbo_50__rbo_50_equity_concave,15437.433599999997,54.37433599999997,-88.75201652110935,rbo_50__rbo_50,4.0,rbo_50__rbo_50_equity_concave
rbo_50__rtt_5020_equity_concave,15437.433599999997,54.37433599999997,-88.75201652110935,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020_equity_concave
rtt_5020__rtt_5020_equity_convex,15435.861599999993,54.35861599999994,-88.75201652110935,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020_equity_convex
rbo_50__rbo_50_equity_convex,15435.861599999993,54.35861599999994,-88.75201652110935,rbo_50__rbo_50,4.0,rbo_50__rbo_50_equity_convex
rbo_50__rtt_5020_equity_convex,15435.861599999993,54.35861599999994,-88.75201652110935,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020_equity_convex
rtt_5020__rbo_50_equity_convex,15435.861599999993,54.35861599999994,-88.75201652110935,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50_equity_convex
rsma_100150__rbo_50_equity_convex,15096.427400000022,50.96427400000023,-88.75560175193607,rsma_100150__rbo_50,18.0,rsma_100150__rbo_50_equity_convex
rtt_5020__rema_50100_equity_convex,14739.144900000003,47.39144900000003,-94.7335928387862,rtt_5020__rema_50100,15.0,rtt_5020__rema_50100_equity_convex
rbo_50__rema_50100_equity_convex,14739.144900000003,47.39144900000003,-94.7335928387862,rbo_50__rema_50100,15.0,rbo_50__rema_50100_equity_convex
rbo_50__rbo_20_equity_convex,14512.379799999995,45.12379799999995,-71.63849265322409,rbo_50__rbo_20,46.0,rbo_50__rbo_20_equity_convex
rsma_100150__rbo_20_equity_convex,14272.635200000013,42.72635200000012,-71.65319037978284,rsma_100150__rbo_20,45.0,rsma_100150__rbo_20_equity_convex
rbo_50__rema_50100_equity_concave,14203.8633,42.03863300000001,-95.17651662100933,rbo_50__rema_50100,15.0,rbo_50__rema_50100_equity_concave
rtt_5020__rema_50100_equity_concave,14203.8633,42.03863300000001,-95.17651662100933,rtt_5020__rema_50100,15.0,rtt_5020__rema_50100_equity_concave
rbo_100__rema_50100_equity_convex,13495.017700000015,34.95017700000016,-189.1807247484148,rbo_100__rema_50100,5.0,rbo_100__rema_50100_equity_convex
rtt_5020__rsma_50100_equity_convex,13367.935100000046,33.67935100000046,-83.0360833214014,rtt_5020__rsma_50100,26.0,rtt_5020__rsma_50100_equity_convex
rsma_100150__rbo_20_equity_concave,13295.276500000024,32.95276500000024,-88.10641991827133,rsma_100150__rbo_20,45.0,rsma_100150__rbo_20_equity_concave
rbo_20__rema_50100_equity_convex,13045.708600000025,30.457086000000256,-94.7335928387862,rbo_20__rema_50100,30.0,rbo_20__rema_50100_equity_convex
rbo_50__rbo_20_equity_concave,13023.774899999997,30.23774899999996,-88.11178954557542,rbo_50__rbo_20,46.0,rbo_50__rbo_20_equity_concave
rsma_100150__rtt_5020_equity_convex,12794.977200000016,27.949772000000152,-88.75560175193607,rsma_100150__rtt_5020,18.0,rsma_100150__rtt_5020_equity_convex
rbo_100__rema_50100_equity_concave,12618.343400000012,26.183434000000116,-174.21296322084325,rbo_100__rema_50100,5.0,rbo_100__rema_50100_equity_concave
rbo_20__rema_50100_equity_concave,12534.570800000043,25.34570800000042,-95.17651662100933,rbo_20__rema_50100,30.0,rbo_20__rema_50100_equity_concave
