equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rsma_100150_equity_convex,16566.7906,65.66790600000002,-59.39436202139119,rema_50100150__rsma_100150,2.0,rema_50100150__rsma_100150_equity_convex
rema_50100150__rsma_100150_equity_concave,16566.7906,65.66790600000002,-59.39436202139119,rema_50100150__rsma_100150,2.0,rema_50100150__rsma_100150_equity_concave
rema_50100150__rsma_50100150_equity_concave,16566.7906,65.66790600000002,-59.39436202139119,rema_50100150__rsma_50100150,2.0,rema_50100150__rsma_50100150_equity_concave
rema_50100150__rsma_50100150_equity_convex,16566.7906,65.66790600000002,-59.39436202139119,rema_50100150__rsma_50100150,2.0,rema_50100150__rsma_50100150_equity_convex
rsma_50100150__rsma_100150_equity_concave,15800.952500000003,58.009525000000025,-64.44931919107046,rsma_50100150__rsma_100150,1.0,rsma_50100150__rsma_100150_equity_concave
rsma_50100150__rsma_100150_equity_convex,15800.952500000003,58.009525000000025,-64.44931919107046,rsma_50100150__rsma_100150,1.0,rsma_50100150__rsma_100150_equity_convex
rsma_50100150__rsma_50100150_equity_concave,15800.952500000003,58.009525000000025,-64.44931919107046,rsma_50100150__rsma_50100150,1.0,rsma_50100150__rsma_50100150_equity_concave
rsma_50100150__rsma_50100150_equity_convex,15800.952500000003,58.009525000000025,-64.44931919107046,rsma_50100150__rsma_50100150,1.0,rsma_50100150__rsma_50100150_equity_convex
rsma_50100150__rema_50100150_equity_concave,15781.806300000006,57.81806300000005,-58.94218122713889,rsma_50100150__rema_50100150,2.0,rsma_50100150__rema_50100150_equity_concave
rsma_50100150__rema_50100150_equity_convex,15781.806300000006,57.81806300000005,-58.94218122713889,rsma_50100150__rema_50100150,2.0,rsma_50100150__rema_50100150_equity_convex
rema_50100150__rema_100150_equity_concave,15470.8984,54.708983999999994,-59.39436202139119,rema_50100150__rema_100150,1.0,rema_50100150__rema_100150_equity_concave
