equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rbo_50_equity_concave,39437.97720000003,294.37977200000034,-88.86648619742083,rsma_100150__rbo_50,54.0,rsma_100150__rbo_50_equity_concave
rema_100150__rbo_50_equity_concave,36541.9036,265.419036,-85.52369452572347,rema_100150__rbo_50,62.0,rema_100150__rbo_50_equity_concave
rsma_100150__rbo_50_equity_convex,35848.129400000056,258.48129400000056,-87.47028651496474,rsma_100150__rbo_50,54.0,rsma_100150__rbo_50_equity_convex
rema_100150__rtt_5020_equity_concave,35728.16369999998,257.2816369999998,-84.9927084934836,rema_100150__rtt_5020,50.0,rema_100150__rtt_5020_equity_concave
rsma_100150__rbo_20_equity_concave,33893.249400000015,238.93249400000016,-83.7240688243478,rsma_100150__rbo_20,77.0,rsma_100150__rbo_20_equity_concave
rema_100150__rtt_5020_equity_convex,33706.01059999999,237.06010599999985,-82.35714651092691,rema_100150__rtt_5020,50.0,rema_100150__rtt_5020_equity_convex
rema_100150__rbo_50_equity_convex,33583.25300000001,235.8325300000001,-83.08412370072696,rema_100150__rbo_50,62.0,rema_100150__rbo_50_equity_convex
rsma_100150__rtt_5020_equity_concave,30941.27320000001,209.4127320000001,-84.81701661943963,rsma_100150__rtt_5020,42.0,rsma_100150__rtt_5020_equity_concave
rsma_100150__rbo_20_equity_convex,28942.329399999966,189.42329399999966,-77.92056139152189,rsma_100150__rbo_20,77.0,rsma_100150__rbo_20_equity_convex
rema_100150__rbo_20_equity_concave,28550.840999999953,185.50840999999951,-83.9059297883436,rema_100150__rbo_20,73.0,rema_100150__rbo_20_equity_concave
rsma_100150__rtt_5020_equity_convex,28017.697999999986,180.17697999999984,-81.3387526672069,rsma_100150__rtt_5020,42.0,rsma_100150__rtt_5020_equity_convex
rbo_100__rbo_50_equity_concave,27742.827700000067,177.4282770000007,-92.75670731610008,rbo_100__rbo_50,53.0,rbo_100__rbo_50_equity_concave
rema_100150__rbo_20_equity_convex,25583.58049999995,155.83580499999948,-78.57655108814173,rema_100150__rbo_20,73.0,rema_100150__rbo_20_equity_convex
rbo_100__rbo_50_equity_convex,24820.32280000001,148.20322800000008,-91.15391015248107,rbo_100__rbo_50,53.0,rbo_100__rbo_50_equity_convex
rbo_20__rtt_5020_equity_convex,22982.2786,129.82278600000004,-95.28462736365697,rbo_20__rtt_5020,8.0,rbo_20__rtt_5020_equity_convex
rbo_20__rtt_5020_equity_concave,22794.37259999998,127.94372599999981,-95.28685963594009,rbo_20__rtt_5020,8.0,rbo_20__rtt_5020_equity_concave
rema_50100__rtt_5020_equity_concave,22068.94790000003,120.68947900000029,-93.39642087820494,rema_50100__rtt_5020,40.0,rema_50100__rtt_5020_equity_concave
rbo_100__rtt_5020_equity_concave,21553.4241,115.53424099999998,-90.03808132805379,rbo_100__rtt_5020,41.0,rbo_100__rtt_5020_equity_concave
rbo_100__rbo_20_equity_concave,21475.65659999998,114.7565659999998,-87.5039207560472,rbo_100__rbo_20,77.0,rbo_100__rbo_20_equity_concave
rema_50100__rbo_50_equity_concave,20915.47530000001,109.1547530000001,-93.35360949472043,rema_50100__rbo_50,52.0,rema_50100__rbo_50_equity_concave
rema_50100__rtt_5020_equity_convex,20569.15539999997,105.69155399999973,-92.69897116377568,rema_50100__rtt_5020,40.0,rema_50100__rtt_5020_equity_convex
rema_50100__rbo_50_equity_convex,19655.77259999997,96.55772599999972,-92.70722155525807,rema_50100__rbo_50,52.0,rema_50100__rbo_50_equity_convex
rbo_100__rtt_5020_equity_convex,19645.235500000003,96.45235500000003,-87.88699605866466,rbo_100__rtt_5020,41.0,rbo_100__rtt_5020_equity_convex
rbo_100__rbo_20_equity_convex,18437.91269999998,84.37912699999978,-84.63040213144524,rbo_100__rbo_20,77.0,rbo_100__rbo_20_equity_convex
rema_50100__rbo_20_equity_concave,17486.198099999987,74.86198099999987,-91.07307696777987,rema_50100__rbo_20,69.0,rema_50100__rbo_20_equity_concave
rbo_20__rbo_50_equity_concave,16345.548099999964,63.45548099999962,-94.44703396963506,rbo_20__rbo_50,18.0,rbo_20__rbo_50_equity_concave
rbo_20__rbo_20_equity_concave,16062.604900000002,60.626049000000016,-92.19193833582607,rbo_20__rbo_20,8.0,rbo_20__rbo_20_equity_concave
rbo_20__rbo_50_equity_convex,15795.824599999989,57.95824599999988,-94.20539340253671,rbo_20__rbo_50,18.0,rbo_20__rbo_50_equity_convex
rsma_50100150__rbo_20_equity_concave,15060.858399999992,50.60858399999992,-76.38343594561164,rsma_50100150__rbo_20,52.0,rsma_50100150__rbo_20_equity_concave
rsma_50100150__rbo_20_equity_convex,14410.886799999967,44.10886799999967,-75.7633954216894,rsma_50100150__rbo_20,52.0,rsma_50100150__rbo_20_equity_convex
rtt_5020__rema_50100150_equity_constant,14192.201100000004,41.92201100000004,-40.10093614020164,rtt_5020__rema_50100150,54.0,rtt_5020__rema_50100150_equity_constant
rema_50100__rbo_20_equity_convex,14101.335699999992,41.01335699999993,-88.57654717675565,rema_50100__rbo_20,69.0,rema_50100__rbo_20_equity_convex
rbo_50__rema_50100150_equity_constant,13882.929099999998,38.82929099999997,-38.123691176649814,rbo_50__rema_50100150,77.0,rbo_50__rema_50100150_equity_constant
rtt_5020__rtt_5020_equity_convex,13408.311000000014,34.08311000000015,-92.87913656676572,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020_equity_convex
