combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,2,6,0,0,79,167,281,14.990512333965844,31.688804554079695,53.32068311195446,39.5,27.833333333333332,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,18,2,16,0,0,116,183,228,22.011385199240987,34.72485768500949,43.26375711574953,58.0,11.4375,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,5,2,2,1,0,127,259,141,24.09867172675522,49.146110056926,26.755218216318788,63.5,129.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,8,2,6,0,0,116,196,215,22.011385199240987,37.19165085388994,40.79696394686907,58.0,32.666666666666664,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,19,2,16,1,0,123,240,164,23.33965844402277,45.54079696394687,31.119544592030362,61.5,15.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,36,10,24,1,1,119,238,170,22.58064516129032,45.16129032258064,32.25806451612903,11.9,9.916666666666666,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,48,11,36,1,0,114,131,282,21.631878557874764,24.857685009487664,53.510436432637576,10.363636363636363,3.638888888888889,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,11,2,8,1,0,112,254,161,21.25237191650854,48.19734345351044,30.55028462998102,56.0,31.75,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,25,13,11,1,0,95,272,160,18.026565464895636,51.61290322580645,30.36053130929791,7.3076923076923075,24.727272727272727,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,68,13,54,1,0,95,114,318,18.026565464895636,21.631878557874764,60.341555977229596,7.3076923076923075,2.111111111111111,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,39,23,16,0,0,101,154,272,19.165085388994306,29.22201138519924,51.61290322580645,4.391304347826087,9.625,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,2,3,0,0,123,170,234,23.33965844402277,32.25806451612903,44.4022770398482,61.5,56.666666666666664,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,4,2,1,1,0,134,259,134,25.426944971537,49.146110056926,25.426944971537,67.0,259.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,2,3,0,0,123,170,234,23.33965844402277,32.25806451612903,44.4022770398482,61.5,56.666666666666664,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,18,2,15,1,0,130,239,158,24.667931688804554,45.35104364326376,29.98102466793169,65.0,15.933333333333334,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,35,10,23,1,1,126,238,163,23.908918406072104,45.16129032258064,30.929791271347252,12.6,10.347826086956522,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,50,11,38,1,0,121,133,273,22.960151802656547,25.23719165085389,51.802656546489565,11.0,3.5,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,16,7,8,1,0,124,253,150,23.52941176470588,48.007590132827325,28.46299810246679,17.714285714285715,31.625,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,37,24,11,1,1,107,273,147,20.30360531309298,51.802656546489565,27.893738140417458,4.458333333333333,24.818181818181817,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,77,20,56,1,0,117,116,294,22.2011385199241,22.011385199240987,55.787476280834916,5.85,2.0714285714285716,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,77,29,48,0,0,107,208,212,20.30360531309298,39.46869070208729,40.22770398481973,3.689655172413793,4.333333333333333,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,53,7,46,0,0,127,210,190,24.09867172675522,39.84819734345351,36.05313092979127,18.142857142857142,4.565217391304348,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,134,255,138,25.426944971537,48.38709677419355,26.185958254269448,67.0,127.5,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,41,7,34,0,0,128,221,178,24.28842504743833,41.935483870967744,33.776091081593925,18.285714285714285,6.5,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,33,4,29,0,0,132,248,147,25.047438330170777,47.05882352941176,27.893738140417458,33.0,8.551724137931034,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,35,10,24,0,1,126,234,167,23.908918406072104,44.4022770398482,31.688804554079695,12.6,9.75,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,83,12,70,0,1,123,187,217,23.33965844402277,35.483870967741936,41.17647058823529,10.25,2.6714285714285713,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,22,10,12,0,0,126,258,143,23.908918406072104,48.95635673624288,27.13472485768501,12.6,21.5,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,42,26,15,0,1,108,272,147,20.49335863377609,51.61290322580645,27.893738140417458,4.153846153846154,18.133333333333333,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,117,20,97,0,0,116,160,251,22.011385199240987,30.36053130929791,47.6280834914611,5.8,1.6494845360824741,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,5,2,3,0,0,79,140,308,14.990512333965844,26.56546489563567,58.44402277039848,39.5,46.666666666666664,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,5,2,3,0,0,116,169,242,22.011385199240987,32.06831119544592,45.920303605313094,58.0,56.333333333333336,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,4,2,1,1,0,127,258,142,24.09867172675522,48.95635673624288,26.944971537001898,63.5,258.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,5,2,3,0,0,116,169,242,22.011385199240987,32.06831119544592,45.920303605313094,58.0,56.333333333333336,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,18,2,15,1,0,123,238,166,23.33965844402277,45.16129032258064,31.499051233396585,61.5,15.866666666666667,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,35,10,23,1,1,119,237,171,22.58064516129032,44.97153700189753,32.44781783681214,11.9,10.304347826086957,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,35,11,23,1,0,114,117,296,21.631878557874764,22.2011385199241,56.166982922201136,10.363636363636363,5.086956521739131,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,10,2,7,1,0,112,253,162,21.25237191650854,48.007590132827325,30.740037950664135,56.0,36.142857142857146,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,25,13,11,1,0,95,272,160,18.026565464895636,51.61290322580645,30.36053130929791,7.3076923076923075,24.727272727272727,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,54,13,40,1,0,95,99,333,18.026565464895636,18.785578747628083,63.18785578747628,7.3076923076923075,2.475,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,72,26,46,0,0,104,181,242,19.734345351043643,34.34535104364326,45.920303605313094,4.0,3.9347826086956523,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,48,5,43,0,0,126,183,218,23.908918406072104,34.72485768500949,41.36622390891841,25.2,4.255813953488372,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,14,2,12,0,0,134,258,135,25.426944971537,48.95635673624288,25.616698292220114,67.0,21.5,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,38,5,33,0,0,126,195,206,23.908918406072104,37.00189753320683,39.08918406072106,25.2,5.909090909090909,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,5,2,3,0,0,130,225,172,24.667931688804554,42.69449715370019,32.63757115749525,65.0,75.0,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,40,10,29,0,1,126,242,159,23.908918406072104,45.920303605313094,30.170777988614798,12.6,8.344827586206897,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,75,11,64,0,0,121,162,244,22.960151802656547,30.740037950664135,46.29981024667932,11.0,2.53125,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,17,7,10,0,0,124,249,154,23.52941176470588,47.24857685009488,29.22201138519924,17.714285714285715,24.9,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,32,24,7,0,1,107,267,153,20.30360531309298,50.664136622390885,29.03225806451613,4.458333333333333,38.142857142857146,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,102,19,82,0,1,117,153,257,22.2011385199241,29.03225806451613,48.76660341555977,6.157894736842105,1.8658536585365855,True,
