equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100__rsma_50100_equity_constant,14373.383900000004,43.73383900000005,-30.712133835095035,rsma_50100__rsma_50100,2.0,rsma_50100__rsma_50100_equity_constant
rema_50100__rema_50100_equity_constant,14363.389099999993,43.63389099999993,-30.663919701235375,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_constant
rema_50100__rsma_50100_equity_constant,14341.338499999994,43.413384999999934,-30.55731164842107,rema_50100__rsma_50100,2.0,rema_50100__rsma_50100_equity_constant
rbo_50__rbo_20_equity_constant,14298.928400000012,42.989284000000104,-32.96077697682582,rbo_50__rbo_20,42.0,rbo_50__rbo_20_equity_constant
rsma_50100__rema_50100_equity_constant,14287.066999999994,42.87066999999993,-30.293523506259156,rsma_50100__rema_50100,4.0,rsma_50100__rema_50100_equity_constant
rbo_50__rsma_50100_equity_constant,14283.204900000006,42.83204900000006,-32.886977627829204,rbo_50__rsma_50100,10.0,rbo_50__rsma_50100_equity_constant
rtt_5020__rsma_50100_equity_constant,14283.204900000006,42.83204900000006,-32.886977627829204,rtt_5020__rsma_50100,10.0,rtt_5020__rsma_50100_equity_constant
rbo_20__rema_50100_equity_constant,14243.618800000002,42.436188000000016,-30.11908602889597,rbo_20__rema_50100,19.0,rbo_20__rema_50100_equity_constant
rtt_5020__rema_50100_equity_constant,14235.105199999996,42.35105199999995,-32.660206121975115,rtt_5020__rema_50100,11.0,rtt_5020__rema_50100_equity_constant
rbo_50__rema_50100_equity_constant,14235.105199999996,42.35105199999995,-32.660206121975115,rbo_50__rema_50100,11.0,rbo_50__rema_50100_equity_constant
rema_50100__rbo_50_equity_constant,14160.548200000005,41.60548200000005,-32.35158932618162,rema_50100__rbo_50,10.0,rema_50100__rbo_50_equity_constant
rsma_50100__rbo_50_equity_constant,14156.352000000017,41.56352000000017,-32.33153710786516,rsma_50100__rbo_50,11.0,rsma_50100__rbo_50_equity_constant
rtt_5020_equity_constant,14020.983399999985,40.209833999999844,-29.501800850858924,rtt_5020,,rtt_5020_equity_constant
