combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,0,10,0,0,0,309,233,0.0,57.01107011070111,42.988929889298895,0,30.9,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,25,0,25,0,0,0,365,177,0.0,67.34317343173431,32.656826568265686,0,14.6,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,25,0,25,0,0,0,370,172,0.0,68.26568265682657,31.73431734317343,0,14.8,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,0,5,0,0,0,387,155,0.0,71.40221402214021,28.59778597785978,0,77.4,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,116,0,116,0,0,0,244,298,0.0,45.018450184501845,54.981549815498155,0,2.103448275862069,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,122,0,122,0,0,0,236,306,0.0,43.542435424354245,56.457564575645755,0,1.9344262295081966,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,42,0,42,0,0,0,301,241,0.0,55.535055350553506,44.464944649446494,0,7.166666666666667,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,0,2,0,0,0,342,200,0.0,63.09963099630996,36.90036900369004,0,171.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,12,0,12,0,0,0,333,209,0.0,61.43911439114391,38.56088560885609,0,27.75,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,0,2,0,0,0,342,200,0.0,63.09963099630996,36.90036900369004,0,171.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,131,0,131,0,0,0,212,330,0.0,39.11439114391143,60.88560885608856,0,1.618320610687023,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,138,0,138,0,0,0,205,337,0.0,37.82287822878229,62.17712177121771,0,1.4855072463768115,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,43,0,43,0,0,0,280,262,0.0,51.66051660516605,48.33948339483395,0,6.511627906976744,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,2,0,2,0,0,0,320,222,0.0,59.040590405904055,40.959409594095945,0,160.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,0,2,0,0,0,321,221,0.0,59.22509225092251,40.774907749077485,0,160.5,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,2,0,2,0,0,0,320,222,0.0,59.040590405904055,40.959409594095945,0,160.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,124,0,124,0,0,0,199,343,0.0,36.715867158671585,63.284132841328415,0,1.6048387096774193,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,130,0,130,0,0,0,193,349,0.0,35.608856088560884,64.39114391143912,0,1.4846153846153847,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,7,0,7,0,0,0,264,278,0.0,48.708487084870846,51.291512915129154,0,37.714285714285715,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,2,0,2,0,0,0,342,200,0.0,63.09963099630996,36.90036900369004,0,171.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,12,0,12,0,0,0,333,209,0.0,61.43911439114391,38.56088560885609,0,27.75,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,2,0,2,0,0,0,342,200,0.0,63.09963099630996,36.90036900369004,0,171.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,105,0,105,0,0,0,186,356,0.0,34.31734317343174,65.68265682656826,0,1.7714285714285714,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,112,0,112,0,0,0,179,363,0.0,33.025830258302584,66.97416974169742,0,1.5982142857142858,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,16,0,16,0,0,0,123,419,0.0,22.693726937269375,77.30627306273063,0,7.6875,True,
