combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,3,4,0,0,155,68,308,29.19020715630885,12.8060263653484,58.00376647834275,51.666666666666664,17.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,13,11,2,0,0,184,95,252,34.65160075329567,17.890772128060263,47.45762711864407,16.727272727272727,47.5,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,14,13,1,0,0,182,110,239,34.27495291902072,20.715630885122412,45.00941619585687,14.0,110.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,1,2,0,0,194,95,242,36.53483992467043,17.890772128060263,45.5743879472693,194.0,47.5,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,17,16,1,0,0,179,110,242,33.70998116760829,20.715630885122412,45.5743879472693,11.1875,110.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,18,17,1,0,0,178,110,243,33.52165725047081,20.715630885122412,45.76271186440678,10.470588235294118,110.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,37,2,35,0,0,193,35,303,36.346516007532955,6.591337099811676,57.06214689265536,96.5,1.0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,14,13,1,0,0,182,110,239,34.27495291902072,20.715630885122412,45.00941619585687,14.0,110.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,20,19,1,0,0,176,110,245,33.14500941619586,20.715630885122412,46.13935969868173,9.263157894736842,110.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,43,8,35,0,0,187,35,309,35.2165725047081,6.591337099811676,58.19209039548022,23.375,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,49,21,28,0,0,154,93,284,29.001883239171374,17.51412429378531,53.483992467043315,7.333333333333333,3.3214285714285716,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,174,119,238,32.7683615819209,22.4105461393597,44.8210922787194,174.0,59.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,4,3,1,0,0,172,135,224,32.39171374764595,25.423728813559322,42.18455743879473,57.333333333333336,135.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,174,119,238,32.7683615819209,22.4105461393597,44.8210922787194,174.0,59.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,7,6,1,0,0,169,135,227,31.826741996233523,25.423728813559322,42.749529190207156,28.166666666666668,135.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,8,7,1,0,0,168,135,228,31.63841807909605,25.423728813559322,42.93785310734463,24.0,135.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,62,2,60,0,0,173,60,298,32.580037664783426,11.299435028248588,56.12052730696798,86.5,1.0,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,4,3,1,0,0,172,135,224,32.39171374764595,25.423728813559322,42.18455743879473,57.333333333333336,135.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,10,9,1,0,0,166,135,230,31.26177024482109,25.423728813559322,43.314500941619585,18.444444444444443,135.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,68,8,60,0,0,167,60,304,31.45009416195857,11.299435028248588,57.250470809792844,20.875,1.0,True,
