equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_100150__rtt_5020_equity_constant,13329.214900000017,33.29214900000017,-26.255941750927942,rema_100150__rtt_5020,37.0,rema_100150__rtt_5020_equity_constant
rsma_100150__rtt_5020_equity_constant,13223.508000000018,32.235080000000174,-25.666441915413134,rsma_100150__rtt_5020,38.0,rsma_100150__rtt_5020_equity_constant
rema_100150__rbo_20_equity_constant,12658.360100000013,26.583601000000122,-22.347729703154876,rema_100150__rbo_20,42.0,rema_100150__rbo_20_equity_constant
rsma_100150__rbo_20_equity_constant,12447.805500000013,24.478055000000133,-21.03424173843338,rsma_100150__rbo_20,43.0,rsma_100150__rbo_20_equity_constant
rema_100150__rbo_100_equity_constant,12388.5729,23.88572899999999,-20.656688390637754,rema_100150__rbo_100,49.0,rema_100150__rbo_100_equity_constant
rsma_100150__rbo_100_equity_constant,12289.581100000003,22.895811000000023,-20.017583024046264,rsma_100150__rbo_100,50.0,rsma_100150__rbo_100_equity_constant
rema_50100150__rema_100150_equity_constant,12155.258800000014,21.55258800000015,-21.987490714718486,rema_50100150__rema_100150,35.0,rema_50100150__rema_100150_equity_constant
rema_100150__rema_100150_equity_constant,12099.293200000007,20.992932000000074,-21.626641794249572,rema_100150__rema_100150,2.0,rema_100150__rema_100150_equity_constant
rema_50100150__rsma_100150_equity_constant,12006.508000000003,20.065080000000023,-21.020979622051588,rema_50100150__rsma_100150,34.0,rema_50100150__rsma_100150_equity_constant
rsma_100150__rema_100150_equity_constant,12002.306200000006,20.02306200000006,-20.993330431779818,rsma_100150__rema_100150,3.0,rsma_100150__rema_100150_equity_constant
rsma_100150__rsma_100150_equity_constant,11854.69660000001,18.546966000000097,-20.009573252174153,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_constant
rema_100150__rsma_100150_equity_constant,11854.69660000001,18.546966000000097,-20.009573252174153,rema_100150__rsma_100150,2.0,rema_100150__rsma_100150_equity_constant
rema_50100__rtt_5020_equity_constant,11825.675700000018,18.256757000000178,-18.313262423783677,rema_50100__rtt_5020,29.0,rema_50100__rtt_5020_equity_constant
rema_100150__rbo_50_equity_constant,11772.128300000008,17.721283000000064,-17.75718839217887,rema_100150__rbo_50,50.0,rema_100150__rbo_50_equity_constant
rema_100150__rsma_50100150_equity_constant,11679.636200000006,16.79636200000005,-21.226935133476154,rema_100150__rsma_50100150,8.0,rema_100150__rsma_50100150_equity_constant
rsma_100150__rbo_50_equity_constant,11677.039200000012,16.770392000000122,-17.087464260632157,rsma_100150__rbo_50,51.0,rsma_100150__rbo_50_equity_constant
rbo_100__rbo_20_equity_constant,11462.610699999996,14.626106999999955,-19.36591024590932,rbo_100__rbo_20,22.0,rbo_100__rbo_20_equity_constant
rema_50100150__rtt_5020_equity_constant,11459.602600000022,14.59602600000023,-19.805938527130422,rema_50100150__rtt_5020,47.0,rema_50100150__rtt_5020_equity_constant
