combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,4,2,0,0,117,39,371,22.2011385199241,7.400379506641366,70.39848197343453,29.25,19.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,32,23,9,0,0,108,55,364,20.49335863377609,10.436432637571158,69.07020872865274,4.695652173913044,6.111111111111111,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,48,37,11,0,0,94,53,380,17.836812144212523,10.056925996204933,72.10626185958255,2.5405405405405403,4.818181818181818,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,4,2,0,0,128,62,337,24.28842504743833,11.76470588235294,63.946869070208734,32.0,31.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,42,22,20,0,0,162,20,345,30.740037950664135,3.795066413662239,65.46489563567363,7.363636363636363,1.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,37,21,16,0,0,175,24,328,33.206831119544596,4.554079696394687,62.239089184060724,8.333333333333334,1.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,19,3,16,0,0,180,24,323,34.15559772296015,4.554079696394687,61.29032258064516,60.0,1.5,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,39,19,20,0,0,163,20,344,30.929791271347252,3.795066413662239,65.2751423149905,8.578947368421053,1.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,37,21,16,0,0,173,24,330,32.82732447817837,4.554079696394687,62.61859582542695,8.238095238095237,1.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,20,4,16,0,0,178,24,325,33.776091081593925,4.554079696394687,61.66982922201139,44.5,1.5,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,21,8,13,0,0,82,34,411,15.559772296015181,6.451612903225806,77.98861480075901,10.25,2.6153846153846154,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,3,2,0,0,88,46,393,16.698292220113853,8.72865275142315,74.573055028463,29.333333333333332,23.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,22,17,5,0,0,74,43,410,14.041745730550284,8.159392789373813,77.7988614800759,4.352941176470588,8.6,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,3,2,0,0,88,46,393,16.698292220113853,8.72865275142315,74.573055028463,29.333333333333332,23.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,31,12,18,0,1,153,30,344,29.03225806451613,5.692599620493358,65.2751423149905,12.75,1.6666666666666667,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,34,12,22,0,0,166,25,336,31.499051233396585,4.743833017077799,63.75711574952562,13.833333333333334,1.1363636363636365,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,20,2,17,0,1,162,32,333,30.740037950664135,6.072106261859583,63.18785578747628,81.0,1.8823529411764706,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,33,10,23,0,0,154,23,350,29.22201138519924,4.364326375711575,66.41366223908919,15.4,1.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,34,12,22,0,0,164,25,338,31.119544592030362,4.743833017077799,64.13662239089184,13.666666666666666,1.1363636363636365,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,26,4,22,0,0,160,25,342,30.36053130929791,4.743833017077799,64.89563567362428,40.0,1.1363636363636365,True,
