equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rema_50100150_equity_concave,61226.005199999956,512.2600519999995,-92.00671150135872,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_concave
rema_50100150__rema_50100150_equity_convex,60137.78040000004,501.37780400000037,-91.98601987577575,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_convex
rema_50100150__rsma_50100150_equity_concave,57602.2235,476.022235,-94.0399729786677,rema_50100150__rsma_50100150,13.0,rema_50100150__rsma_50100150_equity_concave
rema_50100150__rsma_50100150_equity_convex,49996.06989999996,399.9606989999996,-91.71108064937084,rema_50100150__rsma_50100150,13.0,rema_50100150__rsma_50100150_equity_convex
rema_100150__rsma_50100_equity_concave,48560.140500000045,385.6014050000004,-93.47643109543603,rema_100150__rsma_50100,42.0,rema_100150__rsma_50100_equity_concave
rema_50100150__rsma_100150_equity_concave,46310.26010000001,363.10260100000005,-90.88785892889898,rema_50100150__rsma_100150,5.0,rema_50100150__rsma_100150_equity_concave
rema_50100150__rsma_100150_equity_convex,43449.98550000002,334.49985500000014,-90.28446781848349,rema_50100150__rsma_100150,5.0,rema_50100150__rsma_100150_equity_convex
rsma_100150__rsma_50100_equity_concave,41683.648199999974,316.8364819999997,-91.46138418768786,rsma_100150__rsma_50100,31.0,rsma_100150__rsma_50100_equity_concave
rema_50100150__rbo_20_equity_concave,41049.34790000004,310.4934790000003,-90.62542663249742,rema_50100150__rbo_20,51.0,rema_50100150__rbo_20_equity_concave
rbo_20__rsma_50100150_equity_concave,40216.921500000004,302.16921500000007,-90.7957318106882,rbo_20__rsma_50100150,8.0,rbo_20__rsma_50100150_equity_concave
rema_100150__rema_50100_equity_concave,40041.65749999995,300.4165749999995,-92.49931917877856,rema_100150__rema_50100,25.0,rema_100150__rema_50100_equity_concave
rbo_20__rema_50100150_equity_concave,39701.3024,297.01302400000003,-87.4124983143132,rbo_20__rema_50100150,10.0,rbo_20__rema_50100150_equity_concave
rema_50100150__rema_100150_equity_concave,39080.25589999994,290.80255899999935,-92.00671150135872,rema_50100150__rema_100150,3.0,rema_50100150__rema_100150_equity_concave
rema_50100150__rema_100150_equity_convex,38890.165200000025,288.90165200000024,-91.98601987577575,rema_50100150__rema_100150,3.0,rema_50100150__rema_100150_equity_convex
rema_100150__rsma_50100_equity_convex,38248.6811,282.486811,-89.45318981239488,rema_100150__rsma_50100,42.0,rema_100150__rsma_50100_equity_convex
rbo_20__rsma_50100_equity_concave,37584.68219999999,275.84682199999986,-90.2020124480512,rbo_20__rsma_50100,11.0,rbo_20__rsma_50100_equity_concave
rbo_20__rema_50100150_equity_convex,37095.277199999975,270.95277199999975,-84.35196511580607,rbo_20__rema_50100150,10.0,rbo_20__rema_50100150_equity_convex
rbo_20__rema_50100_equity_convex,36759.78810000001,267.5978810000001,-84.10165336700018,rbo_20__rema_50100,6.0,rbo_20__rema_50100_equity_convex
rbo_20__rbo_100_equity_convex,36387.00310000002,263.8700310000002,-84.10165336700018,rbo_20__rbo_100,6.0,rbo_20__rbo_100_equity_convex
rbo_20__rema_100150_equity_concave,36209.551700000025,262.09551700000026,-87.4124983143132,rbo_20__rema_100150,7.0,rbo_20__rema_100150_equity_concave
rbo_20__rsma_50100150_equity_convex,36175.87969999998,261.75879699999984,-87.90386216144283,rbo_20__rsma_50100150,8.0,rbo_20__rsma_50100150_equity_convex
rema_50100150__rbo_20_equity_convex,36045.66980000001,260.4566980000001,-87.16001872098812,rema_50100150__rbo_20,51.0,rema_50100150__rbo_20_equity_convex
rema_100150__rema_50100_equity_convex,35834.21789999997,258.34217899999965,-91.14747508944244,rema_100150__rema_50100,25.0,rema_100150__rema_50100_equity_convex
rema_100150__rsma_50100150_equity_concave,35199.78749999997,251.99787499999968,-93.94820151092719,rema_100150__rsma_50100150,21.0,rema_100150__rsma_50100150_equity_concave
rema_100150__rbo_100_equity_concave,35121.79530000002,251.2179530000002,-90.02587177020428,rema_100150__rbo_100,41.0,rema_100150__rbo_100_equity_concave
rbo_20__rsma_50100_equity_convex,35044.2168,250.442168,-87.49556334772304,rbo_20__rsma_50100,11.0,rbo_20__rsma_50100_equity_convex
