combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,5,1,0,0,180,3,348,33.89830508474576,0.5649717514124294,65.5367231638418,36.0,3.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,11,9,2,0,0,226,2,303,42.56120527306968,0.3766478342749529,57.06214689265536,25.11111111111111,1.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,6,4,2,0,0,250,2,279,47.080979284369114,0.3766478342749529,52.54237288135594,62.5,1.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,3,1,0,0,232,3,296,43.69114877589454,0.5649717514124294,55.74387947269304,77.33333333333333,3.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,11,9,2,0,0,252,2,277,47.45762711864407,0.3766478342749529,52.16572504708098,28.0,1.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,5,4,1,0,0,282,7,242,53.10734463276836,1.3182674199623352,45.5743879472693,70.5,7.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,8,7,1,0,0,262,7,262,49.34086629001883,1.3182674199623352,49.34086629001883,37.42857142857143,7.0,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,6,4,2,0,0,266,2,263,50.09416195856874,0.3766478342749529,49.52919020715631,66.5,1.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,7,5,1,0,1,294,9,228,55.367231638418076,1.694915254237288,42.93785310734463,58.8,9.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,10,8,1,0,1,261,9,261,49.152542372881356,1.694915254237288,49.152542372881356,32.625,9.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,28,28,0,0,0,193,0,338,36.346516007532955,0.0,63.653483992467045,6.892857142857143,0.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,2,0,0,0,219,0,312,41.24293785310734,0.0,58.75706214689266,109.5,0.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,1,1,0,0,0,247,0,284,46.516007532956685,0.0,53.483992467043315,247.0,0.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,2,0,0,0,219,0,312,41.24293785310734,0.0,58.75706214689266,109.5,0.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,6,6,0,0,0,249,0,282,46.89265536723164,0.0,53.10734463276836,41.5,0.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,1,1,0,0,0,279,0,252,52.54237288135594,0.0,47.45762711864407,279.0,0.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,6,6,0,0,0,249,0,282,46.89265536723164,0.0,53.10734463276836,41.5,0.0,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,1,1,0,0,0,263,0,268,49.52919020715631,0.0,50.470809792843696,263.0,0.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,6,6,0,0,0,294,0,237,55.367231638418076,0.0,44.632768361581924,49.0,0.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,6,6,0,0,0,258,0,273,48.58757062146893,0.0,51.41242937853108,43.0,0.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,37,37,0,0,0,211,0,320,39.73634651600753,0.0,60.263653483992464,5.702702702702703,0.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,15,15,0,0,0,233,0,298,43.87947269303202,0.0,56.12052730696798,15.533333333333333,0.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,1,1,0,0,0,247,0,284,46.516007532956685,0.0,53.483992467043315,247.0,0.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,11,11,0,0,0,237,0,294,44.632768361581924,0.0,55.367231638418076,21.545454545454547,0.0,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,6,6,0,0,0,249,0,282,46.89265536723164,0.0,53.10734463276836,41.5,0.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,1,1,0,0,0,279,0,252,52.54237288135594,0.0,47.45762711864407,279.0,0.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,6,6,0,0,0,249,0,282,46.89265536723164,0.0,53.10734463276836,41.5,0.0,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,1,1,0,0,0,263,0,268,49.52919020715631,0.0,50.470809792843696,263.0,0.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,6,6,0,0,0,294,0,237,55.367231638418076,0.0,44.632768361581924,49.0,0.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,6,6,0,0,0,258,0,273,48.58757062146893,0.0,51.41242937853108,43.0,0.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,4,4,0,0,0,167,0,364,31.45009416195857,0.0,68.54990583804144,41.75,0.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,2,2,0,0,0,219,0,312,41.24293785310734,0.0,58.75706214689266,109.5,0.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,1,1,0,0,0,247,0,284,46.516007532956685,0.0,53.483992467043315,247.0,0.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,2,2,0,0,0,219,0,312,41.24293785310734,0.0,58.75706214689266,109.5,0.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,6,6,0,0,0,249,0,282,46.89265536723164,0.0,53.10734463276836,41.5,0.0,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,1,1,0,0,0,279,0,252,52.54237288135594,0.0,47.45762711864407,279.0,0.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,6,6,0,0,0,249,0,282,46.89265536723164,0.0,53.10734463276836,41.5,0.0,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,1,1,0,0,0,263,0,268,49.52919020715631,0.0,50.470809792843696,263.0,0.0,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,6,6,0,0,0,294,0,237,55.367231638418076,0.0,44.632768361581924,49.0,0.0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,6,6,0,0,0,258,0,273,48.58757062146893,0.0,51.41242937853108,43.0,0.0,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,40,40,0,0,0,214,0,317,40.30131826741996,0.0,59.69868173258004,5.35,0.0,True,
