combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,7,3,0,0,227,93,210,42.83018867924528,17.547169811320753,39.62264150943396,32.42857142857143,31.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,22,21,1,0,0,246,106,178,46.41509433962264,20.0,33.58490566037736,11.714285714285714,106.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,2,1,1,0,0,324,106,100,61.13207547169811,20.0,18.867924528301888,324.0,106.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,4,1,0,0,264,106,160,49.81132075471698,20.0,30.18867924528302,66.0,106.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,17,16,1,0,0,279,106,145,52.64150943396226,20.0,27.358490566037734,17.4375,106.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,17,5,12,0,0,320,88,122,60.37735849056604,16.60377358490566,23.0188679245283,64.0,7.333333333333333,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,58,20,38,0,0,303,59,168,57.16981132075472,11.132075471698114,31.69811320754717,15.15,1.5526315789473684,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,2,1,1,0,0,324,106,100,61.13207547169811,20.0,18.867924528301888,324.0,106.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,16,1,15,0,0,324,85,121,61.13207547169811,16.037735849056602,22.830188679245282,324.0,5.666666666666667,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,35,1,34,0,0,324,68,138,61.13207547169811,12.830188679245284,26.037735849056602,324.0,2.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,31,21,10,0,0,206,101,223,38.86792452830189,19.056603773584907,42.07547169811321,9.80952380952381,10.1,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,2,1,0,0,226,110,194,42.64150943396226,20.754716981132077,36.60377358490566,113.0,110.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,4,1,2,1,0,261,108,161,49.24528301886792,20.37735849056604,30.377358490566035,261.0,54.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,2,1,0,0,226,110,194,42.64150943396226,20.754716981132077,36.60377358490566,113.0,110.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,5,4,1,0,0,244,110,176,46.0377358490566,20.754716981132077,33.20754716981132,61.0,110.0,True,
