equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rsma_100150_equity_constant,15787.48259999999,57.87482599999991,-45.81361161730745,rbo_20__rsma_100150,28.0,rbo_20__rsma_100150_equity_constant
rsma_100150__rbo_20_equity_constant,15304.839299999987,53.04839299999986,-45.528145487848036,rsma_100150__rbo_20,49.0,rsma_100150__rbo_20_equity_constant
rsma_100150__rtt_5020_equity_constant,15069.430099999978,50.69430099999978,-46.482722125478496,rsma_100150__rtt_5020,44.0,rsma_100150__rtt_5020_equity_constant
rsma_50100150__rbo_100_equity_constant,14988.268600000001,49.88268600000001,-45.26316525159248,rsma_50100150__rbo_100,12.0,rsma_50100150__rbo_100_equity_constant
rbo_20__rbo_100_equity_constant,14945.646599999984,49.45646599999984,-46.51680402508302,rbo_20__rbo_100,13.0,rbo_20__rbo_100_equity_constant
rsma_100150__rema_100150_equity_constant,14849.205200000006,48.492052000000065,-44.55550201497404,rsma_100150__rema_100150,33.0,rsma_100150__rema_100150_equity_constant
rsma_100150__rsma_100150_equity_constant,14786.089799999998,47.86089799999998,-44.413798529870924,rsma_100150__rsma_100150,4.0,rsma_100150__rsma_100150_equity_constant
rsma_100150__rema_50100_equity_constant,14690.647700000001,46.90647700000001,-44.03323050527314,rsma_100150__rema_50100,48.0,rsma_100150__rema_50100_equity_constant
rema_100150__rsma_100150_equity_constant,14408.182199999994,44.081821999999946,-38.98281153840622,rema_100150__rsma_100150,24.0,rema_100150__rsma_100150_equity_constant
rsma_100150__rbo_50_equity_constant,14366.191199999985,43.661911999999845,-43.649573643988035,rsma_100150__rbo_50,61.0,rsma_100150__rbo_50_equity_constant
rsma_100150__rsma_50100_equity_constant,14029.049699999996,40.29049699999996,-42.2961724570802,rsma_100150__rsma_50100,44.0,rsma_100150__rsma_50100_equity_constant
rsma_50100__rsma_50100150_equity_concave,13996.563599999823,39.96563599999823,-106.54564796342191,rsma_50100__rsma_50100150,98.0,rsma_50100__rsma_50100150_equity_concave
