equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rsma_100150_equity_concave,116977.74940000019,1069.7774940000018,-96.02887901106597,rbo_20__rsma_100150,30.0,rbo_20__rsma_100150_equity_concave
rbo_20__rsma_100150_equity_convex,105260.22340000015,952.6022340000015,-95.57379341839362,rbo_20__rsma_100150,30.0,rbo_20__rsma_100150_equity_convex
rbo_20__rema_100150_equity_concave,88765.29730000011,787.652973000001,-92.18264588367174,rbo_20__rema_100150,24.0,rbo_20__rema_100150_equity_concave
rbo_100__rsma_100150_equity_concave,86608.81740000015,766.0881740000015,-95.01482868561581,rbo_100__rsma_100150,29.0,rbo_100__rsma_100150_equity_concave
rbo_100__rema_100150_equity_concave,85785.64359999998,757.8564359999998,-92.12530487322039,rbo_100__rema_100150,44.0,rbo_100__rema_100150_equity_concave
rtt_5020__rsma_100150_equity_concave,84165.26830000003,741.6526830000003,-94.8507668355868,rtt_5020__rsma_100150,28.0,rtt_5020__rsma_100150_equity_concave
rsma_50100__rema_100150_equity_concave,79594.74359999996,695.9474359999996,-91.57547329898138,rsma_50100__rema_100150,39.0,rsma_50100__rema_100150_equity_concave
rbo_20__rsma_50100_equity_concave,75600.9135,656.0091349999999,-91.52084955872706,rbo_20__rsma_50100,25.0,rbo_20__rsma_50100_equity_concave
rtt_5020__rsma_100150_equity_convex,75498.00750000012,654.9800750000013,-94.23236699984872,rtt_5020__rsma_100150,28.0,rtt_5020__rsma_100150_equity_convex
rbo_100__rsma_100150_equity_convex,75086.34790000005,650.8634790000004,-94.22256364484858,rbo_100__rsma_100150,29.0,rbo_100__rsma_100150_equity_convex
rbo_20__rema_100150_equity_convex,74713.81250000013,647.1381250000013,-90.37285542756219,rbo_20__rema_100150,24.0,rbo_20__rema_100150_equity_convex
rsma_50100__rsma_100150_equity_concave,73198.37070000015,631.9837070000015,-94.1013877960386,rsma_50100__rsma_100150,28.0,rsma_50100__rsma_100150_equity_concave
rtt_5020__rema_100150_equity_concave,65867.80240000006,558.6780240000006,-89.86337884852871,rtt_5020__rema_100150,24.0,rtt_5020__rema_100150_equity_concave
rsma_50100__rsma_100150_equity_convex,64321.184500000054,543.2118450000005,-93.25525270382484,rsma_50100__rsma_100150,28.0,rsma_50100__rsma_100150_equity_convex
rbo_100__rema_100150_equity_convex,63027.23280000001,530.2723280000001,-88.7370195594098,rbo_100__rema_100150,44.0,rbo_100__rema_100150_equity_convex
rbo_20__rsma_50100150_equity_concave,61244.65489999998,512.4465489999998,-86.37786994685482,rbo_20__rsma_50100150,33.0,rbo_20__rsma_50100150_equity_concave
rtt_5020_equity_concave,59717.603800000106,497.1760380000011,-85.34176795953307,rtt_5020,,rtt_5020_equity_concave
rsma_50100__rema_100150_equity_convex,58931.97749999999,489.319775,-88.1468734150305,rsma_50100__rema_100150,39.0,rsma_50100__rema_100150_equity_convex
rema_100150__rsma_50100150_equity_concave,57329.12050000014,473.29120500000147,-90.15461906484333,rema_100150__rsma_50100150,47.0,rema_100150__rsma_50100150_equity_concave
rsma_100150__rsma_50100150_equity_concave,57257.02540000006,472.57025400000055,-90.72912088954733,rsma_100150__rsma_50100150,59.0,rsma_100150__rsma_50100150_equity_concave
