combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,10,8,2,0,0,175,44,311,33.0188679245283,8.30188679245283,58.679245283018865,21.875,22.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,24,23,1,0,0,227,75,228,42.83018867924528,14.150943396226415,43.0188679245283,9.869565217391305,75.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,14,13,1,0,0,278,100,152,52.45283018867924,18.867924528301888,28.67924528301887,21.384615384615383,100.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,6,1,0,0,245,75,210,46.22641509433962,14.150943396226415,39.62264150943396,40.833333333333336,75.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,25,23,2,0,0,261,91,178,49.24528301886792,17.169811320754715,33.58490566037736,11.347826086956522,45.5,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,30,11,18,0,1,298,80,152,56.22641509433962,15.09433962264151,28.67924528301887,27.09090909090909,4.444444444444445,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,33,26,7,0,0,271,44,215,51.132075471698116,8.30188679245283,40.56603773584906,10.423076923076923,6.285714285714286,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,6,3,3,0,0,317,83,130,59.81132075471698,15.660377358490566,24.528301886792452,105.66666666666667,27.666666666666668,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,24,2,22,0,0,320,22,188,60.37735849056604,4.150943396226415,35.471698113207545,160.0,1.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,6,3,3,0,0,317,59,154,59.81132075471698,11.132075471698114,29.056603773584904,105.66666666666667,19.666666666666668,True,
