equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rsma_50100150_equity_constant,13637.613599999995,36.37613599999996,-28.486042949966723,rbo_20__rsma_50100150,99.0,rbo_20__rsma_50100150_equity_constant
rema_50100150__rtt_5020_equity_constant,13475.04399999999,34.75043999999991,-28.767011584902573,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020_equity_constant
rtt_5020__rsma_50100150_equity_constant,13252.737999999996,32.52737999999995,-26.412758402886617,rtt_5020__rsma_50100150,99.0,rtt_5020__rsma_50100150_equity_constant
rema_100150__rbo_20_equity_constant,13149.254500000003,31.492545000000028,-27.616713706151675,rema_100150__rbo_20,48.0,rema_100150__rbo_20_equity_constant
rbo_100__rbo_20_equity_constant,13128.694900000004,31.286949000000043,-27.616713706151675,rbo_100__rbo_20,37.0,rbo_100__rbo_20_equity_constant
rbo_100__rtt_5020_equity_constant,12888.458100000009,28.884581000000086,-29.570672326461395,rbo_100__rtt_5020,24.0,rbo_100__rtt_5020_equity_constant
rbo_20__rbo_50_equity_constant,12716.949900000003,27.16949900000003,-24.43837785367441,rbo_20__rbo_50,3.0,rbo_20__rbo_50_equity_constant
rbo_20__rtt_5020_equity_constant,12716.230000000003,27.162300000000037,-24.43426731873649,rbo_20__rtt_5020,1.0,rbo_20__rtt_5020_equity_constant
rsma_50100__rbo_20_equity_constant,12703.318200000009,27.03318200000009,-25.496868024155418,rsma_50100__rbo_20,34.0,rsma_50100__rbo_20_equity_constant
rbo_100__rema_50100150_equity_constant,12670.417300000012,26.704173000000118,-25.68671642030185,rbo_100__rema_50100150,144.0,rbo_100__rema_50100150_equity_constant
rbo_100__rema_50100_equity_constant,12575.406299999997,25.75406299999996,-28.532127367298237,rbo_100__rema_50100,6.0,rbo_100__rema_50100_equity_constant
rsma_50100__rbo_50_equity_constant,12568.843499999995,25.688434999999956,-26.991578633371034,rsma_50100__rbo_50,22.0,rsma_50100__rbo_50_equity_constant
rsma_100150__rsma_50100_equity_constant,12552.458699999994,25.524586999999933,-25.412177713571882,rsma_100150__rsma_50100,15.0,rsma_100150__rsma_50100_equity_constant
rsma_50100150__rsma_50100_equity_constant,12552.458699999994,25.524586999999933,-25.412177713571882,rsma_50100150__rsma_50100,15.0,rsma_50100150__rsma_50100_equity_constant
rema_100150__rsma_50100_equity_constant,12552.458699999994,25.524586999999933,-25.412177713571882,rema_100150__rsma_50100,15.0,rema_100150__rsma_50100_equity_constant
rbo_100__rsma_50100_equity_constant,12532.978099999997,25.32978099999996,-25.412177713571882,rbo_100__rsma_50100,4.0,rbo_100__rsma_50100_equity_constant
rsma_50100__rtt_5020_equity_constant,12516.076899999987,25.16076899999988,-26.613874868436525,rsma_50100__rtt_5020,20.0,rsma_50100__rtt_5020_equity_constant
rbo_100__rbo_100_equity_constant,12462.040000000005,24.620400000000053,-25.338845914758185,rbo_100__rbo_100,1.0,rbo_100__rbo_100_equity_constant
rbo_100__rbo_50_equity_constant,12456.906399999993,24.56906399999992,-27.107976987376027,rbo_100__rbo_50,27.0,rbo_100__rbo_50_equity_constant
rsma_50100150__rtt_5020_equity_constant,12424.188400000012,24.241884000000113,-29.570672326461395,rsma_50100150__rtt_5020,21.0,rsma_50100150__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,12412.757600000004,24.12757600000004,-23.919695463877687,rbo_50__rbo_50,1.0,rbo_50__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,12412.757600000004,24.12757600000004,-23.919695463877687,rtt_5020__rtt_5020,1.0,rtt_5020__rtt_5020_equity_constant
rtt_5020__rbo_50_equity_constant,12412.757600000004,24.12757600000004,-23.919695463877687,rtt_5020__rbo_50,1.0,rtt_5020__rbo_50_equity_constant
rbo_50__rtt_5020_equity_constant,12412.757600000004,24.12757600000004,-23.919695463877687,rbo_50__rtt_5020,1.0,rbo_50__rtt_5020_equity_constant
rema_50100__rsma_50100_equity_constant,12404.069099999995,24.040690999999946,-25.412177713571882,rema_50100__rsma_50100,6.0,rema_50100__rsma_50100_equity_constant
rbo_50__rbo_20_equity_constant,12382.691899999994,23.826918999999936,-20.952816412022848,rbo_50__rbo_20,14.0,rbo_50__rbo_20_equity_constant
rema_50100150__rsma_50100_equity_constant,12349.333800000002,23.49333800000002,-24.10665314618398,rema_50100150__rsma_50100,10.0,rema_50100150__rsma_50100_equity_constant
rema_50100__rbo_100_equity_constant,12322.062300000005,23.220623000000053,-25.338845914758185,rema_50100__rbo_100,3.0,rema_50100__rbo_100_equity_constant
rsma_50100__rema_50100150_equity_constant,12321.339000000005,23.213390000000047,-24.74805816506156,rsma_50100__rema_50100150,140.0,rsma_50100__rema_50100150_equity_constant
rema_50100150__rbo_100_equity_constant,12263.1412,22.631412000000005,-24.10665314618398,rema_50100150__rbo_100,10.0,rema_50100150__rbo_100_equity_constant
rsma_50100__rema_50100_equity_constant,12213.068299999999,22.130682999999983,-26.65726041230037,rsma_50100__rema_50100,6.0,rsma_50100__rema_50100_equity_constant
rbo_20__rsma_50100_equity_constant,12194.117200000002,21.94117200000003,-24.43426731873649,rbo_20__rsma_50100,1.0,rbo_20__rsma_50100_equity_constant
rema_50100__rbo_20_equity_constant,12190.761599999993,21.90761599999993,-22.852964639833733,rema_50100__rbo_20,36.0,rema_50100__rbo_20_equity_constant
rsma_50100__rsma_50100_equity_constant,12172.863000000005,21.72863000000005,-24.153981329041528,rsma_50100__rsma_50100,1.0,rsma_50100__rsma_50100_equity_constant
rema_100150__rema_50100150_equity_constant,12129.23230000001,21.292323000000103,-25.68671642030185,rema_100150__rema_50100150,147.0,rema_100150__rema_50100150_equity_constant
rbo_20__rbo_100_equity_constant,12094.637600000002,20.946376000000022,-24.43426731873649,rbo_20__rbo_100,1.0,rbo_20__rbo_100_equity_constant
rsma_50100__rbo_100_equity_constant,12093.731500000005,20.937315000000044,-24.153981329041528,rsma_50100__rbo_100,1.0,rsma_50100__rbo_100_equity_constant
rsma_50100__rsma_100150_equity_constant,12077.756699999998,20.777566999999976,-31.33346773636221,rsma_50100__rsma_100150,20.0,rsma_50100__rsma_100150_equity_constant
rema_50100__rema_100150_equity_constant,12027.890800000003,20.27890800000003,-25.338845914758185,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rsma_100150__rema_100150_equity_constant,12027.890800000003,20.27890800000003,-25.338845914758185,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_constant
rsma_50100150__rema_100150_equity_constant,12027.890800000003,20.27890800000003,-25.338845914758185,rsma_50100150__rema_100150,1.0,rsma_50100150__rema_100150_equity_constant
rbo_100__rema_100150_equity_constant,12027.890800000003,20.27890800000003,-25.338845914758185,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rema_100150__rema_100150_equity_constant,12027.890800000003,20.27890800000003,-25.338845914758185,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rsma_50100150__rbo_50_equity_constant,12009.386399999998,20.09386399999997,-27.107976987376027,rsma_50100150__rbo_50,24.0,rsma_50100150__rbo_50_equity_constant
rbo_50__rema_50100150_equity_constant,11970.108100000003,19.70108100000003,-23.640284131084105,rbo_50__rema_50100150,122.0,rbo_50__rema_50100150_equity_constant
rbo_100__rsma_100150_equity_constant,11959.3219,19.59321900000002,-29.75512446728131,rbo_100__rsma_100150,21.0,rbo_100__rsma_100150_equity_constant
rema_100150__rsma_100150_equity_constant,11959.3219,19.59321900000002,-29.75512446728131,rema_100150__rsma_100150,21.0,rema_100150__rsma_100150_equity_constant
rbo_20__rema_50100150_equity_constant,11946.421800000006,19.464218000000066,-23.907177786027933,rbo_20__rema_50100150,112.0,rbo_20__rema_50100150_equity_constant
rema_50100__rema_50100_equity_constant,11921.60889999999,19.21608899999989,-24.688646295286848,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_constant
rema_100150__rtt_5020_equity_constant,11914.707700000012,19.147077000000113,-29.570672326461395,rema_100150__rtt_5020,34.0,rema_100150__rtt_5020_equity_constant
