combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,3,0,3,0,0,0,222,305,0.0,42.125237191650854,57.874762808349146,0,74.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,3,0,3,0,0,0,247,280,0.0,46.86907020872865,53.13092979127134,0,82.33333333333333,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,1,0,1,0,0,0,277,250,0.0,52.56166982922201,47.43833017077799,0,277.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,1,0,1,0,0,0,249,278,0.0,47.24857685009488,52.75142314990512,0,249.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,1,0,1,0,0,0,276,251,0.0,52.371916508538895,47.6280834914611,0,276.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,14,0,14,0,0,0,281,246,0.0,53.32068311195446,46.67931688804554,0,20.071428571428573,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,99,0,99,0,0,0,125,402,0.0,23.719165085388994,76.280834914611,0,1.2626262626262625,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,2,0,2,0,0,0,280,247,0.0,53.13092979127134,46.86907020872865,0,140.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,294,233,0.0,55.787476280834916,44.212523719165084,0,294.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,112,0,112,0,0,0,113,414,0.0,21.44212523719165,78.55787476280834,0,1.0089285714285714,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,14,0,14,0,0,0,230,297,0.0,43.643263757115754,56.35673624288425,0,16.428571428571427,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,1,0,1,0,0,0,244,283,0.0,46.29981024667932,53.70018975332068,0,244.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,1,0,1,0,0,0,272,255,0.0,51.61290322580645,48.38709677419355,0,272.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,1,0,1,0,0,0,244,283,0.0,46.29981024667932,53.70018975332068,0,244.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,1,0,1,0,0,0,271,256,0.0,51.423149905123346,48.57685009487666,0,271.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,12,0,12,0,0,0,278,249,0.0,52.75142314990512,47.24857685009488,0,23.166666666666668,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,112,0,112,0,0,0,133,394,0.0,25.23719165085389,74.76280834914611,0,1.1875,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,1,0,1,0,0,0,276,251,0.0,52.371916508538895,47.6280834914611,0,276.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,1,0,1,0,0,0,289,238,0.0,54.83870967741935,45.16129032258064,0,289.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,122,0,122,0,0,0,122,405,0.0,23.14990512333966,76.85009487666035,0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,37,0,37,0,0,0,259,268,0.0,49.146110056926,50.853889943074,0,7.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,27,0,27,0,0,0,270,257,0.0,51.23339658444023,48.76660341555977,0,10.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,1,0,1,0,0,0,296,231,0.0,56.166982922201136,43.833017077798864,0,296.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,24,0,24,0,0,0,273,254,0.0,51.802656546489565,48.19734345351044,0,11.375,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,4,0,4,0,0,0,292,235,0.0,55.40796963946869,44.59203036053131,0,73.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,21,0,21,0,0,0,293,234,0.0,55.597722960151806,44.4022770398482,0,13.952380952380953,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,126,0,126,0,0,0,188,339,0.0,35.673624288425046,64.32637571157495,0,1.492063492063492,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,6,0,6,0,0,0,295,232,0.0,55.97722960151803,44.022770398481974,0,49.166666666666664,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,1,0,1,0,0,0,313,214,0.0,59.39278937381404,40.60721062618596,0,313.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,144,0,144,0,0,0,152,375,0.0,28.842504743833018,71.15749525616698,0,1.0555555555555556,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,3,0,3,0,0,0,217,310,0.0,41.17647058823529,58.82352941176471,0,72.33333333333333,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,1,0,1,0,0,0,244,283,0.0,46.29981024667932,53.70018975332068,0,244.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,1,0,1,0,0,0,272,255,0.0,51.61290322580645,48.38709677419355,0,272.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,1,0,1,0,0,0,244,283,0.0,46.29981024667932,53.70018975332068,0,244.0,True,
