equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_20_equity_convex,17309.665500000003,73.09665500000003,-88.72062311081115,rbo_20__rbo_20,12.0,rbo_20__rbo_20_equity_convex
rbo_20__rbo_20_equity_concave,16185.152700000024,61.85152700000025,-90.87421463359517,rbo_20__rbo_20,12.0,rbo_20__rbo_20_equity_concave
rbo_100__rema_50100150_equity_constant,12873.693100000004,28.736931000000034,-22.733825237253214,rbo_100__rema_50100150,71.0,rbo_100__rema_50100150_equity_constant
rsma_50100__rema_50100150_equity_constant,12563.01920000001,25.630192000000097,-20.82305448699605,rsma_50100__rema_50100150,68.0,rsma_50100__rema_50100150_equity_constant
rtt_5020_equity_constant,12540.842399999996,25.40842399999996,-23.681182597319207,rtt_5020,,rtt_5020_equity_constant
rsma_100150__rbo_50_equity_constant,12489.00120000002,24.890012000000205,-20.355452019878157,rsma_100150__rbo_50,70.0,rsma_100150__rbo_50_equity_constant
rsma_50100__rsma_50100_equity_constant,12482.8555,24.82855500000001,-22.076438982653805,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_constant
rsma_100150__rbo_100_equity_constant,12411.972599999996,24.119725999999964,-21.622516277775798,rsma_100150__rbo_100,30.0,rsma_100150__rbo_100_equity_constant
rema_50100__rbo_100_equity_constant,12342.383599999988,23.423835999999888,-21.191407562211474,rema_50100__rbo_100,7.0,rema_50100__rbo_100_equity_constant
rsma_50100__rbo_100_equity_constant,12324.345999999992,23.243459999999928,-21.078888310147775,rsma_50100__rbo_100,3.0,rsma_50100__rbo_100_equity_constant
rbo_100__rbo_100_equity_constant,12324.345999999992,23.243459999999928,-21.078888310147775,rbo_100__rbo_100,3.0,rbo_100__rbo_100_equity_constant
rbo_100__rsma_50100_equity_constant,12321.669899999992,23.21669899999992,-21.062167317718036,rbo_100__rsma_50100,5.0,rbo_100__rsma_50100_equity_constant
rsma_50100__rbo_50_equity_constant,12310.466700000008,23.10466700000009,-19.198017711370166,rsma_50100__rbo_50,39.0,rsma_50100__rbo_50_equity_constant
rbo_100__rema_50100_equity_constant,12141.931700000003,21.41931700000004,-20.01263542285075,rbo_100__rema_50100,6.0,rbo_100__rema_50100_equity_constant
rema_100150__rbo_50_equity_constant,12132.548800000008,21.32548800000007,-18.53034812229489,rema_100150__rbo_50,60.0,rema_100150__rbo_50_equity_constant
rema_100150__rbo_100_equity_constant,12120.742999999988,21.20742999999987,-19.74456553638676,rema_100150__rbo_100,21.0,rema_100150__rbo_100_equity_constant
rsma_100150__rema_50100150_equity_constant,12047.668400000004,20.476684000000045,-21.613662885861043,rsma_100150__rema_50100150,79.0,rsma_100150__rema_50100150_equity_constant
rema_50100__rsma_50100_equity_constant,11944.514199999998,19.445141999999983,-18.568336727646482,rema_50100__rsma_50100,9.0,rema_50100__rsma_50100_equity_constant
rema_100150__rema_50100150_equity_constant,11910.576999999988,19.10576999999989,-22.16140349281776,rema_100150__rema_50100150,79.0,rema_100150__rema_50100150_equity_constant
rbo_100__rbo_50_equity_constant,11897.029900000014,18.970299000000136,-18.53034812229489,rbo_100__rbo_50,42.0,rbo_100__rbo_50_equity_constant
rema_50100__rbo_50_equity_constant,11795.466400000016,17.954664000000164,-18.53034812229489,rema_50100__rbo_50,43.0,rema_50100__rbo_50_equity_constant
rsma_50100__rema_50100_equity_constant,11732.642900000006,17.326429000000054,-17.226044909916922,rsma_50100__rema_50100,4.0,rsma_50100__rema_50100_equity_constant
rema_50100__rema_50100_equity_constant,11730.079300000005,17.30079300000005,-17.208395728079005,rema_50100__rema_50100,3.0,rema_50100__rema_50100_equity_constant
rsma_50100__rtt_5020_equity_constant,11693.085200000007,16.930852000000062,-18.53034812229489,rsma_50100__rtt_5020,29.0,rsma_50100__rtt_5020_equity_constant
rema_50100150__rbo_100_equity_constant,11589.663700000005,15.896637000000036,-21.613651273224328,rema_50100150__rbo_100,68.0,rema_50100150__rbo_100_equity_constant
rema_50100150__rsma_50100_equity_constant,11465.8191,14.65819100000001,-20.754928788348746,rema_50100150__rsma_50100,68.0,rema_50100150__rsma_50100_equity_constant
rsma_50100__rbo_20_equity_constant,11406.032599999997,14.060325999999979,-20.199687224933168,rsma_50100__rbo_20,50.0,rsma_50100__rbo_20_equity_constant
rema_50100150__rema_50100_equity_constant,11399.534200000002,13.995342000000011,-20.301626406632693,rema_50100150__rema_50100,68.0,rema_50100150__rema_50100_equity_constant
rbo_100__rtt_5020_equity_constant,11300.113200000016,13.00113200000017,-18.594574924920728,rbo_100__rtt_5020,32.0,rbo_100__rtt_5020_equity_constant
rema_50100150__rbo_50_equity_constant,11299.397200000001,12.99397200000001,-19.686700316390898,rema_50100150__rbo_50,75.0,rema_50100150__rbo_50_equity_constant
rema_50100__rtt_5020_equity_constant,11203.315800000015,12.033158000000155,-18.53034812229489,rema_50100__rtt_5020,33.0,rema_50100__rtt_5020_equity_constant
rsma_100150__rsma_50100150_equity_constant,11110.977799999993,11.109777999999926,-22.03730237332894,rsma_100150__rsma_50100150,81.0,rsma_100150__rsma_50100150_equity_constant
rbo_100__rbo_20_equity_constant,11029.86279999999,10.298627999999898,-22.46131043110447,rbo_100__rbo_20,53.0,rbo_100__rbo_20_equity_constant
