combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,12,6,6,0,0,68,75,384,12.903225806451612,14.231499051233396,72.86527514231499,11.333333333333334,12.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,30,17,13,0,0,82,79,366,15.559772296015181,14.990512333965844,69.44971537001898,4.823529411764706,6.076923076923077,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,22,17,5,0,0,103,111,313,19.54459203036053,21.062618595825427,59.39278937381404,6.0588235294117645,22.2,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,9,5,4,0,0,94,89,344,17.836812144212523,16.888045540796963,65.2751423149905,18.8,22.25,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,22,17,5,0,0,100,108,319,18.975332068311197,20.49335863377609,60.53130929791271,5.882352941176471,21.6,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,19,16,2,0,1,125,133,269,23.719165085388994,25.23719165085389,51.04364326375711,7.8125,66.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,50,11,38,0,1,150,42,335,28.46299810246679,7.969639468690702,63.5673624288425,13.636363636363637,1.105263157894737,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,22,17,5,0,0,97,120,310,18.40607210626186,22.770398481973434,58.82352941176471,5.705882352941177,24.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,21,18,2,0,1,112,133,282,21.25237191650854,25.23719165085389,53.510436432637576,6.222222222222222,66.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,43,4,38,0,1,198,42,287,37.571157495256166,7.969639468690702,54.459203036053125,49.5,1.105263157894737,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,24,15,9,0,0,55,59,413,10.436432637571158,11.195445920303605,78.36812144212524,3.6666666666666665,6.555555555555555,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,2,1,0,0,68,67,392,12.903225806451612,12.7134724857685,74.38330170777988,34.0,67.0,True,
