equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rbo_20_equity_convex,26760.184699999983,167.60184699999985,-87.14873632866154,rsma_50100150__rbo_20,82.0,rsma_50100150__rbo_20_equity_convex
rema_50100150__rbo_50_equity_convex,26622.196999999993,166.2219699999999,-87.180719696189,rema_50100150__rbo_50,56.0,rema_50100150__rbo_50_equity_convex
rema_50100__rbo_100_equity_convex,23368.47650000006,133.6847650000006,-83.6083097830915,rema_50100__rbo_100,10.0,rema_50100__rbo_100_equity_convex
rema_50100__rbo_100_equity_concave,23260.199800000053,132.60199800000052,-83.60347628208575,rema_50100__rbo_100,10.0,rema_50100__rbo_100_equity_concave
rema_50100150__rbo_50_equity_concave,21885.797500000022,118.85797500000024,-89.75266542892638,rema_50100150__rbo_50,56.0,rema_50100150__rbo_50_equity_concave
rbo_50__rbo_20_equity_concave,21818.71859999998,118.1871859999998,-89.97550042455487,rbo_50__rbo_20,36.0,rbo_50__rbo_20_equity_concave
rsma_50100150__rtt_5020_equity_convex,20891.648400000027,108.91648400000027,-85.15496707155853,rsma_50100150__rtt_5020,48.0,rsma_50100150__rtt_5020_equity_convex
rsma_50100__rbo_100_equity_convex,20758.88470000005,107.58884700000051,-81.17028004975506,rsma_50100__rbo_100,9.0,rsma_50100__rbo_100_equity_convex
rsma_50100__rbo_100_equity_concave,20680.587100000048,106.80587100000048,-81.17028004975506,rsma_50100__rbo_100,9.0,rsma_50100__rbo_100_equity_concave
rsma_50100150__rbo_50_equity_convex,20533.79400000001,105.33794000000007,-85.83636673085964,rsma_50100150__rbo_50,57.0,rsma_50100150__rbo_50_equity_convex
rsma_50100150__rbo_20_equity_concave,20332.99509999994,103.32995099999937,-86.07779088534424,rsma_50100150__rbo_20,82.0,rsma_50100150__rbo_20_equity_concave
rtt_5020_equity_convex,19539.010700000024,95.39010700000023,-91.21432640325801,rtt_5020,,rtt_5020_equity_convex
rema_50100150__rbo_20_equity_convex,19121.64839999999,91.21648399999991,-82.91452018655181,rema_50100150__rbo_20,78.0,rema_50100150__rbo_20_equity_convex
rema_50100__rsma_50100150_equity_convex,18413.333699999996,84.13333699999997,-81.17028004975506,rema_50100__rsma_50100150,14.0,rema_50100__rsma_50100150_equity_convex
rema_50100__rsma_50100150_equity_concave,18411.793099999988,84.11793099999988,-81.17028004975506,rema_50100__rsma_50100150,14.0,rema_50100__rsma_50100150_equity_concave
rbo_50__rbo_20_equity_convex,18203.704600000023,82.03704600000023,-85.10347061252172,rbo_50__rbo_20,36.0,rbo_50__rbo_20_equity_convex
rema_50100__rsma_50100_equity_convex,17867.33130000001,78.67331300000009,-83.98599594562249,rema_50100__rsma_50100,10.0,rema_50100__rsma_50100_equity_convex
rema_50100__rsma_50100_equity_concave,17865.7907,78.65790700000002,-83.98560085158425,rema_50100__rsma_50100,10.0,rema_50100__rsma_50100_equity_concave
rema_50100150__rbo_20_equity_concave,17526.644599999956,75.26644599999956,-85.56778975682798,rema_50100150__rbo_20,78.0,rema_50100150__rbo_20_equity_concave
rsma_50100150__rtt_5020_equity_concave,16915.96529999999,69.15965299999989,-88.34859695802078,rsma_50100150__rtt_5020,48.0,rsma_50100150__rtt_5020_equity_concave
rsma_50100150__rbo_50_equity_concave,16882.501200000017,68.82501200000017,-88.67949078026665,rsma_50100150__rbo_50,57.0,rsma_50100150__rbo_50_equity_concave
rsma_50100__rsma_50100150_equity_convex,16842.23709999999,68.4223709999999,-81.17028004975506,rsma_50100__rsma_50100150,9.0,rsma_50100__rsma_50100150_equity_convex
