combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,8,1,0,0,190,19,333,35.05535055350554,3.505535055350553,61.43911439114391,23.75,19.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,18,17,1,0,0,244,19,279,45.018450184501845,3.505535055350553,51.476014760147606,14.352941176470589,19.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,18,17,1,0,0,275,19,248,50.7380073800738,3.505535055350553,45.75645756457565,16.176470588235293,19.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,6,1,0,0,255,19,268,47.0479704797048,3.505535055350553,49.44649446494465,42.5,19.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,22,12,9,1,0,301,10,231,55.535055350553506,1.8450184501845017,42.61992619926199,25.083333333333332,1.1111111111111112,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,16,6,9,1,0,306,10,226,56.457564575645755,1.8450184501845017,41.69741697416974,51.0,1.1111111111111112,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,36,35,1,0,0,196,19,327,36.162361623616235,3.505535055350553,60.332103321033216,5.6,19.0,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,3,1,0,0,230,19,293,42.435424354243544,3.505535055350553,54.05904059040591,76.66666666666667,19.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,6,5,1,0,0,263,19,260,48.523985239852394,3.505535055350553,47.97047970479705,52.6,19.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,3,1,0,0,230,19,293,42.435424354243544,3.505535055350553,54.05904059040591,76.66666666666667,19.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,17,7,10,0,0,268,10,264,49.44649446494465,1.8450184501845017,48.708487084870846,38.285714285714285,1.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,13,3,10,0,0,269,10,263,49.6309963099631,1.8450184501845017,48.523985239852394,89.66666666666667,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,53,52,1,0,0,205,19,318,37.82287822878229,3.505535055350553,58.671586715867164,3.9423076923076925,19.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,21,20,1,0,0,237,19,286,43.7269372693727,3.505535055350553,52.767527675276746,11.85,19.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,2,1,0,0,255,19,268,47.0479704797048,3.505535055350553,49.44649446494465,127.5,19.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,20,19,1,0,0,238,19,285,43.91143911439114,3.505535055350553,52.5830258302583,12.526315789473685,19.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,19,9,10,0,0,259,10,273,47.7859778597786,1.8450184501845017,50.3690036900369,28.77777777777778,1.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,14,4,10,0,0,263,10,269,48.523985239852394,1.8450184501845017,49.6309963099631,65.75,1.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,5,1,0,0,165,19,358,30.44280442804428,3.505535055350553,66.05166051660517,33.0,19.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,3,1,0,0,230,19,293,42.435424354243544,3.505535055350553,54.05904059040591,76.66666666666667,19.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,6,5,1,0,0,263,19,260,48.523985239852394,3.505535055350553,47.97047970479705,52.6,19.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,4,3,1,0,0,230,19,293,42.435424354243544,3.505535055350553,54.05904059040591,76.66666666666667,19.0,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,17,7,10,0,0,268,10,264,49.44649446494465,1.8450184501845017,48.708487084870846,38.285714285714285,1.0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,13,3,10,0,0,269,10,263,49.6309963099631,1.8450184501845017,48.523985239852394,89.66666666666667,1.0,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,82,82,0,0,0,225,0,317,41.51291512915129,0.0,58.487084870848705,2.7439024390243905,0.0,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,57,57,0,0,0,248,0,294,45.75645756457565,0.0,54.24354243542435,4.350877192982456,0.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,45,45,0,0,0,266,0,276,49.07749077490775,0.0,50.92250922509225,5.911111111111111,0.0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,48,48,0,0,0,258,0,284,47.601476014760145,0.0,52.398523985239855,5.375,0.0,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,4,4,0,0,0,294,0,248,54.24354243542435,0.0,45.75645756457565,73.5,0.0,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,14,14,0,0,0,292,0,250,53.874538745387454,0.0,46.125461254612546,20.857142857142858,0.0,True,
