equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020__rbo_20_equity_concave,62082.0758,520.820758,-91.37114895261469,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20_equity_concave
rtt_5020__rbo_20_equity_convex,57629.95630000004,476.29956300000043,-91.03196549481332,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20_equity_convex
rsma_50100150__rema_50100150_equity_concave,51746.51390000002,417.4651390000002,-95.08903113949142,rsma_50100150__rema_50100150,32.0,rsma_50100150__rema_50100150_equity_concave
rsma_50100150__rema_50100150_equity_convex,42724.17500000003,327.2417500000003,-92.32516371838344,rsma_50100150__rema_50100150,32.0,rsma_50100150__rema_50100150_equity_convex
rbo_20__rbo_20_equity_concave,40746.778300000085,307.46778300000085,-91.53762752922184,rbo_20__rbo_20,6.0,rbo_20__rbo_20_equity_concave
rbo_20__rbo_20_equity_convex,37999.01590000003,279.9901590000003,-90.66522310537346,rbo_20__rbo_20,6.0,rbo_20__rbo_20_equity_convex
rsma_50100150__rema_100150_equity_concave,37757.9713000001,277.579713000001,-92.73084352138258,rsma_50100150__rema_100150,48.0,rsma_50100150__rema_100150_equity_concave
rtt_5020__rema_50100150_equity_concave,34859.331500000015,248.59331500000016,-93.67291954354533,rtt_5020__rema_50100150,43.0,rtt_5020__rema_50100150_equity_concave
rema_50100150__rbo_20_equity_convex,33970.853400000036,239.70853400000038,-88.3897509742632,rema_50100150__rbo_20,35.0,rema_50100150__rbo_20_equity_convex
rtt_5020__rema_50100150_equity_convex,33172.783900000046,231.72783900000047,-93.34706376072036,rtt_5020__rema_50100150,43.0,rtt_5020__rema_50100150_equity_convex
rbo_50__rbo_20_equity_convex,32196.295300000063,221.96295300000065,-91.03196549481332,rbo_50__rbo_20,23.0,rbo_50__rbo_20_equity_convex
rema_50100150__rbo_20_equity_concave,31853.98970000002,218.5398970000002,-88.61146171540513,rema_50100150__rbo_20,35.0,rema_50100150__rbo_20_equity_concave
rbo_50__rtt_5020_equity_concave,31274.350999999995,212.74350999999996,-91.37114895261469,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020_equity_concave
rbo_50__rbo_50_equity_concave,31274.350999999995,212.74350999999996,-91.37114895261469,rbo_50__rbo_50,4.0,rbo_50__rbo_50_equity_concave
rtt_5020__rtt_5020_equity_concave,31274.350999999995,212.74350999999996,-91.37114895261469,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020_equity_concave
rtt_5020__rbo_50_equity_concave,31274.350999999995,212.74350999999996,-91.37114895261469,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50_equity_concave
rbo_50__rbo_20_equity_concave,31078.63580000003,210.78635800000026,-91.37114895261469,rbo_50__rbo_20,23.0,rbo_50__rbo_20_equity_concave
rbo_50__rema_50100150_equity_concave,30921.0972,209.21097199999997,-93.67291954354533,rbo_50__rema_50100150,56.0,rbo_50__rema_50100150_equity_concave
rtt_5020__rtt_5020_equity_convex,30696.895300000047,206.96895300000045,-91.03196549481332,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020_equity_convex
rbo_50__rtt_5020_equity_convex,30696.895300000047,206.96895300000045,-91.03196549481332,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020_equity_convex
rtt_5020__rbo_50_equity_convex,30696.895300000047,206.96895300000045,-91.03196549481332,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50_equity_convex
rbo_50__rbo_50_equity_convex,30696.895300000047,206.96895300000045,-91.03196549481332,rbo_50__rbo_50,4.0,rbo_50__rbo_50_equity_convex
rbo_50__rema_50100150_equity_convex,29425.940300000042,194.25940300000045,-93.34706376072036,rbo_50__rema_50100150,56.0,rbo_50__rema_50100150_equity_convex
rsma_50100150__rema_100150_equity_convex,28541.073900000072,185.41073900000075,-90.01974493338525,rsma_50100150__rema_100150,48.0,rsma_50100150__rema_100150_equity_convex
rema_50100__rema_50100150_equity_convex,27558.88289999999,175.5888289999999,-92.14320841657879,rema_50100__rema_50100150,56.0,rema_50100__rema_50100150_equity_convex
rema_50100__rema_50100150_equity_concave,27097.639400000015,170.97639400000014,-92.947977757856,rema_50100__rema_50100150,56.0,rema_50100__rema_50100150_equity_concave
rema_50100__rbo_20_equity_concave,24044.040900000116,140.44040900000115,-89.16212053102977,rema_50100__rbo_20,50.0,rema_50100__rbo_20_equity_concave
rema_50100__rbo_20_equity_convex,23885.57580000009,138.8557580000009,-87.8740736016569,rema_50100__rbo_20,50.0,rema_50100__rbo_20_equity_convex
rsma_50100150__rbo_20_equity_concave,21456.073900000047,114.56073900000048,-89.74827596836965,rsma_50100150__rbo_20,40.0,rsma_50100150__rbo_20_equity_concave
rsma_50100__rema_50100150_equity_convex,21433.177600000072,114.3317760000007,-90.66361633318908,rsma_50100__rema_50100150,62.0,rsma_50100__rema_50100150_equity_convex
rsma_50100150__rbo_100_equity_concave,19867.793000000023,98.67793000000023,-96.48026617214221,rsma_50100150__rbo_100,37.0,rsma_50100150__rbo_100_equity_concave
rsma_50100150__rbo_100_equity_convex,19867.249000000036,98.67249000000035,-96.47275889085743,rsma_50100150__rbo_100,37.0,rsma_50100150__rbo_100_equity_convex
rsma_50100__rema_100150_equity_concave,19153.800799999968,91.53800799999968,-89.61559958006191,rsma_50100__rema_100150,38.0,rsma_50100__rema_100150_equity_concave
rbo_20__rtt_5020_equity_concave,19069.56570000005,90.69565700000051,-91.53762752922184,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020_equity_concave
rsma_50100150__rbo_20_equity_convex,18326.236600000022,83.26236600000021,-82.90391773913315,rsma_50100150__rbo_20,40.0,rsma_50100150__rbo_20_equity_convex
rbo_20__rtt_5020_equity_convex,18223.630600000048,82.23630600000047,-90.66522310537346,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020_equity_convex
rbo_50__rema_50100_equity_concave,17958.238000000027,79.58238000000026,-89.72578986451755,rbo_50__rema_50100,6.0,rbo_50__rema_50100_equity_concave
rtt_5020__rema_50100_equity_concave,17958.238000000027,79.58238000000026,-89.72578986451755,rtt_5020__rema_50100,6.0,rtt_5020__rema_50100_equity_concave
rtt_5020__rema_50100_equity_convex,17926.650199999975,79.26650199999973,-88.39739809563825,rtt_5020__rema_50100,6.0,rtt_5020__rema_50100_equity_convex
rbo_50__rema_50100_equity_convex,17926.650199999975,79.26650199999973,-88.39739809563825,rbo_50__rema_50100,6.0,rbo_50__rema_50100_equity_convex
rema_50100150__rbo_50_equity_convex,17542.77180000005,75.4277180000005,-88.3897509742632,rema_50100150__rbo_50,35.0,rema_50100150__rbo_50_equity_convex
rsma_50100__rema_50100150_equity_concave,17519.700099999995,75.19700099999996,-92.9856633805491,rsma_50100__rema_50100150,62.0,rsma_50100__rema_50100150_equity_concave
rema_50100150__rbo_50_equity_concave,17488.940100000047,74.88940100000048,-88.61146171540513,rema_50100150__rbo_50,35.0,rema_50100150__rbo_50_equity_concave
rsma_50100__rema_100150_equity_convex,17284.201,72.84201000000002,-89.43724799013634,rsma_50100__rema_100150,38.0,rsma_50100__rema_100150_equity_convex
rema_50100__rbo_50_equity_concave,17259.927400000084,72.59927400000083,-89.16212053102977,rema_50100__rbo_50,36.0,rema_50100__rbo_50_equity_concave
rema_100150__rbo_50_equity_concave,16874.55020000004,68.74550200000043,-88.10761728978171,rema_100150__rbo_50,21.0,rema_100150__rbo_50_equity_concave
rema_100150__rtt_5020_equity_concave,16874.55020000004,68.74550200000043,-88.10761728978171,rema_100150__rtt_5020,21.0,rema_100150__rtt_5020_equity_concave
