equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rbo_100_equity_concave,32411.486399999987,224.11486399999987,-71.19068979837309,rema_50100150__rbo_100,9.0,rema_50100150__rbo_100_equity_concave
rema_50100150__rtt_5020_equity_concave,31970.175200000012,219.7017520000001,-78.95406822319383,rema_50100150__rtt_5020,4.0,rema_50100150__rtt_5020_equity_concave
rema_50100150__rbo_50_equity_concave,31970.175200000012,219.7017520000001,-78.95406822319383,rema_50100150__rbo_50,4.0,rema_50100150__rbo_50_equity_concave
rema_50100150__rbo_100_equity_convex,31895.615599999994,218.95615599999996,-71.19068979837309,rema_50100150__rbo_100,9.0,rema_50100150__rbo_100_equity_convex
rema_50100150__rtt_5020_equity_convex,30880.83230000001,208.8083230000001,-70.21507965704122,rema_50100150__rtt_5020,4.0,rema_50100150__rtt_5020_equity_convex
rema_50100150__rbo_50_equity_convex,30880.83230000001,208.8083230000001,-70.21507965704122,rema_50100150__rbo_50,4.0,rema_50100150__rbo_50_equity_convex
rema_50100150__rema_50100150_equity_convex,18605.782100000015,86.05782100000015,-70.49876516205522,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150_equity_convex
rema_50100150__rema_50100150_equity_concave,18321.704100000014,83.21704100000014,-71.31771585384887,rema_50100150__rema_50100150,6.0,rema_50100150__rema_50100150_equity_concave
rbo_20__rsma_100150_equity_concave,17682.45850000008,76.8245850000008,-84.84267011217767,rbo_20__rsma_100150,55.0,rbo_20__rsma_100150_equity_concave
rbo_20__rsma_100150_equity_convex,17401.53810000005,74.01538100000049,-77.33505023298981,rbo_20__rsma_100150,55.0,rbo_20__rsma_100150_equity_convex
rema_50100150__rsma_50100_equity_concave,17106.37940000001,71.06379400000009,-70.32392818069172,rema_50100150__rsma_50100,7.0,rema_50100150__rsma_50100_equity_concave
rema_50100150__rsma_50100_equity_convex,15945.637000000002,59.456370000000014,-52.692291785508125,rema_50100150__rsma_50100,7.0,rema_50100150__rsma_50100_equity_convex
rsma_50100__rsma_50100_equity_convex,14658.89969999999,46.5889969999999,-71.94522480204397,rsma_50100__rsma_50100,5.0,rsma_50100__rsma_50100_equity_convex
rsma_50100__rtt_5020_equity_convex,14509.747599999979,45.09747599999978,-71.29630117592511,rsma_50100__rtt_5020,25.0,rsma_50100__rtt_5020_equity_convex
rsma_50100__rbo_50_equity_convex,14509.747599999979,45.09747599999978,-71.29630117592511,rsma_50100__rbo_50,25.0,rsma_50100__rbo_50_equity_convex
rsma_50100__rsma_100150_equity_convex,14477.698499999995,44.77698499999996,-70.28858446256433,rsma_50100__rsma_100150,52.0,rsma_50100__rsma_100150_equity_convex
rsma_50100__rbo_100_equity_convex,14113.31649999997,41.13316499999971,-73.07586029828555,rsma_50100__rbo_100,14.0,rsma_50100__rbo_100_equity_convex
rsma_50100__rsma_50100_equity_concave,13990.175700000018,39.90175700000018,-76.32599590426096,rsma_50100__rsma_50100,5.0,rsma_50100__rsma_50100_equity_concave
rbo_100__rsma_50100150_equity_convex,13963.300300000015,39.633003000000144,-78.03182634289413,rbo_100__rsma_50100150,64.0,rbo_100__rsma_50100150_equity_convex
rsma_50100__rbo_50_equity_concave,13839.118199999966,38.39118199999967,-72.4686720399688,rsma_50100__rbo_50,25.0,rsma_50100__rbo_50_equity_concave
rsma_50100__rtt_5020_equity_concave,13839.118199999966,38.39118199999967,-72.4686720399688,rsma_50100__rtt_5020,25.0,rsma_50100__rtt_5020_equity_concave
rbo_100__rsma_50100150_equity_concave,13778.881999999987,37.78881999999988,-82.89927066118005,rbo_100__rsma_50100150,64.0,rbo_100__rsma_50100150_equity_concave
rbo_100__rsma_100150_equity_convex,13704.52770000003,37.04527700000029,-71.46756403258185,rbo_100__rsma_100150,44.0,rbo_100__rsma_100150_equity_convex
rtt_5020_equity_constant,12978.206799999985,29.78206799999985,-28.73128036975206,rtt_5020,,rtt_5020_equity_constant
rbo_100__rema_100150_equity_convex,12885.418599999999,28.85418599999998,-84.73740853882789,rbo_100__rema_100150,29.0,rbo_100__rema_100150_equity_convex
rbo_100__rsma_100150_equity_concave,12773.978500000052,27.739785000000516,-77.8319164187643,rbo_100__rsma_100150,44.0,rbo_100__rsma_100150_equity_concave
rsma_50100150__rsma_50100_equity_convex,12704.615700000017,27.04615700000017,-79.18763987742344,rsma_50100150__rsma_50100,34.0,rsma_50100150__rsma_50100_equity_convex
rsma_50100__rsma_100150_equity_concave,12646.949799999999,26.46949799999998,-77.20308460911683,rsma_50100__rsma_100150,52.0,rsma_50100__rsma_100150_equity_concave
rsma_50100150__rsma_100150_equity_convex,12460.793199999984,24.607931999999842,-78.61474542248126,rsma_50100150__rsma_100150,40.0,rsma_50100150__rsma_100150_equity_convex
rema_50100150__rbo_20_equity_convex,12310.067200000007,23.100672000000078,-52.759981010482306,rema_50100150__rbo_20,15.0,rema_50100150__rbo_20_equity_convex
rtt_5020__rema_50100150_equity_concave,12050.29629999996,20.502962999999607,-70.3467637789127,rtt_5020__rema_50100150,65.0,rtt_5020__rema_50100150_equity_concave
rema_100150__rbo_20_equity_constant,12034.126900000001,20.34126900000002,-18.953270400496482,rema_100150__rbo_20,45.0,rema_100150__rbo_20_equity_constant
