combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,3,5,0,0,59,165,303,11.195445920303605,31.309297912713475,57.49525616698292,19.666666666666668,33.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,24,2,22,0,0,76,196,255,14.421252371916509,37.19165085388994,48.38709677419355,38.0,8.909090909090908,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,40,2,38,0,0,76,218,233,14.421252371916509,41.36622390891841,44.212523719165084,38.0,5.7368421052631575,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,2,5,0,0,76,214,237,14.421252371916509,40.60721062618596,44.97153700189753,38.0,42.8,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,50,2,48,0,0,76,211,240,14.421252371916509,40.03795066413662,45.54079696394687,38.0,4.395833333333333,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,55,13,41,0,1,64,179,284,12.144212523719165,33.96584440227704,53.889943074003796,4.923076923076923,4.365853658536586,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,62,13,48,0,1,64,162,301,12.144212523719165,30.740037950664135,57.1157495256167,4.923076923076923,3.375,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,35,4,31,0,0,74,206,247,14.041745730550284,39.08918406072106,46.86907020872865,18.5,6.645161290322581,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,54,12,42,0,0,66,191,270,12.523719165085389,36.24288425047438,51.23339658444023,5.5,4.5476190476190474,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,83,10,73,0,0,68,95,364,12.903225806451612,18.026565464895636,69.07020872865274,6.8,1.3013698630136987,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,40,12,28,0,0,68,152,307,12.903225806451612,28.842504743833018,58.254269449715366,5.666666666666667,5.428571428571429,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,6,2,4,0,0,78,177,272,14.800759013282732,33.586337760910816,51.61290322580645,39.0,44.25,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,22,2,20,0,0,78,201,248,14.800759013282732,38.1404174573055,47.05882352941176,39.0,10.05,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,6,2,4,0,0,78,177,272,14.800759013282732,33.586337760910816,51.61290322580645,39.0,44.25,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,32,2,30,0,0,78,192,257,14.800759013282732,36.43263757115749,48.76660341555977,39.0,6.4,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,52,14,37,0,1,65,169,293,12.333965844402277,32.06831119544592,55.597722960151806,4.642857142857143,4.5675675675675675,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,63,14,48,0,1,65,153,309,12.333965844402277,29.03225806451613,58.63377609108159,4.642857142857143,3.1875,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,21,5,16,0,0,75,190,262,14.231499051233396,36.05313092979127,49.71537001897533,15.0,11.875,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,42,13,29,0,0,67,177,283,12.7134724857685,33.586337760910816,53.70018975332068,5.153846153846154,6.103448275862069,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,88,10,78,0,0,70,102,355,13.282732447817835,19.35483870967742,67.36242884250474,7.0,1.3076923076923077,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,57,11,46,0,0,66,138,323,12.523719165085389,26.185958254269448,61.29032258064516,6.0,3.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,25,2,23,0,0,75,161,291,14.231499051233396,30.55028462998102,55.21821631878557,37.5,7.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,75,182,270,14.231499051233396,34.53510436432637,51.23339658444023,37.5,91.0,True,
