equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rema_50100_equity_concave,32592.43729999994,225.92437299999938,-74.28937576509512,rema_50100150__rema_50100,27.0,rema_50100150__rema_50100_equity_concave
rema_50100150__rema_100150_equity_concave,31468.499999999985,214.68499999999983,-70.87460746106579,rema_50100150__rema_100150,15.0,rema_50100150__rema_100150_equity_concave
rema_50100150__rema_100150_equity_convex,31317.184199999985,213.17184199999986,-70.73299283824042,rema_50100150__rema_100150,15.0,rema_50100150__rema_100150_equity_convex
rema_50100150__rema_50100_equity_convex,29736.66339999994,197.3666339999994,-71.63832103568566,rema_50100150__rema_50100,27.0,rema_50100150__rema_50100_equity_convex
rema_50100150__rema_50100150_equity_concave,25522.87179999999,155.2287179999999,-63.35256160903482,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_concave
rema_50100150__rema_50100150_equity_convex,23140.770399999987,131.40770399999985,-63.35256160903482,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_convex
rema_50100150__rsma_50100150_equity_convex,21835.452699999976,118.35452699999975,-54.20291881560115,rema_50100150__rsma_50100150,16.0,rema_50100150__rsma_50100150_equity_convex
rema_50100150__rsma_50100150_equity_concave,19851.130099999973,98.51130099999975,-50.34114269350981,rema_50100150__rsma_50100150,16.0,rema_50100150__rsma_50100150_equity_concave
rema_100150__rsma_100150_equity_convex,18475.719999999998,84.75719999999998,-107.11900537570389,rema_100150__rsma_100150,1.0,rema_100150__rsma_100150_equity_convex
rema_100150__rsma_100150_equity_concave,18475.719999999998,84.75719999999998,-107.11900537570389,rema_100150__rsma_100150,1.0,rema_100150__rsma_100150_equity_concave
rema_50100150__rsma_50100_equity_concave,17196.677799999954,71.96677799999954,-50.95435228380315,rema_50100150__rsma_50100,23.0,rema_50100150__rsma_50100_equity_concave
rsma_50100150__rsma_50100150_equity_concave,16886.79469999999,68.86794699999992,-56.309394227431476,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150_equity_concave
rema_50100150__rsma_50100_equity_convex,16529.802399999964,65.29802399999964,-50.219060278530215,rema_50100150__rsma_50100,23.0,rema_50100150__rsma_50100_equity_convex
rsma_50100150__rsma_100150_equity_concave,15283.077399999993,52.830773999999934,-101.24249910557941,rsma_50100150__rsma_100150,2.0,rsma_50100150__rsma_100150_equity_concave
rsma_50100__rema_100150_equity_concave,14863.238699999985,48.63238699999985,-105.76049963573982,rsma_50100__rema_100150,5.0,rsma_50100__rema_100150_equity_concave
rsma_50100__rema_100150_equity_convex,14805.534499999992,48.055344999999924,-105.7091064304685,rsma_50100__rema_100150,5.0,rsma_50100__rema_100150_equity_convex
rsma_50100150__rema_100150_equity_concave,14594.188599999992,45.94188599999993,-105.81395665943364,rsma_50100150__rema_100150,4.0,rsma_50100150__rema_100150_equity_concave
rsma_100150__rsma_100150_equity_concave,14592.205599999994,45.92205599999994,-76.73935019808955,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_concave
rsma_100150__rema_100150_equity_convex,14582.5685,45.82568499999999,-67.53852343978886,rsma_100150__rema_100150,27.0,rsma_100150__rema_100150_equity_convex
rsma_100150__rsma_100150_equity_convex,14489.469599999993,44.89469599999993,-76.16184725219507,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_convex
rsma_100150__rema_100150_equity_concave,14362.09750000001,43.62097500000011,-69.02929135310181,rsma_100150__rema_100150,27.0,rsma_100150__rema_100150_equity_concave
rema_50100150__rtt_5020_equity_concave,14239.876600000007,42.39876600000008,-67.382439782669,rema_50100150__rtt_5020,24.0,rema_50100150__rtt_5020_equity_concave
rema_50100150__rtt_5020_equity_convex,14237.762700000007,42.377627000000075,-67.382439782669,rema_50100150__rtt_5020,24.0,rema_50100150__rtt_5020_equity_convex
rsma_100150__rsma_50100_equity_convex,14195.815000000004,41.958150000000046,-70.15606014835737,rsma_100150__rsma_50100,41.0,rsma_100150__rsma_50100_equity_convex
rsma_100150__rema_50100150_equity_convex,14088.731000000003,40.887310000000035,-64.00623277912362,rsma_100150__rema_50100150,98.0,rsma_100150__rema_50100150_equity_convex
rsma_50100150__rsma_50100150_equity_convex,13970.356899999992,39.703568999999916,-44.25183869139378,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150_equity_convex
rema_50100150__rsma_100150_equity_convex,13875.747399999987,38.75747399999987,-63.16972320414966,rema_50100150__rsma_100150,5.0,rema_50100150__rsma_100150_equity_convex
rema_50100150__rsma_100150_equity_concave,13778.746099999991,37.78746099999992,-63.40306294206527,rema_50100150__rsma_100150,5.0,rema_50100150__rsma_100150_equity_concave
rsma_50100150__rema_100150_equity_convex,13609.511499999997,36.09511499999998,-94.84660636055894,rsma_50100150__rema_100150,4.0,rsma_50100150__rema_100150_equity_convex
rsma_100150__rsma_50100_equity_concave,13471.862199999996,34.718621999999954,-71.48233770131206,rsma_100150__rsma_50100,41.0,rsma_100150__rsma_50100_equity_concave
rema_100150__rsma_50100_equity_concave,13448.739299999981,34.48739299999981,-110.89903706669988,rema_100150__rsma_50100,16.0,rema_100150__rsma_50100_equity_concave
rsma_100150__rsma_50100150_equity_convex,13378.028400000025,33.780284000000236,-64.09947542117675,rsma_100150__rsma_50100150,102.0,rsma_100150__rsma_50100150_equity_convex
rsma_50100150__rsma_100150_equity_convex,13207.810199999994,32.078101999999944,-80.46126601667855,rsma_50100150__rsma_100150,2.0,rsma_50100150__rsma_100150_equity_convex
rema_100150__rema_100150_equity_convex,13053.407499999998,30.534074999999984,-109.21334690633175,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_convex
rema_100150__rema_100150_equity_concave,13053.407499999998,30.534074999999984,-109.21334690633175,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_concave
rema_50100150__rbo_50_equity_concave,12978.062699999988,29.780626999999882,-74.25037348318556,rema_50100150__rbo_50,25.0,rema_50100150__rbo_50_equity_concave
rema_50100150__rbo_50_equity_convex,12976.460299999988,29.76460299999988,-74.25037348318556,rema_50100150__rbo_50,25.0,rema_50100150__rbo_50_equity_convex
rsma_100150__rsma_50100150_equity_concave,12806.367700000028,28.063677000000276,-65.64682049863495,rsma_100150__rsma_50100150,102.0,rsma_100150__rsma_50100150_equity_concave
rema_50100150__rbo_20_equity_concave,12716.288000000004,27.162880000000044,-67.54937618725658,rema_50100150__rbo_20,24.0,rema_50100150__rbo_20_equity_concave
rema_50100150__rbo_20_equity_convex,12713.207700000004,27.132077000000045,-67.55314666844828,rema_50100150__rbo_20,24.0,rema_50100150__rbo_20_equity_convex
rbo_20__rema_50100150_equity_convex,12280.115200000007,22.80115200000008,-63.57592598908229,rbo_20__rema_50100150,72.0,rbo_20__rema_50100150_equity_convex
rbo_20__rema_100150_equity_concave,12115.450499999997,21.15450499999998,-82.74948841956899,rbo_20__rema_100150,10.0,rbo_20__rema_100150_equity_concave
rtt_5020__rema_100150_equity_concave,12097.115299999987,20.971152999999877,-82.73232686154638,rtt_5020__rema_100150,9.0,rtt_5020__rema_100150_equity_concave
rema_100150__rbo_100_equity_concave,12076.809799999979,20.76809799999979,-109.12734697111041,rema_100150__rbo_100,17.0,rema_100150__rbo_100_equity_concave
rsma_100150__rtt_5020_equity_convex,11912.903300000014,19.12903300000015,-80.55018460118974,rsma_100150__rtt_5020,35.0,rsma_100150__rtt_5020_equity_convex
rsma_100150__rtt_5020_equity_concave,11905.079100000014,19.05079100000013,-80.60899312906581,rsma_100150__rtt_5020,35.0,rsma_100150__rtt_5020_equity_concave
rsma_50100150__rema_50100_equity_concave,11633.005000000005,16.33005000000005,-107.29390041524098,rsma_50100150__rema_50100,16.0,rsma_50100150__rema_50100_equity_concave
rtt_5020__rema_50100150_equity_convex,11424.240500000002,14.242405000000025,-62.62078036179444,rtt_5020__rema_50100150,72.0,rtt_5020__rema_50100150_equity_convex
rsma_100150__rbo_20_equity_concave,11412.474500000015,14.12474500000014,-80.37760392500756,rsma_100150__rbo_20,46.0,rsma_100150__rbo_20_equity_concave
rema_50100__rbo_20_equity_constant,11381.690100000003,13.816901000000037,-17.72095605287024,rema_50100__rbo_20,24.0,rema_50100__rbo_20_equity_constant
rema_50100__rema_50100_equity_constant,11351.984400000001,13.519844000000013,-19.508512538239522,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_constant
rsma_100150__rbo_20_equity_convex,11334.454000000025,13.344540000000249,-80.50325901622621,rsma_100150__rbo_20,46.0,rsma_100150__rbo_20_equity_convex
rbo_100__rbo_20_equity_constant,11218.88219999998,12.1888219999998,-17.74501963293878,rbo_100__rbo_20,19.0,rbo_100__rbo_20_equity_constant
rsma_100150__rema_50100150_equity_concave,11173.388499999997,11.733884999999965,-71.46392699881075,rsma_100150__rema_50100150,98.0,rsma_100150__rema_50100150_equity_concave
rema_50100__rtt_5020_equity_constant,11170.772600000015,11.70772600000014,-18.12651122597295,rema_50100__rtt_5020,13.0,rema_50100__rtt_5020_equity_constant
rema_50100__rbo_50_equity_constant,11170.772600000015,11.70772600000014,-18.12651122597295,rema_50100__rbo_50,13.0,rema_50100__rbo_50_equity_constant
rbo_100__rema_50100_equity_constant,11118.945500000013,11.189455000000127,-20.768314349791044,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_constant
rema_50100__rbo_100_equity_constant,11045.404800000013,10.454048000000139,-18.12651122597295,rema_50100__rbo_100,6.0,rema_50100__rbo_100_equity_constant
rbo_100__rbo_100_equity_constant,11026.466600000002,10.264666000000023,-19.185433574138262,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_constant
rtt_5020__rbo_20_equity_constant,10964.122400000006,9.641224000000047,-21.871071561097963,rtt_5020__rbo_20,3.0,rtt_5020__rbo_20_equity_constant
rbo_100__rsma_50100150_equity_constant,10956.56070000001,9.565607000000087,-14.982590473239487,rbo_100__rsma_50100150,86.0,rbo_100__rsma_50100150_equity_constant
rbo_20__rbo_20_equity_constant,10947.785700000006,9.477857000000057,-23.019604385656116,rbo_20__rbo_20,3.0,rbo_20__rbo_20_equity_constant
rema_100150__rsma_50100_equity_convex,10909.630699999989,9.096306999999882,-107.9616803300414,rema_100150__rsma_50100,16.0,rema_100150__rsma_50100_equity_convex
rbo_50__rbo_50_equity_constant,10861.1828,8.611828,-21.582926276828136,rbo_50__rbo_50,2.0,rbo_50__rbo_50_equity_constant
rbo_50__rtt_5020_equity_constant,10861.1828,8.611828,-21.582926276828136,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020_equity_constant
rtt_5020__rbo_50_equity_constant,10861.1828,8.611828,-21.582926276828136,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50_equity_constant
rtt_5020__rtt_5020_equity_constant,10861.1828,8.611828,-21.582926276828136,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020_equity_constant
rbo_20__rbo_50_equity_constant,10859.6358,8.596358000000004,-21.5858201014196,rbo_20__rbo_50,3.0,rbo_20__rbo_50_equity_constant
rsma_100150__rbo_50_equity_convex,10857.972199999987,8.57972199999988,-83.87615503328831,rsma_100150__rbo_50,36.0,rsma_100150__rbo_50_equity_convex
rsma_100150__rbo_50_equity_concave,10845.705199999993,8.457051999999932,-83.92305476499486,rsma_100150__rbo_50,36.0,rsma_100150__rbo_50_equity_concave
rbo_20__rtt_5020_equity_constant,10837.119099999998,8.371190999999989,-22.6834468569799,rbo_20__rtt_5020,2.0,rbo_20__rtt_5020_equity_constant
rema_50100__rema_50100150_equity_constant,10832.641399999999,8.326413999999982,-12.74671846952159,rema_50100__rema_50100150,94.0,rema_50100__rema_50100150_equity_constant
rbo_50__rema_50100_equity_constant,10816.472499999993,8.164724999999917,-20.767330587013944,rbo_50__rema_50100,4.0,rbo_50__rema_50100_equity_constant
rtt_5020__rema_50100_equity_constant,10816.472499999993,8.164724999999917,-20.767330587013944,rtt_5020__rema_50100,4.0,rtt_5020__rema_50100_equity_constant
rbo_20__rema_50100_equity_constant,10814.925499999994,8.149254999999943,-20.77004668884628,rbo_20__rema_50100,5.0,rbo_20__rema_50100_equity_constant
rbo_100__rtt_5020_equity_constant,10814.244500000003,8.14244500000003,-19.185433574138262,rbo_100__rtt_5020,8.0,rbo_100__rtt_5020_equity_constant
rbo_100__rbo_50_equity_constant,10814.244500000003,8.14244500000003,-19.185433574138262,rbo_100__rbo_50,8.0,rbo_100__rbo_50_equity_constant
rbo_100__rema_50100150_equity_constant,10783.206899999996,7.832068999999953,-13.606809331413153,rbo_100__rema_50100150,90.0,rbo_100__rema_50100150_equity_constant
rema_50100__rsma_50100150_equity_constant,10781.851399999998,7.818513999999976,-12.309139746522527,rema_50100__rsma_50100150,90.0,rema_50100__rsma_50100150_equity_constant
rbo_50__rbo_20_equity_constant,10725.3668,7.253668000000002,-20.33245170414305,rbo_50__rbo_20,12.0,rbo_50__rbo_20_equity_constant
rbo_50__rbo_100_equity_constant,10724.555100000001,7.245551000000017,-19.171398777300467,rbo_50__rbo_100,4.0,rbo_50__rbo_100_equity_constant
rtt_5020__rbo_100_equity_constant,10724.555100000001,7.245551000000017,-19.171398777300467,rtt_5020__rbo_100,4.0,rtt_5020__rbo_100_equity_constant
rbo_20__rbo_100_equity_constant,10723.008100000003,7.2300810000000215,-19.173956662755938,rbo_20__rbo_100,5.0,rbo_20__rbo_100_equity_constant
rsma_50100150__rema_50100_equity_convex,10703.780700000005,7.037807000000051,-93.44762640736839,rsma_50100150__rema_50100,16.0,rsma_50100150__rema_50100_equity_convex
rbo_20__rema_100150_equity_convex,10518.811100000012,5.188111000000117,-62.85345509891294,rbo_20__rema_100150,10.0,rbo_20__rema_100150_equity_convex
rsma_50100__rbo_20_equity_constant,10507.678399999999,5.076783999999979,-11.482505120523633,rsma_50100__rbo_20,22.0,rsma_50100__rbo_20_equity_constant
rtt_5020__rema_100150_equity_convex,10506.657699999998,5.066576999999972,-62.779838024088576,rtt_5020__rema_100150,9.0,rtt_5020__rema_100150_equity_convex
