equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020__rbo_20_equity_concave,33929.98499999999,239.2998499999999,-83.95696478554925,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20_equity_concave
rtt_5020__rbo_20_equity_convex,32218.30879999999,222.18308799999994,-82.27649422303632,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20_equity_convex
rtt_5020__rsma_100150_equity_convex,28523.380900000033,185.23380900000035,-81.33470859347227,rtt_5020__rsma_100150,45.0,rtt_5020__rsma_100150_equity_convex
rtt_5020__rsma_100150_equity_concave,27232.549200000038,172.32549200000037,-82.7831387517094,rtt_5020__rsma_100150,45.0,rtt_5020__rsma_100150_equity_concave
rbo_50__rtt_5020_equity_convex,17105.61380000003,71.05613800000027,-124.51330117015753,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020_equity_convex
rbo_50__rbo_50_equity_convex,17105.61380000003,71.05613800000027,-124.51330117015753,rbo_50__rbo_50,4.0,rbo_50__rbo_50_equity_convex
rtt_5020__rbo_50_equity_convex,17105.61380000003,71.05613800000027,-124.51330117015753,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50_equity_convex
rtt_5020__rtt_5020_equity_convex,17105.61380000003,71.05613800000027,-124.51330117015753,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020_equity_convex
rbo_100__rbo_100_equity_convex,13798.84499999998,37.988449999999794,-72.72116766140556,rbo_100__rbo_100,2.0,rbo_100__rbo_100_equity_convex
rema_50100__rsma_50100150_equity_constant,13360.163800000004,33.601638000000044,-25.844741297997192,rema_50100__rsma_50100150,97.0,rema_50100__rsma_50100150_equity_constant
rsma_50100__rsma_50100150_equity_constant,13182.738700000014,31.82738700000014,-24.84981705627346,rsma_50100__rsma_50100150,90.0,rsma_50100__rsma_50100150_equity_constant
rsma_50100150__rsma_50100150_equity_constant,13059.193599999995,30.59193599999994,-24.181695514813097,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150_equity_constant
rbo_100__rsma_50100_equity_convex,13020.75309999997,30.20753099999971,-72.72116766140556,rbo_100__rsma_50100,30.0,rbo_100__rsma_50100_equity_convex
rsma_50100150__rema_100150_equity_constant,12978.794499999978,29.787944999999773,-26.283606611884704,rsma_50100150__rema_100150,1.0,rsma_50100150__rema_100150_equity_constant
rema_100150__rema_100150_equity_constant,12978.794499999978,29.787944999999773,-26.283606611884704,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rsma_100150__rema_100150_equity_constant,12978.794499999978,29.787944999999773,-26.283606611884704,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,12808.608400000016,28.086084000000145,-22.37447959171904,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,12808.608400000016,28.086084000000145,-22.37447959171904,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
rema_50100150__rema_50100150_equity_constant,12778.6085,27.786084999999993,-22.605642077539194,rema_50100150__rema_50100150,3.0,rema_50100150__rema_50100150_equity_constant
rtt_5020__rsma_50100150_equity_convex,12769.969999999981,27.699699999999815,-65.74984659560515,rtt_5020__rsma_50100150,36.0,rtt_5020__rsma_50100150_equity_convex
rema_50100150__rsma_100150_equity_constant,12768.092,27.680919999999997,-22.663181973013078,rema_50100150__rsma_100150,3.0,rema_50100150__rsma_100150_equity_constant
