combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,0,9,0,0,0,242,285,0.0,45.920303605313094,54.079696394686906,0,26.88888888888889,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,35,0,35,0,0,0,292,235,0.0,55.40796963946869,44.59203036053131,0,8.342857142857143,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,17,0,17,0,0,0,382,145,0.0,72.48576850094877,27.514231499051235,0,22.470588235294116,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,0,5,0,0,0,322,205,0.0,61.10056925996204,38.89943074003795,0,64.4,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,56,0,56,0,0,0,308,219,0.0,58.44402277039848,41.555977229601524,0,5.5,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,45,0,45,0,0,0,280,247,0.0,53.13092979127134,46.86907020872865,0,6.222222222222222,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,45,0,45,0,0,0,241,286,0.0,45.73055028462998,54.26944971537002,0,5.355555555555555,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,23,0,23,0,0,0,372,155,0.0,70.58823529411765,29.411764705882355,0,16.17391304347826,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,420,107,0.0,79.69639468690703,20.30360531309298,0,420.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,85,0,85,0,0,0,170,357,0.0,32.25806451612903,67.74193548387096,0,2.0,True,
