equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rsma_50100150_equity_convex,45576.9321,355.769321,-107.63800624714695,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150
rsma_50100150__rsma_50100150_equity_concave,42445.562899999975,324.45562899999976,-107.54678356136222,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150
rema_50100150__rbo_20_equity_concave,39506.19410000003,295.0619410000003,-81.30003282573539,rema_50100150__rbo_20,13.0,rema_50100150__rbo_20
rema_50100150__rtt_5020_equity_concave,37349.57800000004,273.49578000000037,-81.30003282573539,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_convex,36367.09650000001,263.6709650000001,-78.35016028155738,rema_50100150__rbo_20,13.0,rema_50100150__rbo_20
rema_50100150__rtt_5020_equity_convex,34738.63829999999,247.3863829999999,-78.35016028155738,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020
rsma_50100150__rbo_100_equity_concave,33409.965599999996,234.09965599999998,-83.71271583573055,rsma_50100150__rbo_100,21.0,rsma_50100150__rbo_100
rbo_20__rbo_100_equity_concave,30273.293199999986,202.73293199999983,-92.3912404914455,rbo_20__rbo_100,8.0,rbo_20__rbo_100
rbo_20__rbo_100_equity_convex,30196.65329999997,201.96653299999969,-92.3912404914455,rbo_20__rbo_100,8.0,rbo_20__rbo_100
rsma_50100150__rbo_100_equity_convex,29827.00380000004,198.27003800000037,-78.87548630567329,rsma_50100150__rbo_100,21.0,rsma_50100150__rbo_100
rema_50100150__rsma_50100150_equity_convex,28595.865100000014,185.95865100000015,-70.60474090501278,rema_50100150__rsma_50100150,2.0,rema_50100150__rsma_50100150
rema_50100150__rsma_50100150_equity_concave,28312.395200000017,183.12395200000017,-70.60474090501278,rema_50100150__rsma_50100150,2.0,rema_50100150__rsma_50100150
rema_50100150__rbo_100_equity_concave,24990.043,149.90043000000003,-67.70710259382786,rema_50100150__rbo_100,15.0,rema_50100150__rbo_100
rema_50100150__rbo_50_equity_concave,24990.043,149.90043000000003,-67.70710259382786,rema_50100150__rbo_50,15.0,rema_50100150__rbo_50
rema_50100150__rbo_50_equity_convex,23891.8082,138.918082,-65.00822434447888,rema_50100150__rbo_50,15.0,rema_50100150__rbo_50
rema_50100150__rbo_100_equity_convex,23891.8082,138.918082,-65.00822434447888,rema_50100150__rbo_100,15.0,rema_50100150__rbo_100
rema_50100150__rema_50100150_equity_convex,21940.035100000016,119.40035100000017,-61.484246170821535,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150
rema_50100150__rema_50100150_equity_concave,21940.035100000016,119.40035100000017,-61.484246170821535,rema_50100150__rema_50100150,2.0,rema_50100150__rema_50100150
rsma_50100150__rbo_50_equity_convex,21538.29529999998,115.38295299999982,-84.17118974787712,rsma_50100150__rbo_50,24.0,rsma_50100150__rbo_50
rbo_50__rbo_100_equity_convex,19418.81379999997,94.1881379999997,-99.11177594262658,rbo_50__rbo_100,5.0,rbo_50__rbo_100
rtt_5020__rbo_100_equity_convex,19418.81379999997,94.1881379999997,-99.11177594262658,rtt_5020__rbo_100,5.0,rtt_5020__rbo_100
rtt_5020__rbo_100_equity_concave,19416.462399999964,94.16462399999963,-99.11177594262658,rtt_5020__rbo_100,5.0,rtt_5020__rbo_100
rbo_50__rbo_100_equity_concave,19416.462399999964,94.16462399999963,-99.11177594262658,rbo_50__rbo_100,5.0,rbo_50__rbo_100
rsma_50100150__rbo_20_equity_concave,16761.041800000006,67.61041800000007,-80.96844311679696,rsma_50100150__rbo_20,19.0,rsma_50100150__rbo_20
rbo_20__rbo_20_equity_convex,14048.097500000025,40.48097500000025,-78.41846571667315,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rsma_50100150__rsma_50100150_equity_constant,13463.466799999997,34.63466799999997,-30.848489937837336,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150
