equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_100__rbo_20_equity_convex,21290.18129999999,112.9018129999999,-71.71537076917156,rbo_100__rbo_20,29.0,rbo_100__rbo_20
rbo_50__rbo_20_equity_convex,19299.85960000002,92.99859600000022,-67.99477452733719,rbo_50__rbo_20,27.0,rbo_50__rbo_20
rbo_100__rbo_100_equity_concave,15523.182399999985,55.23182399999984,-67.74480782286358,rbo_100__rbo_100,2.0,rbo_100__rbo_100
rbo_50__rtt_5020_equity_concave,14629.04709999999,46.2904709999999,-67.74480782286358,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_concave,14629.04709999999,46.2904709999999,-67.74480782286358,rbo_50__rbo_50,3.0,rbo_50__rbo_50
rbo_50__rbo_100_equity_concave,14556.176199999987,45.56176199999986,-70.02390795113548,rbo_50__rbo_100,4.0,rbo_50__rbo_100
rbo_100__rbo_50_equity_concave,14488.421999999995,44.88421999999994,-67.74480782286358,rbo_100__rbo_50,5.0,rbo_100__rbo_50
rbo_100__rtt_5020_equity_concave,14488.421999999995,44.88421999999994,-67.74480782286358,rbo_100__rtt_5020,5.0,rbo_100__rtt_5020
rema_50100150__rbo_100_equity_concave,13372.883399999995,33.72883399999995,-68.62793859183344,rema_50100150__rbo_100,2.0,rema_50100150__rbo_100
rsma_50100150__rbo_100_equity_concave,13157.76189999999,31.577618999999913,-68.61703767059761,rsma_50100150__rbo_100,2.0,rsma_50100150__rbo_100
rbo_100__rbo_20_equity_constant,12511.880099999998,25.11880099999999,-28.40087817153759,rbo_100__rbo_20,29.0,rbo_100__rbo_20
rbo_100__rtt_5020_equity_convex,12506.734099999992,25.06734099999992,-67.74480782286358,rbo_100__rtt_5020,5.0,rbo_100__rtt_5020
rbo_100__rbo_50_equity_convex,12506.734099999992,25.06734099999992,-67.74480782286358,rbo_100__rbo_50,5.0,rbo_100__rbo_50
rbo_50__rbo_20_equity_constant,12279.616499999995,22.796164999999945,-26.716387838875296,rbo_50__rbo_20,27.0,rbo_50__rbo_20
