combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,2,5,0,0,39,235,260,7.303370786516854,44.00749063670412,48.68913857677903,19.5,47.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,3,1,2,0,0,56,255,223,10.486891385767791,47.752808988764045,41.760299625468164,56.0,127.5,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,4,1,2,1,0,56,259,219,10.486891385767791,48.50187265917603,41.01123595505618,56.0,129.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,1,2,0,0,56,255,223,10.486891385767791,47.752808988764045,41.760299625468164,56.0,127.5,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,6,1,4,1,0,56,257,221,10.486891385767791,48.12734082397004,41.38576779026217,56.0,64.25,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,20,1,18,1,0,56,243,235,10.486891385767791,45.50561797752809,44.00749063670412,56.0,13.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,106,1,104,1,0,56,133,345,10.486891385767791,24.9063670411985,64.60674157303372,56.0,1.2788461538461537,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,7,1,5,1,0,56,256,222,10.486891385767791,47.940074906367045,41.57303370786517,56.0,51.2,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,16,1,14,1,0,56,247,231,10.486891385767791,46.254681647940075,43.258426966292134,56.0,17.642857142857142,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,111,1,109,1,0,56,128,350,10.486891385767791,23.970037453183522,65.54307116104869,56.0,1.1743119266055047,True,
