equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_constant,15246.519399999983,52.465193999999826,-39.46080178798052,rtt_5020,,rtt_5020_equity_constant
rsma_100150__rsma_100150_equity_constant,12867.484600000009,28.674846000000098,-23.385869060997404,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_constant
rbo_100__rsma_100150_equity_constant,12801.008600000005,28.010086000000058,-22.988009710422364,rbo_100__rsma_100150,16.0,rbo_100__rsma_100150_equity_constant
rema_50100__rsma_100150_equity_constant,12801.008600000005,28.010086000000058,-22.988009710422364,rema_50100__rsma_100150,16.0,rema_50100__rsma_100150_equity_constant
rema_100150__rsma_100150_equity_constant,12801.008600000005,28.010086000000058,-22.988009710422364,rema_100150__rsma_100150,16.0,rema_100150__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,12801.008600000005,28.010086000000058,-22.988009710422364,rsma_50100__rsma_100150,16.0,rsma_50100__rsma_100150_equity_constant
rsma_50100150__rsma_100150_equity_constant,12384.334399999994,23.843343999999945,-20.522753326169845,rsma_50100150__rsma_100150,16.0,rsma_50100150__rsma_100150_equity_constant
rsma_50100__rema_100150_equity_constant,12312.5817,23.125817000000005,-19.933026718515084,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
rbo_100__rema_100150_equity_constant,12312.5817,23.125817000000005,-19.933026718515084,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,12312.5817,23.125817000000005,-19.933026718515084,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rsma_100150__rema_100150_equity_constant,12312.5817,23.125817000000005,-19.933026718515084,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_constant
rema_100150__rema_100150_equity_constant,12312.5817,23.125817000000005,-19.933026718515084,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rema_100150__rema_50100_equity_constant,12176.0442,21.760442,-19.03518632102205,rema_100150__rema_50100,2.0,rema_100150__rema_50100_equity_constant
rsma_100150__rema_50100_equity_constant,12176.0442,21.760442,-19.03518632102205,rsma_100150__rema_50100,2.0,rsma_100150__rema_50100_equity_constant
rbo_50__rsma_100150_equity_constant,12139.687300000001,21.396873000000017,-18.795321853141985,rbo_50__rsma_100150,16.0,rbo_50__rsma_100150_equity_constant
rbo_20__rsma_100150_equity_constant,11977.195900000008,19.771959000000084,-20.19556430566529,rbo_20__rsma_100150,7.0,rbo_20__rsma_100150_equity_constant
rema_100150__rbo_20_equity_constant,11962.537100000001,19.625371000000015,-20.696438216271044,rema_100150__rbo_20,63.0,rema_100150__rbo_20_equity_constant
rtt_5020__rsma_100150_equity_constant,11862.670999999998,18.62670999999998,-19.28220044204215,rtt_5020__rsma_100150,7.0,rtt_5020__rsma_100150_equity_constant
rsma_50100150__rema_50100_equity_constant,11847.350900000009,18.47350900000009,-16.920431554027896,rsma_50100150__rema_50100,2.0,rsma_50100150__rema_50100_equity_constant
rsma_100150__rbo_50_equity_constant,11812.010199999997,18.12010199999996,-17.88223904513728,rsma_100150__rbo_50,61.0,rsma_100150__rbo_50_equity_constant
rema_100150__rbo_50_equity_constant,11812.010199999997,18.12010199999996,-17.88223904513728,rema_100150__rbo_50,61.0,rema_100150__rbo_50_equity_constant
rsma_50100150__rbo_20_equity_constant,11771.358300000002,17.71358300000001,-16.403294766756048,rsma_50100150__rbo_20,32.0,rsma_50100150__rbo_20_equity_constant
rsma_50100150__rbo_50_equity_constant,11749.688399999992,17.496883999999913,-15.7653414876942,rsma_50100150__rbo_50,30.0,rsma_50100150__rbo_50_equity_constant
rema_50100__rema_50100_equity_constant,11743.377799999998,17.43377799999999,-16.052164309999437,rema_50100__rema_50100,2.0,rema_50100__rema_50100_equity_constant
rema_50100__rbo_20_equity_constant,11719.351900000001,17.193519000000013,-19.05083078868894,rema_50100__rbo_20,62.0,rema_50100__rbo_20_equity_constant
rsma_50100150__rtt_5020_equity_constant,11713.126700000006,17.131267000000072,-15.987695241100806,rsma_50100150__rtt_5020,23.0,rsma_50100150__rtt_5020_equity_constant
rema_100150__rsma_50100150_equity_constant,11639.289900000005,16.39289900000005,-16.99101420267918,rema_100150__rsma_50100150,67.0,rema_100150__rsma_50100150_equity_constant
rema_50100__rsma_50100150_equity_constant,11639.289900000005,16.39289900000005,-16.99101420267918,rema_50100__rsma_50100150,67.0,rema_50100__rsma_50100150_equity_constant
rsma_50100__rsma_50100150_equity_constant,11639.289900000005,16.39289900000005,-16.99101420267918,rsma_50100__rsma_50100150,67.0,rsma_50100__rsma_50100150_equity_constant
rsma_100150__rsma_50100150_equity_constant,11639.289900000005,16.39289900000005,-16.99101420267918,rsma_100150__rsma_50100150,67.0,rsma_100150__rsma_50100150_equity_constant
rsma_50100150__rbo_100_equity_constant,11625.092700000005,16.250927000000036,-15.332047201653754,rsma_50100150__rbo_100,23.0,rsma_50100150__rbo_100_equity_constant
rema_50100150__rsma_100150_equity_constant,11605.562699999997,16.055626999999962,-13.834423556214102,rema_50100150__rsma_100150,1.0,rema_50100150__rsma_100150_equity_constant
