combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,6,0,6,0,0,0,135,392,0.0,25.616698292220114,74.38330170777988,0,22.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,21,0,21,0,0,0,155,372,0.0,29.411764705882355,70.58823529411765,0,7.380952380952381,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,10,0,10,0,0,0,193,334,0.0,36.62239089184061,63.37760910815939,0,19.3,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,0,5,0,0,0,173,354,0.0,32.82732447817837,67.17267552182163,0,34.6,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,28,0,28,0,0,0,174,353,0.0,33.017077798861486,66.98292220113852,0,6.214285714285714,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,7,0,7,0,0,0,214,313,0.0,40.60721062618596,59.39278937381404,0,30.571428571428573,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,39,0,39,0,0,0,137,390,0.0,25.996204933586338,74.00379506641366,0,3.5128205128205128,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,2,0,2,0,0,0,239,288,0.0,45.35104364326376,54.64895635673624,0,119.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,241,286,0.0,45.73055028462998,54.26944971537002,0,241.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,69,0,69,0,0,0,69,458,0.0,13.092979127134724,86.90702087286527,0,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,21,0,21,0,0,0,115,412,0.0,21.821631878557877,78.17836812144212,0,5.476190476190476,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,0,2,0,0,0,135,392,0.0,25.616698292220114,74.38330170777988,0,67.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,3,0,3,0,0,0,157,370,0.0,29.79127134724858,70.20872865275142,0,52.333333333333336,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,0,2,0,0,0,135,392,0.0,25.616698292220114,74.38330170777988,0,67.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,20,0,20,0,0,0,154,373,0.0,29.22201138519924,70.77798861480076,0,7.7,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,16,0,16,0,0,0,196,331,0.0,37.19165085388994,62.808349146110054,0,12.25,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,36,0,36,0,0,0,100,427,0.0,18.975332068311197,81.02466793168881,0,2.7777777777777777,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,2,0,2,0,0,0,208,319,0.0,39.46869070208729,60.53130929791271,0,104.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,1,0,1,0,0,0,211,316,0.0,40.03795066413662,59.96204933586338,0,211.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,68,0,68,0,0,0,68,459,0.0,12.903225806451612,87.09677419354838,0,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,43,0,43,0,0,0,159,368,0.0,30.170777988614798,69.8292220113852,0,3.697674418604651,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,35,0,35,0,0,0,166,361,0.0,31.499051233396585,68.50094876660341,0,4.742857142857143,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,2,0,2,0,0,0,200,327,0.0,37.95066413662239,62.04933586337761,0,100.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,23,0,23,0,0,0,179,348,0.0,33.96584440227704,66.03415559772297,0,7.782608695652174,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,27,0,27,0,0,0,189,338,0.0,35.86337760910816,64.13662239089184,0,7.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,16,0,16,0,0,0,241,286,0.0,45.73055028462998,54.26944971537002,0,15.0625,True,
