equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_100150__rbo_100_equity_constant,16185.249500000016,61.85249500000016,-43.49578996082468,rema_100150__rbo_100,4.0,rema_100150__rbo_100_equity_constant
rema_100150__rema_50100_equity_constant,16185.249500000016,61.85249500000016,-43.49578996082468,rema_100150__rema_50100,4.0,rema_100150__rema_50100_equity_constant
rema_100150__rema_100150_equity_constant,16185.249500000016,61.85249500000016,-43.49578996082468,rema_100150__rema_100150,4.0,rema_100150__rema_100150_equity_constant
rema_100150__rtt_5020_equity_constant,15985.26420000001,59.85264200000011,-43.62704039647331,rema_100150__rtt_5020,12.0,rema_100150__rtt_5020_equity_constant
rema_100150__rbo_50_equity_constant,15721.076300000017,57.21076300000016,-43.235209948895395,rema_100150__rbo_50,13.0,rema_100150__rbo_50_equity_constant
rsma_50100150__rtt_5020_equity_constant,15595.988900000028,55.95988900000029,-45.5913130960474,rsma_50100150__rtt_5020,9.0,rsma_50100150__rtt_5020_equity_constant
rsma_50100150__rbo_50_equity_constant,15518.451500000034,55.184515000000346,-45.35757901668493,rsma_50100150__rbo_50,10.0,rsma_50100150__rbo_50_equity_constant
rsma_50100150__rema_100150_equity_constant,15349.061299999992,53.49061299999993,-43.46241525474445,rsma_50100150__rema_100150,45.0,rsma_50100150__rema_100150_equity_constant
rema_100150__rsma_100150_equity_constant,15306.422900000012,53.06422900000012,-39.45612202972998,rema_100150__rsma_100150,22.0,rema_100150__rsma_100150_equity_constant
rsma_50100150__rbo_20_equity_constant,15151.68829999999,51.5168829999999,-41.0632193665152,rsma_50100150__rbo_20,27.0,rsma_50100150__rbo_20_equity_constant
rema_100150__rsma_50100150_equity_constant,15116.669699999999,51.166696999999985,-38.58935993324505,rema_100150__rsma_50100150,110.0,rema_100150__rsma_50100150_equity_constant
rsma_50100150__rbo_100_equity_constant,14993.445199999984,49.93445199999984,-43.46241525474445,rsma_50100150__rbo_100,24.0,rsma_50100150__rbo_100_equity_constant
rsma_50100150__rema_50100_equity_constant,14912.092599999998,49.120925999999976,-43.46241525474445,rsma_50100150__rema_50100,28.0,rsma_50100150__rema_50100_equity_constant
rema_50100__rema_100150_equity_constant,14855.803500000005,48.55803500000005,-46.06267712218519,rema_50100__rema_100150,34.0,rema_50100__rema_100150_equity_constant
rsma_50100150__rsma_50100_equity_constant,14762.643400000006,47.62643400000006,-39.052497839478505,rsma_50100150__rsma_50100,31.0,rsma_50100150__rsma_50100_equity_constant
