combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,12,5,7,0,0,109,231,187,20.683111954459203,43.833017077798864,35.483870967741936,21.8,33.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,9,4,5,0,0,154,265,108,29.22201138519924,50.284629981024665,20.49335863377609,38.5,53.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,19,11,6,1,1,133,279,115,25.23719165085389,52.94117647058824,21.821631878557877,12.090909090909092,46.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,3,4,0,0,155,266,106,29.411764705882355,50.47438330170778,20.113851992409867,51.666666666666664,66.5,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,39,17,19,1,2,117,266,144,22.2011385199241,50.47438330170778,27.32447817836812,6.882352941176471,14.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,54,29,22,1,2,115,263,149,21.821631878557877,49.905123339658445,28.27324478178368,3.9655172413793105,11.954545454545455,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,106,18,85,2,1,142,149,236,26.944971537001898,28.27324478178368,44.78178368121442,7.888888888888889,1.7529411764705882,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,31,21,7,1,2,113,278,136,21.44212523719165,52.75142314990512,25.806451612903224,5.380952380952381,39.714285714285715,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,46,32,11,1,2,96,274,157,18.216318785578746,51.992409867172675,29.79127134724858,3.0,24.90909090909091,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,117,21,93,2,1,124,140,263,23.52941176470588,26.56546489563567,49.905123339658445,5.904761904761905,1.5053763440860215,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,50,26,24,0,0,129,247,151,24.47817836812144,46.86907020872865,28.6527514231499,4.961538461538462,10.291666666666666,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,7,3,4,0,0,152,268,107,28.842504743833018,50.853889943074,20.30360531309298,50.666666666666664,67.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,24,16,6,1,1,138,284,105,26.185958254269448,53.889943074003796,19.924098671726757,8.625,47.333333333333336,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,7,3,4,0,0,152,268,107,28.842504743833018,50.853889943074,20.30360531309298,50.666666666666664,67.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,49,27,19,1,2,127,271,129,24.09867172675522,51.423149905123346,24.47817836812144,4.703703703703703,14.263157894736842,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,59,34,22,1,2,120,268,139,22.770398481973434,50.853889943074,26.37571157495256,3.5294117647058822,12.181818181818182,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,121,18,100,2,1,139,169,219,26.37571157495256,32.06831119544592,41.555977229601524,7.722222222222222,1.69,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,41,31,7,1,2,123,283,121,23.33965844402277,53.70018975332068,22.960151802656547,3.967741935483871,40.42857142857143,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,59,45,11,1,2,109,279,139,20.683111954459203,52.94117647058824,26.37571157495256,2.422222222222222,25.363636363636363,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,139,28,108,2,1,129,160,238,24.47817836812144,30.36053130929791,45.16129032258064,4.607142857142857,1.4814814814814814,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,43,14,29,0,0,88,209,230,16.698292220113853,39.658444022770404,43.643263757115754,6.285714285714286,7.206896551724138,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,13,2,11,0,0,102,226,199,19.35483870967742,42.8842504743833,37.76091081593928,51.0,20.545454545454547,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,101,236,190,19.165085388994306,44.78178368121442,36.05313092979127,50.5,118.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,12,2,10,0,0,102,227,198,19.35483870967742,43.07400379506641,37.571157495256166,51.0,22.7,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,20,4,15,0,1,99,223,205,18.785578747628083,42.314990512333964,38.89943074003795,24.75,14.866666666666667,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,39,20,18,0,1,83,220,224,15.749525616698293,41.745730550284634,42.50474383301708,4.15,12.222222222222221,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,124,18,106,0,0,86,130,311,16.318785578747626,24.667931688804554,59.01328273244781,4.777777777777778,1.2264150943396226,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,10,6,3,0,1,97,235,195,18.40607210626186,44.59203036053131,37.00189753320683,16.166666666666668,78.33333333333333,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,39,31,7,0,1,72,231,224,13.66223908918406,43.833017077798864,42.50474383301708,2.3225806451612905,33.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,143,28,115,0,0,75,122,330,14.231499051233396,23.14990512333966,62.61859582542695,2.6785714285714284,1.0608695652173914,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,12,5,7,0,0,106,228,193,20.113851992409867,43.26375711574953,36.62239089184061,21.2,32.57142857142857,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,7,3,4,0,0,152,263,112,28.842504743833018,49.905123339658445,21.25237191650854,50.666666666666664,65.75,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,18,10,6,1,1,132,279,116,25.047438330170777,52.94117647058824,22.011385199240987,13.2,46.5,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,7,3,4,0,0,152,263,112,28.842504743833018,49.905123339658445,21.25237191650854,50.666666666666664,65.75,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,38,16,19,1,2,116,266,145,22.011385199240987,50.47438330170778,27.514231499051235,7.25,14.0,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,53,28,22,1,2,114,263,150,21.631878557874764,49.905123339658445,28.46299810246679,4.071428571428571,11.954545454545455,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,104,18,83,2,1,139,147,241,26.37571157495256,27.893738140417458,45.73055028462998,7.722222222222222,1.7710843373493976,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,30,20,7,1,2,112,278,137,21.25237191650854,52.75142314990512,25.996204933586338,5.6,39.714285714285715,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,45,31,11,1,2,95,274,158,18.026565464895636,51.992409867172675,29.98102466793169,3.064516129032258,24.90909090909091,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,115,21,91,2,1,121,138,268,22.960151802656547,26.185958254269448,50.853889943074,5.761904761904762,1.5164835164835164,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,44,14,30,0,0,85,212,230,16.129032258064516,40.22770398481973,43.643263757115754,6.071428571428571,7.066666666666666,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,14,2,12,0,0,98,230,199,18.59582542694497,43.643263757115754,37.76091081593928,49.0,19.166666666666668,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,5,2,3,0,0,98,240,189,18.59582542694497,45.54079696394687,35.86337760910816,49.0,80.0,True,
