equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020__rsma_100150_equity_convex,48578.04419999999,385.7804419999999,-86.31579990824689,rtt_5020__rsma_100150,36.0,rtt_5020__rsma_100150_equity_convex
rbo_20__rbo_20_equity_concave,46349.24350000005,363.49243500000046,-90.295379401298,rbo_20__rbo_20,10.0,rbo_20__rbo_20_equity_concave
rtt_5020__rsma_100150_equity_concave,37299.44589999999,272.99445899999995,-111.85332024526029,rtt_5020__rsma_100150,36.0,rtt_5020__rsma_100150_equity_concave
rbo_20__rbo_20_equity_convex,37297.00330000005,272.9700330000005,-87.93086083073572,rbo_20__rbo_20,10.0,rbo_20__rbo_20_equity_convex
rtt_5020__rbo_20_equity_concave,28310.362399999998,183.103624,-83.83786503058623,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20_equity_concave
rtt_5020__rbo_20_equity_convex,24974.404099999985,149.74404099999984,-81.67893184010082,rtt_5020__rbo_20,9.0,rtt_5020__rbo_20_equity_convex
rbo_20__rsma_100150_equity_convex,21310.18509999999,113.10185099999993,-75.40135336342092,rbo_20__rsma_100150,42.0,rbo_20__rsma_100150_equity_convex
rtt_5020__rema_50100_equity_convex,20838.7633,108.38763299999998,-70.60278043312248,rtt_5020__rema_50100,36.0,rtt_5020__rema_50100_equity_convex
rbo_20__rbo_50_equity_convex,19391.02910000001,93.9102910000001,-80.54010081588544,rbo_20__rbo_50,44.0,rbo_20__rbo_50_equity_convex
rbo_20__rbo_50_equity_concave,19386.09630000001,93.86096300000008,-80.54010081588544,rbo_20__rbo_50,44.0,rbo_20__rbo_50_equity_concave
rbo_20__rtt_5020_equity_convex,19296.66959999998,92.96669599999979,-80.77666001886377,rbo_20__rtt_5020,10.0,rbo_20__rtt_5020_equity_convex
rbo_20__rtt_5020_equity_concave,19258.348199999975,92.58348199999975,-80.77666001886377,rbo_20__rtt_5020,10.0,rbo_20__rtt_5020_equity_concave
rbo_50__rbo_50_equity_convex,18345.2878,83.45287799999998,-78.17639397000605,rbo_50__rbo_50,9.0,rbo_50__rbo_50_equity_convex
