equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rema_50100150_equity_convex,11799.926,17.999260000000007,-86.34434389517484,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150
rtt_5020_equity_constant,10832.385100000014,8.323851000000149,-25.637220563915076,rtt_5020,,rtt_5020
rbo_50__rema_50100150_equity_constant,10448.618700000003,4.48618700000003,-35.81904580674748,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150
rtt_5020__rbo_20_equity_constant,10403.790200000001,4.037902000000004,-16.14422664859954,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20
rema_50100150_equity_equal,10355.963499999994,3.559634999999939,-5.183317446815566,rema_50100150,,rema_50100150
rbo_20_equity_equal,10247.315400000001,2.4731540000000107,-5.334696855266061,rbo_20,,rbo_20
rtt_5020_equity_equal,10137.583099999989,1.375830999999894,-3.321515374512968,rtt_5020,,rtt_5020
rbo_20__rbo_20_equity_constant,10125.391600000004,1.2539160000000438,-18.372483306382946,rbo_20__rbo_20,8.0,rbo_20__rbo_20
rbo_50_equity_equal,10121.81889999998,1.218188999999792,-4.560205437889021,rbo_50,,rbo_50
rtt_5020__rema_50100150_equity_constant,10081.030300000011,0.8103030000001121,-20.115968278746664,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150
rbo_50__rema_50100150_equity_equal,10068.302399999999,0.6830239999999765,-3.6381718716176175,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150
rtt_5020__rema_50100150_equity_equal,10036.554399999983,0.3655439999998178,-2.642448245528617,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150
rtt_5020__rbo_20_equity_equal,10024.283399999991,0.24283399999991406,-1.766982806007034,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20
rbo_20__rbo_20_equity_equal,10001.154699999992,0.011546999999922924,-1.982808280574689,rbo_20__rbo_20,8.0,rbo_20__rbo_20
rtt_5020__rbo_20_equity_concave,9999.003800000019,-0.00996199999981906,-57.59248547799536,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20
rema_50100150__rema_50100150_equity_equal,9979.724299999998,-0.20275700000002006,-3.7424060953536737,rema_50100150__rema_50100150,5.0,rema_50100150__rema_50100150
rbo_50__rbo_50_equity_equal,9972.019399999985,-0.279806000000149,-4.586043152918371,rbo_50__rbo_50,4.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_equal,9972.019399999985,-0.279806000000149,-4.586043152918371,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020
rbo_50__rbo_100_equity_equal,9937.97989999999,-0.620201000000109,-4.329012113097925,rbo_50__rbo_100,25.0,rbo_50__rbo_100
rbo_20__rema_50100150_equity_equal,9937.056899999987,-0.6294310000001357,-3.6881601013490597,rbo_20__rema_50100150,17.0,rbo_20__rema_50100150
