combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,4,4,0,0,104,126,301,19.58568738229755,23.728813559322035,56.685499058380415,26.0,31.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,34,18,16,0,0,114,140,277,21.468926553672315,26.365348399246702,52.16572504708098,6.333333333333333,8.75,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,38,37,1,0,0,104,190,237,19.58568738229755,35.781544256120526,44.632768361581924,2.810810810810811,190.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,130,154,247,24.48210922787194,29.001883239171374,46.516007532956685,43.333333333333336,51.333333333333336,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,72,41,30,0,1,109,151,271,20.527306967984934,28.436911487758948,51.03578154425612,2.658536585365854,5.033333333333333,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,54,30,24,0,0,77,153,301,14.500941619585687,28.8135593220339,56.685499058380415,2.566666666666667,6.375,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,47,29,17,0,1,167,143,221,31.45009416195857,26.93032015065913,41.6195856873823,5.758620689655173,8.411764705882353,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,70,40,30,0,0,100,147,284,18.832391713747647,27.683615819209038,53.483992467043315,2.5,4.9,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,46,44,1,0,1,102,191,238,19.2090395480226,35.969868173258,44.8210922787194,2.3181818181818183,191.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,17,7,10,0,0,224,135,172,42.18455743879473,25.423728813559322,32.39171374764595,32.0,13.5,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,35,15,20,0,0,85,115,331,16.0075329566855,21.657250470809792,62.335216572504706,5.666666666666667,5.75,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,4,2,2,0,0,98,134,299,18.455743879472696,25.235404896421848,56.30885122410546,49.0,67.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,25,24,1,0,0,92,198,241,17.325800376647834,37.28813559322034,45.38606403013183,3.8333333333333335,198.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,4,2,2,0,0,98,134,299,18.455743879472696,25.235404896421848,56.30885122410546,49.0,67.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,45,28,16,0,1,97,145,289,18.267419962335214,27.30696798493409,54.4256120527307,3.4642857142857144,9.0625,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,67,38,29,0,0,128,166,237,24.105461393596986,31.26177024482109,44.632768361581924,3.3684210526315788,5.724137931034483,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,45,26,18,0,1,98,122,311,18.455743879472696,22.975517890772128,58.568738229755176,3.769230769230769,6.777777777777778,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,44,28,16,0,0,87,141,303,16.38418079096045,26.55367231638418,57.06214689265536,3.107142857142857,8.8125,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,33,31,1,0,1,89,199,243,16.760828625235405,37.47645951035782,45.76271186440678,2.870967741935484,199.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,24,7,17,0,0,108,118,305,20.33898305084746,22.22222222222222,57.43879472693032,15.428571428571429,6.9411764705882355,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,48,19,29,0,0,52,121,358,9.792843691148775,22.78719397363465,67.41996233521658,2.736842105263158,4.172413793103448,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,43,10,33,0,0,61,117,353,11.487758945386064,22.033898305084744,66.47834274952919,6.1,3.5454545454545454,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,2,1,0,0,69,149,313,12.994350282485875,28.06026365348399,58.94538606403014,34.5,149.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,29,10,19,0,0,61,131,339,11.487758945386064,24.670433145009415,63.84180790960452,6.1,6.894736842105263,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,45,9,35,0,1,71,116,344,13.370998116760829,21.84557438794727,64.7834274952919,7.888888888888889,3.3142857142857145,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,47,16,31,0,0,106,119,306,19.962335216572505,22.4105461393597,57.6271186440678,6.625,3.838709677419355,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,53,23,29,0,1,57,122,352,10.734463276836157,22.975517890772128,66.29001883239172,2.4782608695652173,4.206896551724138,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,42,5,37,0,0,65,113,353,12.24105461393597,21.28060263653484,66.47834274952919,13.0,3.054054054054054,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,11,9,1,0,1,67,150,314,12.617702448210924,28.24858757062147,59.133709981167605,7.444444444444445,150.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,34,6,27,0,1,63,124,344,11.864406779661017,23.35216572504708,64.7834274952919,10.5,4.592592592592593,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,3,3,0,0,72,98,361,13.559322033898304,18.455743879472696,67.984934086629,24.0,32.666666666666664,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,4,2,2,0,0,98,126,307,18.455743879472696,23.728813559322035,57.81544256120527,49.0,63.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,22,21,1,0,0,88,190,253,16.57250470809793,35.781544256120526,47.64595103578154,4.190476190476191,190.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,4,2,2,0,0,98,126,307,18.455743879472696,23.728813559322035,57.81544256120527,49.0,63.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,42,25,16,0,1,93,137,301,17.51412429378531,25.800376647834273,56.685499058380415,3.72,8.5625,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,50,26,24,0,0,49,153,329,9.227871939736348,28.8135593220339,61.95856873822976,1.8846153846153846,6.375,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,34,17,16,0,1,63,112,356,11.864406779661017,21.092278719397363,67.04331450094162,3.7058823529411766,7.0,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,40,24,16,0,0,84,133,314,15.819209039548024,25.04708097928437,59.133709981167605,3.5,8.3125,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,30,28,1,0,1,86,191,254,16.195856873822976,35.969868173258,47.83427495291902,3.0714285714285716,191.0,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,17,7,10,0,0,108,103,320,20.33898305084746,19.397363465160076,60.263653483992464,15.428571428571429,10.3,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,52,24,28,0,0,47,79,405,8.851224105461393,14.87758945386064,76.27118644067797,1.9583333333333333,2.8214285714285716,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,29,15,14,0,0,56,94,381,10.546139359698682,17.702448210922785,71.75141242937853,3.7333333333333334,6.714285714285714,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,11,10,1,0,0,61,174,296,11.487758945386064,32.7683615819209,55.74387947269304,6.1,174.0,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,29,15,14,0,0,56,94,381,10.546139359698682,17.702448210922785,71.75141242937853,3.7333333333333334,6.714285714285714,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,4,2,2,0,0,69,107,355,12.994350282485875,20.15065913370998,66.85499058380414,34.5,53.5,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,36,19,17,0,0,93,130,308,17.51412429378531,24.48210922787194,58.00376647834275,4.894736842105263,7.647058823529412,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,33,19,14,0,0,52,94,385,9.792843691148775,17.702448210922785,72.50470809792844,2.736842105263158,6.714285714285714,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,16,13,3,0,0,57,104,370,10.734463276836157,19.58568738229755,69.6798493408663,4.384615384615385,34.666666666666664,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,13,12,1,0,0,59,175,297,11.11111111111111,32.95668549905838,55.932203389830505,4.916666666666667,175.0,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,34,7,27,0,0,234,149,148,44.06779661016949,28.06026365348399,27.87193973634652,33.42857142857143,5.518518518518518,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,42,23,19,0,0,72,47,412,13.559322033898304,8.851224105461393,77.5894538606403,3.130434782608696,2.473684210526316,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,65,34,31,0,0,75,35,421,14.124293785310735,6.591337099811676,79.28436911487758,2.2058823529411766,1.1290322580645162,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,28,26,2,0,0,83,125,323,15.630885122410545,23.540489642184557,60.8286252354049,3.1923076923076925,62.5,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,39,22,17,0,0,89,49,393,16.760828625235405,9.227871939736348,74.01129943502825,4.045454545454546,2.8823529411764706,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,50,29,21,0,0,80,45,406,15.065913370998116,8.47457627118644,76.45951035781545,2.7586206896551726,2.142857142857143,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,4,2,2,0,0,92,65,374,17.325800376647834,12.24105461393597,70.4331450094162,46.0,32.5,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,44,30,14,0,0,63,53,415,11.864406779661017,9.981167608286253,78.15442561205273,2.1,3.7857142857142856,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,50,27,23,0,0,83,44,404,15.630885122410545,8.286252354048965,76.08286252354048,3.074074074074074,1.9130434782608696,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,28,25,2,0,1,83,126,322,15.630885122410545,23.728813559322035,60.64030131826742,3.32,63.0,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,21,8,13,0,0,245,84,202,46.13935969868173,15.819209039548024,38.04143126177024,30.625,6.461538461538462,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,77,62,14,1,0,123,58,350,23.163841807909606,10.922787193973635,65.91337099811676,1.9838709677419355,4.142857142857143,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,84,60,23,1,0,141,50,340,26.55367231638418,9.416195856873824,64.030131826742,2.35,2.1739130434782608,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,73,71,2,0,0,112,100,319,21.092278719397363,18.832391713747647,60.075329566855,1.5774647887323943,50.0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,67,57,9,1,0,144,63,324,27.11864406779661,11.864406779661017,61.016949152542374,2.526315789473684,7.0,True,
rsma_50100150__rsma_50100,rsma_50100150,rsma_50100,rrg,rsma_50100150__rsma_50100,88,66,22,0,0,117,53,361,22.033898305084744,9.981167608286253,67.984934086629,1.7727272727272727,2.409090909090909,True,
rsma_50100150__rsma_100150,rsma_50100150,rsma_100150,rrg,rsma_50100150__rsma_100150,85,67,18,0,0,141,56,334,26.55367231638418,10.546139359698682,62.90018832391714,2.1044776119402986,3.111111111111111,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,6,3,3,0,0,165,72,294,31.07344632768362,13.559322033898304,55.367231638418076,55.0,24.0,True,
rsma_50100150__rema_50100,rsma_50100150,rema_50100,rrg,rsma_50100150__rema_50100,93,71,22,0,0,111,52,368,20.903954802259886,9.792843691148775,69.30320150659134,1.5633802816901408,2.3636363636363638,True,
rsma_50100150__rema_100150,rsma_50100150,rema_100150,rrg,rsma_50100150__rema_100150,70,68,2,0,0,115,101,315,21.657250470809792,19.02071563088512,59.32203389830508,1.6911764705882353,50.5,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,22,5,17,0,0,232,86,213,43.69114877589454,16.195856873822976,40.11299435028249,46.4,5.0588235294117645,True,
rema_50100__rbo_20,rema_50100,rbo_20,rrg,rema_50100__rbo_20,45,18,27,0,0,44,77,410,8.286252354048965,14.500941619585687,77.21280602636534,2.4444444444444446,2.8518518518518516,True,
