equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100__rsma_50100150_equity_constant,13300.359000000002,33.00359000000002,-26.51937396799216,rema_50100__rsma_50100150,145.0,rema_50100__rsma_50100150_equity_constant
rbo_100__rsma_50100150_equity_constant,13300.359000000002,33.00359000000002,-26.51937396799216,rbo_100__rsma_50100150,145.0,rbo_100__rsma_50100150_equity_constant
rbo_100__rsma_50100_equity_constant,12975.633900000006,29.756339000000054,-27.915548105194983,rbo_100__rsma_50100,35.0,rbo_100__rsma_50100_equity_constant
rema_50100__rsma_50100_equity_constant,12975.633900000006,29.756339000000054,-27.915548105194983,rema_50100__rsma_50100,35.0,rema_50100__rsma_50100_equity_constant
rtt_5020_equity_constant,12771.700299999986,27.717002999999863,-30.703734070867295,rtt_5020,,rtt_5020_equity_constant
rsma_100150__rsma_50100150_equity_constant,12663.176600000004,26.631766000000034,-32.4558280908117,rsma_100150__rsma_50100150,144.0,rsma_100150__rsma_50100150_equity_constant
rsma_100150__rsma_50100_equity_constant,12476.61520000002,24.766152000000208,-25.40272839427479,rsma_100150__rsma_50100,35.0,rsma_100150__rsma_50100_equity_constant
rema_100150__rsma_50100_equity_constant,12476.61520000002,24.766152000000208,-25.40272839427479,rema_100150__rsma_50100,35.0,rema_100150__rsma_50100_equity_constant
rema_100150__rsma_50100150_equity_constant,12403.227100000013,24.032271000000136,-23.257950986820354,rema_100150__rsma_50100150,145.0,rema_100150__rsma_50100150_equity_constant
rsma_50100__rsma_50100150_equity_constant,12249.684600000004,22.496846000000037,-24.20369232920447,rsma_50100__rsma_50100150,144.0,rsma_50100__rsma_50100150_equity_constant
rema_50100__rbo_50_equity_constant,11939.567000000008,19.395670000000088,-21.890259470091376,rema_50100__rbo_50,38.0,rema_50100__rbo_50_equity_constant
rbo_100__rbo_50_equity_constant,11939.567000000008,19.395670000000088,-21.890259470091376,rbo_100__rbo_50,38.0,rbo_100__rbo_50_equity_constant
rbo_100__rema_50100150_equity_constant,11849.36790000001,18.493679000000096,-25.885476414939145,rbo_100__rema_50100150,191.0,rbo_100__rema_50100150_equity_constant
rema_50100__rema_50100150_equity_constant,11849.36790000001,18.493679000000096,-25.885476414939145,rema_50100__rema_50100150,191.0,rema_50100__rema_50100150_equity_constant
rsma_50100150__rsma_50100150_equity_constant,11833.552400000011,18.335524000000113,-18.333926617374704,rsma_50100150__rsma_50100150,3.0,rsma_50100150__rsma_50100150_equity_constant
rsma_50100__rtt_5020_equity_constant,11801.680899999996,18.016808999999956,-22.343707295105887,rsma_50100__rtt_5020,18.0,rsma_50100__rtt_5020_equity_constant
rsma_50100150__rsma_50100_equity_constant,11763.562299999996,17.635622999999967,-23.46487451409325,rsma_50100150__rsma_50100,34.0,rsma_50100150__rsma_50100_equity_constant
rbo_20__rsma_50100_equity_constant,11738.14400000001,17.381440000000104,-21.475480386639354,rbo_20__rsma_50100,34.0,rbo_20__rsma_50100_equity_constant
rsma_50100150__rbo_20_equity_constant,11665.159300000003,16.65159300000003,-20.66049714856396,rsma_50100150__rbo_20,13.0,rsma_50100150__rbo_20_equity_constant
rema_100150__rbo_50_equity_constant,11643.657000000016,16.43657000000016,-20.96064941576625,rema_100150__rbo_50,34.0,rema_100150__rbo_50_equity_constant
rsma_100150__rbo_50_equity_constant,11643.657000000016,16.43657000000016,-20.96064941576625,rsma_100150__rbo_50,34.0,rsma_100150__rbo_50_equity_constant
rbo_20__rsma_100150_equity_constant,11624.568299999997,16.24568299999998,-20.83829454695671,rbo_20__rsma_100150,6.0,rbo_20__rsma_100150_equity_constant
rbo_100__rtt_5020_equity_constant,11593.088499999993,15.930884999999929,-17.20124235561501,rbo_100__rtt_5020,19.0,rbo_100__rtt_5020_equity_constant
rema_50100__rtt_5020_equity_constant,11593.088499999993,15.930884999999929,-17.20124235561501,rema_50100__rtt_5020,19.0,rema_50100__rtt_5020_equity_constant
rsma_100150__rsma_100150_equity_constant,11551.929699999997,15.519296999999966,-19.05403234231684,rsma_100150__rsma_100150,2.0,rsma_100150__rsma_100150_equity_constant
rema_50100__rsma_100150_equity_constant,11504.748299999997,15.047482999999984,-18.306141900287194,rema_50100__rsma_100150,15.0,rema_50100__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,11504.748299999997,15.047482999999984,-18.306141900287194,rsma_50100__rsma_100150,15.0,rsma_50100__rsma_100150_equity_constant
rbo_100__rsma_100150_equity_constant,11504.748299999997,15.047482999999984,-18.306141900287194,rbo_100__rsma_100150,15.0,rbo_100__rsma_100150_equity_constant
rsma_50100150__rsma_100150_equity_constant,11497.611399999989,14.976113999999896,-19.97162850043531,rsma_50100150__rsma_100150,15.0,rsma_50100150__rsma_100150_equity_constant
rsma_50100150__rbo_100_equity_constant,11444.729000000012,14.447290000000113,-16.246157112196784,rsma_50100150__rbo_100,1.0,rsma_50100150__rbo_100_equity_constant
rsma_50100150__rema_100150_equity_constant,11444.729000000012,14.447290000000113,-16.246157112196784,rsma_50100150__rema_100150,1.0,rsma_50100150__rema_100150_equity_constant
rsma_50100150__rema_50100_equity_constant,11444.729000000012,14.447290000000113,-16.246157112196784,rsma_50100150__rema_50100,1.0,rsma_50100150__rema_50100_equity_constant
rsma_50100150__rtt_5020_equity_constant,11441.64299999999,14.416429999999881,-18.00747843626198,rsma_50100150__rtt_5020,4.0,rsma_50100150__rtt_5020_equity_constant
rtt_5020__rsma_100150_equity_constant,11386.097699999993,13.86097699999993,-17.753228978720266,rtt_5020__rsma_100150,6.0,rtt_5020__rsma_100150_equity_constant
rbo_100__rbo_20_equity_constant,11374.94699999999,13.749469999999885,-20.874100019046395,rbo_100__rbo_20,60.0,rbo_100__rbo_20_equity_constant
rema_50100__rbo_20_equity_constant,11374.94699999999,13.749469999999885,-20.874100019046395,rema_50100__rbo_20,60.0,rema_50100__rbo_20_equity_constant
rema_50100__rema_100150_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rema_50100__rema_100150,1.0,rema_50100__rema_100150_equity_constant
rema_50100__rema_50100_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rema_50100__rema_50100,1.0,rema_50100__rema_50100_equity_constant
rbo_100__rema_50100_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rbo_100__rema_50100,1.0,rbo_100__rema_50100_equity_constant
rbo_100__rbo_100_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rbo_100__rbo_100,1.0,rbo_100__rbo_100_equity_constant
rsma_50100__rbo_100_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rsma_50100__rbo_100,1.0,rsma_50100__rbo_100_equity_constant
rsma_50100__rema_50100_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rsma_50100__rema_50100,1.0,rsma_50100__rema_50100_equity_constant
rema_50100__rbo_100_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rema_50100__rbo_100,1.0,rema_50100__rbo_100_equity_constant
rbo_100__rema_100150_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rbo_100__rema_100150,1.0,rbo_100__rema_100150_equity_constant
rsma_50100__rema_100150_equity_constant,11349.343700000007,13.493437000000075,-12.926693270406306,rsma_50100__rema_100150,1.0,rsma_50100__rema_100150_equity_constant
rbo_20__rema_50100_equity_constant,11307.157300000004,13.071573000000036,-15.086909935530791,rbo_20__rema_50100,1.0,rbo_20__rema_50100_equity_constant
rbo_20__rbo_100_equity_constant,11307.157300000004,13.071573000000036,-15.086909935530791,rbo_20__rbo_100,1.0,rbo_20__rbo_100_equity_constant
rbo_20__rema_100150_equity_constant,11307.157300000004,13.071573000000036,-15.086909935530791,rbo_20__rema_100150,1.0,rbo_20__rema_100150_equity_constant
rsma_50100__rsma_50100_equity_constant,11304.060000000005,13.040600000000047,-18.28349935981965,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_constant
rsma_100150__rtt_5020_equity_constant,11302.952700000002,13.02952700000002,-16.59673995427022,rsma_100150__rtt_5020,15.0,rsma_100150__rtt_5020_equity_constant
rema_100150__rtt_5020_equity_constant,11302.952700000002,13.02952700000002,-16.59673995427022,rema_100150__rtt_5020,15.0,rema_100150__rtt_5020_equity_constant
rema_100150__rsma_100150_equity_constant,11218.6615,12.186615,-16.64333021224714,rema_100150__rsma_100150,15.0,rema_100150__rsma_100150_equity_constant
rbo_50__rsma_100150_equity_constant,11143.189399999987,11.431893999999865,-15.961416917081028,rbo_50__rsma_100150,15.0,rbo_50__rsma_100150_equity_constant
rbo_20__rtt_5020_equity_constant,11131.985600000005,11.319856000000051,-15.713343802836471,rbo_20__rtt_5020,3.0,rbo_20__rtt_5020_equity_constant
rsma_50100150__rbo_50_equity_constant,11122.566299999982,11.22566299999983,-16.721163911836076,rsma_50100150__rbo_50,18.0,rsma_50100150__rbo_50_equity_constant
rsma_100150__rema_100150_equity_constant,11093.473799999989,10.93473799999989,-11.58288819564779,rsma_100150__rema_100150,1.0,rsma_100150__rema_100150_equity_constant
rema_100150__rema_50100_equity_constant,11093.473799999989,10.93473799999989,-11.58288819564779,rema_100150__rema_50100,1.0,rema_100150__rema_50100_equity_constant
rema_100150__rbo_100_equity_constant,11093.473799999989,10.93473799999989,-11.58288819564779,rema_100150__rbo_100,1.0,rema_100150__rbo_100_equity_constant
rsma_100150__rema_50100_equity_constant,11093.473799999989,10.93473799999989,-11.58288819564779,rsma_100150__rema_50100,1.0,rsma_100150__rema_50100_equity_constant
rema_100150__rema_100150_equity_constant,11093.473799999989,10.93473799999989,-11.58288819564779,rema_100150__rema_100150,1.0,rema_100150__rema_100150_equity_constant
rsma_100150__rbo_100_equity_constant,11093.473799999989,10.93473799999989,-11.58288819564779,rsma_100150__rbo_100,1.0,rsma_100150__rbo_100_equity_constant
rema_100150__rbo_20_equity_constant,11087.079100000008,10.870791000000079,-20.266057934393842,rema_100150__rbo_20,56.0,rema_100150__rbo_20_equity_constant
