combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,0,8,0,0,0,272,258,0.0,51.320754716981135,48.679245283018865,0,34.0,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,20,0,20,0,0,0,334,196,0.0,63.0188679245283,36.9811320754717,0,16.7,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,1,0,1,0,0,0,376,154,0.0,70.94339622641509,29.056603773584904,0,376.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,3,0,3,0,0,0,352,178,0.0,66.41509433962264,33.58490566037736,0,117.33333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,34,0,34,0,0,0,341,189,0.0,64.33962264150944,35.660377358490564,0,10.029411764705882,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,6,0,6,0,0,0,353,177,0.0,66.60377358490565,33.39622641509434,0,58.833333333333336,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,101,0,101,0,0,0,192,338,0.0,36.22641509433962,63.77358490566037,0,1.900990099009901,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,1,0,1,0,0,0,376,154,0.0,70.94339622641509,29.056603773584904,0,376.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,1,0,1,0,0,0,376,154,0.0,70.94339622641509,29.056603773584904,0,376.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,138,0,138,0,0,0,138,392,0.0,26.037735849056602,73.9622641509434,0,1.0,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,43,0,43,0,0,0,273,257,0.0,51.509433962264154,48.490566037735846,0,6.348837209302325,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,2,0,2,0,0,0,314,216,0.0,59.24528301886792,40.75471698113208,0,157.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,1,0,1,0,0,0,357,173,0.0,67.35849056603773,32.64150943396226,0,357.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,2,0,2,0,0,0,314,216,0.0,59.24528301886792,40.75471698113208,0,157.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,19,0,19,0,0,0,318,212,0.0,60.0,40.0,0,16.736842105263158,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,15,0,15,0,0,0,343,187,0.0,64.71698113207547,35.283018867924525,0,22.866666666666667,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,127,0,127,0,0,0,187,343,0.0,35.283018867924525,64.71698113207547,0,1.4724409448818898,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,1,0,1,0,0,0,357,173,0.0,67.35849056603773,32.64150943396226,0,357.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,1,0,1,0,0,0,357,173,0.0,67.35849056603773,32.64150943396226,0,357.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,157,0,157,0,0,0,157,373,0.0,29.62264150943396,70.37735849056604,0,1.0,True,
