Signal,Final Equity,Total Return,Max Drawdown
rbo_20,10433.288200000012,4.332882000000127,-6.19832557821092
rsma_50100150,10423.705299999989,4.23705299999988,-5.720617770455753
rtt_5020,10270.926500000003,2.7092650000000384,-4.908657583164527
rema_50100150,10189.920899999985,1.8992089999998463,-4.749104557726361
rema_50100,10163.748099999995,1.6374809999999629,-3.6998936256777895
rbo_50,10115.506299999992,1.155062999999923,-5.747137760859121
rbo_100,10093.038999999999,0.9303899999999921,-3.2877931139806615
rsma_50100,9996.3696,-0.036303999999998116,-3.724981321679513
rrg,9992.5637,-0.07436299999998841,-3.575484330553955
rsma_100150,9820.111799999986,-1.7988820000001349,-3.8965011354315937
rema_100150,9732.2168,-2.677832000000002,-5.079354546685848
