Signal,Final Equity,Total Return,Max Drawdown
rrg,10096.816500000004,0.9681650000000541,-2.077472029483159
rsma_100150,9989.796700000003,-0.10203299999997917,-3.2051750485506383
rema_50100,9974.374500000005,-0.2562549999999497,-3.071659192416616
rema_100150,9972.154600000005,-0.27845399999995024,-3.4112507894071005
rbo_100,9895.009300000002,-1.0499069999999833,-3.3837495779147035
rbo_20,9882.355900000031,-1.1764409999996839,-3.710473026480626
rtt_5020,9871.727700000018,-1.282722999999819,-2.8013960320190305
rsma_50100150,9853.625700000008,-1.4637429999999174,-3.267578977363956
rsma_50100,9844.978299999999,-1.5502170000000093,-3.720859978867212
rema_50100150,9817.172100000003,-1.828278999999966,-2.698618313023161
rbo_50,9716.4139,-2.835861000000006,-5.239505164368347
