combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,11,2,9,0,0,66,214,247,12.523719165085389,40.60721062618596,46.86907020872865,33.0,23.77777777777778,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,27,9,18,0,0,70,244,213,13.282732447817835,46.29981024667932,40.41745730550284,7.777777777777778,13.555555555555555,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,20,18,2,0,0,59,283,185,11.195445920303605,53.70018975332068,35.10436432637571,3.2777777777777777,141.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,2,3,0,0,77,259,191,14.61100569259962,49.146110056926,36.24288425047438,38.5,86.33333333333333,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,33,18,15,0,0,76,262,189,14.421252371916509,49.71537001897533,35.86337760910816,4.222222222222222,17.466666666666665,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,26,23,2,0,1,76,283,168,14.421252371916509,53.70018975332068,31.87855787476281,3.3043478260869565,141.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,85,7,77,0,1,87,149,291,16.508538899430743,28.27324478178368,55.21821631878557,12.428571428571429,1.9350649350649352,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,23,20,2,0,1,60,283,184,11.385199240986717,53.70018975332068,34.9146110056926,3.0,141.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,32,29,2,0,1,49,283,195,9.297912713472485,53.70018975332068,37.00189753320683,1.6896551724137931,141.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,100,11,89,0,0,69,133,325,13.092979127134724,25.23719165085389,61.66982922201139,6.2727272727272725,1.4943820224719102,True,
