equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_20_equity_concave,25607.0348,156.070348,-87.32048865549896,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rema_50100150__rtt_5020_equity_convex,21259.334400000025,112.59334400000026,-72.09885785871361,rema_50100150__rtt_5020,35.0,rema_50100150__rtt_5020
rema_50100150__rtt_5020_equity_concave,20996.869800000033,109.96869800000036,-73.24693570396884,rema_50100150__rtt_5020,35.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_concave,18782.009000000056,87.82009000000058,-78.90101085843544,rema_50100150__rbo_20,57.0,rema_50100150__rbo_20
rbo_20__rbo_20_equity_convex,18400.599299999994,84.00599299999993,-82.07017721162066,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rsma_50100150__rtt_5020_equity_convex,17933.15630000001,79.3315630000001,-79.53611680778295,rsma_50100150__rtt_5020,28.0,rsma_50100150__rtt_5020
rsma_50100150__rtt_5020_equity_concave,17697.288200000003,76.97288200000003,-80.42143097340421,rsma_50100150__rtt_5020,28.0,rsma_50100150__rtt_5020
rema_50100150__rbo_20_equity_convex,17169.35180000002,71.69351800000018,-66.39023794643563,rema_50100150__rbo_20,57.0,rema_50100150__rbo_20
rema_50100150__rbo_50_equity_convex,16177.637199999997,61.77637199999997,-66.13947988010254,rema_50100150__rbo_50,39.0,rema_50100150__rbo_50
rema_50100150__rbo_50_equity_concave,16051.619200000012,60.51619200000011,-67.32759368648436,rema_50100150__rbo_50,39.0,rema_50100150__rbo_50
rsma_50100150__rbo_20_equity_concave,14651.785800000038,46.51785800000039,-78.8932938255855,rsma_50100150__rbo_20,50.0,rsma_50100150__rbo_20
rbo_20__rbo_20_equity_constant,14322.027899999997,43.220278999999984,-38.1264968633218,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rsma_50100150__rbo_20_equity_convex,12065.534800000014,20.655348000000153,-66.55118178687836,rsma_50100150__rbo_20,50.0,rsma_50100150__rbo_20
rema_50100150__rbo_20_equity_constant,11857.81040000002,18.578104000000195,-22.26312386882304,rema_50100150__rbo_20,57.0,rema_50100150__rbo_20
rema_50100150__rtt_5020_equity_constant,11761.26940000001,17.612694000000097,-26.927668292506812,rema_50100150__rtt_5020,35.0,rema_50100150__rtt_5020
rsma_50100150__rbo_20_equity_constant,11758.685700000005,17.586857000000045,-31.781232079460064,rsma_50100150__rbo_20,50.0,rsma_50100150__rbo_20
rtt_5020__rbo_20_equity_constant,11704.653199999993,17.046531999999925,-25.23456300709892,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20
rsma_50100150__rtt_5020_equity_constant,11398.821499999993,13.988214999999936,-35.99025928510186,rsma_50100150__rtt_5020,28.0,rsma_50100150__rtt_5020
rbo_50__rbo_20_equity_constant,11104.574500000004,11.04574500000004,-25.840143330394618,rbo_50__rbo_20,34.0,rbo_50__rbo_20
rema_50100150__rbo_50_equity_constant,10969.98029999999,9.699802999999907,-21.810560152645962,rema_50100150__rbo_50,39.0,rema_50100150__rbo_50
rema_50100150__rsma_50100150_equity_constant,10842.515099999999,8.425150999999985,-22.18157162043436,rema_50100150__rsma_50100150,25.0,rema_50100150__rsma_50100150
rema_50100150__rema_50100150_equity_constant,10749.671800000007,7.496718000000069,-23.14075732042439,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150
rbo_20__rtt_5020_equity_constant,10737.836199999992,7.378361999999927,-29.097013289241545,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020
rema_50100150__rema_50100150_equity_convex,10656.992500000011,6.56992500000011,-73.82099609406454,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150
rema_50100150__rema_50100150_equity_concave,10624.153200000013,6.241532000000127,-73.9521324218286,rema_50100150__rema_50100150,4.0,rema_50100150__rema_50100150
rbo_20_equity_equal,10381.317199999987,3.813171999999865,-5.751722045839658,rbo_20,,rbo_20
rbo_20__rbo_20_equity_equal,10329.189999999993,3.2918999999999254,-4.0429729869583495,rbo_20__rbo_20,7.0,rbo_20__rbo_20
rbo_20__rema_50100150_equity_constant,10196.749599999983,1.9674959999998354,-23.163313285251295,rbo_20__rema_50100150,61.0,rbo_20__rema_50100150
rtt_5020__rbo_20_equity_equal,10167.600199999995,1.6760019999999543,-2.52349087925122,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20
rema_50100150__rbo_20_equity_equal,10164.1955,1.641954999999995,-2.4994830260808167,rema_50100150__rbo_20,57.0,rema_50100150__rbo_20
rema_50100150__rtt_5020_equity_equal,10130.208300000004,1.3020830000000316,-3.0406874891872904,rema_50100150__rtt_5020,35.0,rema_50100150__rtt_5020
rbo_50__rbo_20_equity_equal,10123.729899999997,1.2372989999999584,-2.5563764312743804,rbo_50__rbo_20,34.0,rbo_50__rbo_20
rsma_50100150__rbo_20_equity_equal,10123.233200000004,1.232332000000036,-3.024469896413544,rsma_50100150__rbo_20,50.0,rsma_50100150__rbo_20
