combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,7,4,3,0,0,127,112,293,23.872180451127818,21.052631578947366,55.07518796992481,31.75,37.333333333333336,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,14,8,6,0,0,163,126,243,30.639097744360903,23.684210526315788,45.67669172932331,20.375,21.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,11,8,3,0,0,215,131,186,40.41353383458647,24.62406015037594,34.962406015037594,26.875,43.666666666666664,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,168,129,235,31.57894736842105,24.24812030075188,44.17293233082707,56.0,43.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,18,15,2,1,0,193,131,208,36.278195488721806,24.62406015037594,39.097744360902254,12.866666666666667,65.5,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,11,7,2,1,1,241,131,160,45.30075187969925,24.62406015037594,30.075187969924812,34.42857142857143,65.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,73,19,52,1,1,189,71,272,35.526315789473685,13.345864661654137,51.127819548872175,9.947368421052632,1.3653846153846154,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,8,4,2,1,1,201,131,200,37.78195488721804,24.62406015037594,37.59398496240601,50.25,65.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,10,6,2,1,1,223,131,178,41.91729323308271,24.62406015037594,33.45864661654135,37.166666666666664,65.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,61,7,52,1,1,198,71,263,37.21804511278196,13.345864661654137,49.43609022556391,28.285714285714285,1.3653846153846154,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,34,23,11,0,0,135,112,285,25.375939849624064,21.052631578947366,53.57142857142857,5.869565217391305,10.181818181818182,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,2,3,0,0,156,121,255,29.32330827067669,22.74436090225564,47.93233082706767,78.0,40.333333333333336,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,5,2,3,0,0,208,123,201,39.097744360902254,23.1203007518797,37.78195488721804,104.0,41.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,2,3,0,0,156,121,255,29.32330827067669,22.74436090225564,47.93233082706767,78.0,40.333333333333336,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,12,9,2,1,0,186,123,223,34.962406015037594,23.1203007518797,41.91729323308271,20.666666666666668,61.5,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,10,6,2,1,1,229,123,180,43.045112781954884,23.1203007518797,33.83458646616541,38.166666666666664,61.5,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,68,13,53,1,1,182,69,281,34.21052631578947,12.969924812030076,52.819548872180455,14.0,1.3018867924528301,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,6,2,2,1,1,190,123,219,35.714285714285715,23.1203007518797,41.16541353383459,95.0,61.5,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,9,5,2,1,1,211,123,198,39.661654135338345,23.1203007518797,37.21804511278196,42.2,61.5,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,60,5,53,1,1,187,69,276,35.150375939849624,12.969924812030076,51.8796992481203,37.4,1.3018867924528301,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,67,49,18,0,0,161,123,248,30.263157894736842,23.1203007518797,46.616541353383454,3.2857142857142856,6.833333333333333,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,39,27,12,0,0,181,131,220,34.02255639097744,24.62406015037594,41.35338345864661,6.703703703703703,10.916666666666666,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,5,2,3,0,0,208,140,184,39.097744360902254,26.31578947368421,34.58646616541353,104.0,46.666666666666664,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,37,27,10,0,0,181,133,218,34.02255639097744,25.0,40.97744360902256,6.703703703703703,13.3,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,19,16,2,1,0,193,140,199,36.278195488721806,26.31578947368421,37.40601503759399,12.0625,70.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,10,6,2,1,1,229,140,163,43.045112781954884,26.31578947368421,30.639097744360903,38.166666666666664,70.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,85,20,63,1,1,189,79,264,35.526315789473685,14.849624060150376,49.62406015037594,9.45,1.253968253968254,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,15,11,2,1,1,199,140,193,37.40601503759399,26.31578947368421,36.278195488721806,18.09090909090909,70.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,9,5,2,1,1,211,140,181,39.661654135338345,26.31578947368421,34.02255639097744,42.2,70.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,79,14,63,1,1,196,79,257,36.84210526315789,14.849624060150376,48.30827067669173,14.0,1.253968253968254,True,
