equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rbo_100_equity_concave,137127.55780000013,1271.2755780000014,-96.29548132554969,rbo_20__rbo_100,23.0,rbo_20__rbo_100
rbo_20__rbo_100_equity_convex,115548.84250000017,1055.4884250000016,-95.16804634990712,rbo_20__rbo_100,23.0,rbo_20__rbo_100
rbo_20__rtt_5020_equity_concave,106748.98190000004,967.4898190000004,-96.06174352334573,rbo_20__rtt_5020,8.0,rbo_20__rtt_5020
rbo_20__rtt_5020_equity_convex,98847.74870000003,888.4774870000003,-95.14302490828254,rbo_20__rtt_5020,8.0,rbo_20__rtt_5020
rbo_20__rbo_50_equity_concave,89466.79030000018,794.6679030000018,-95.50577803158673,rbo_20__rbo_50,50.0,rbo_20__rbo_50
rtt_5020__rbo_100_equity_concave,78885.38159999996,688.8538159999997,-93.9103812223757,rtt_5020__rbo_100,4.0,rtt_5020__rbo_100
rbo_20__rbo_50_equity_convex,77676.24370000012,676.7624370000012,-94.01882654564358,rbo_20__rbo_50,50.0,rbo_20__rbo_50
rtt_5020__rbo_100_equity_convex,76773.02089999994,667.7302089999994,-93.744172625379,rtt_5020__rbo_100,4.0,rtt_5020__rbo_100
rbo_20__rbo_20_equity_concave,58595.10229999998,485.9510229999998,-93.28669431600179,rbo_20__rbo_20,11.0,rbo_20__rbo_20
rtt_5020__rbo_50_equity_concave,54360.6089,443.606089,-92.60985319936435,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_concave,54360.6089,443.606089,-92.60985319936435,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020
rtt_5020__rtt_5020_equity_convex,53739.23490000003,437.3923490000003,-92.52437220829806,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020
rtt_5020__rbo_50_equity_convex,53739.23490000003,437.3923490000003,-92.52437220829806,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50
rsma_50100150__rbo_100_equity_convex,46715.38239999999,367.1538239999999,-89.51250416474089,rsma_50100150__rbo_100,9.0,rsma_50100150__rbo_100
rsma_50100150__rbo_100_equity_concave,46166.7645,361.667645,-89.51250416474089,rsma_50100150__rbo_100,9.0,rsma_50100150__rbo_100
rbo_20__rbo_20_equity_convex,44125.57530000004,341.2557530000004,-89.80532030286228,rbo_20__rbo_20,11.0,rbo_20__rbo_20
rtt_5020__rbo_20_equity_concave,40800.621699999945,308.0062169999994,-89.66915803980257,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rbo_50__rbo_100_equity_concave,38928.83030000001,289.2883030000001,-97.0004982218033,rbo_50__rbo_100,4.0,rbo_50__rbo_100
rbo_50__rbo_100_equity_convex,34344.22800000003,243.44228000000032,-96.60107075303593,rbo_50__rbo_100,4.0,rbo_50__rbo_100
rbo_100__rbo_100_equity_concave,33367.64409999998,233.67644099999984,-91.95775344008527,rbo_100__rbo_100,3.0,rbo_100__rbo_100
rbo_100__rbo_100_equity_convex,33367.64409999998,233.67644099999984,-91.95775344008527,rbo_100__rbo_100,3.0,rbo_100__rbo_100
rtt_5020__rbo_20_equity_convex,30873.877899999985,208.73877899999985,-84.74249993400527,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rema_50100150__rbo_100_equity_concave,30660.942700000018,206.60942700000015,-85.80225476211896,rema_50100150__rbo_100,16.0,rema_50100150__rbo_100
rbo_50__rbo_50_equity_concave,28832.9799,188.329799,-96.61372359496522,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rbo_50__rtt_5020_equity_concave,28832.9799,188.329799,-96.61372359496522,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_100__rbo_50_equity_concave,28779.803100000023,187.7980310000002,-91.95775344008527,rbo_100__rbo_50,62.0,rbo_100__rbo_50
rbo_100__rbo_50_equity_convex,28693.130400000002,186.931304,-91.95775344008527,rbo_100__rbo_50,62.0,rbo_100__rbo_50
rsma_50100150__rbo_20_equity_convex,28161.97929999999,181.6197929999999,-84.5444809475126,rsma_50100150__rbo_20,47.0,rsma_50100150__rbo_20
rbo_50__rtt_5020_equity_convex,26501.881300000005,165.01881300000005,-96.31209605877403,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_convex,26501.881300000005,165.01881300000005,-96.31209605877403,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rbo_100__rtt_5020_equity_concave,26177.936,161.77936000000003,-91.95775344008527,rbo_100__rtt_5020,36.0,rbo_100__rtt_5020
rbo_100__rtt_5020_equity_convex,26094.158200000016,160.94158200000015,-91.95775344008527,rbo_100__rtt_5020,36.0,rbo_100__rtt_5020
rsma_50100150__rtt_5020_equity_concave,25843.461500000023,158.43461500000024,-84.50422668678765,rsma_50100150__rtt_5020,20.0,rsma_50100150__rtt_5020
rsma_50100150__rtt_5020_equity_convex,25769.084800000004,157.69084800000007,-84.50422668678765,rsma_50100150__rtt_5020,20.0,rsma_50100150__rtt_5020
rsma_50100150__rbo_20_equity_concave,25763.265799999994,157.63265799999994,-84.5444809475126,rsma_50100150__rbo_20,47.0,rsma_50100150__rbo_20
rtt_5020_equity_convex,24992.68559999997,149.92685599999973,-87.39484874197373,rtt_5020,,rtt_5020
rtt_5020__rsma_50100150_equity_convex,23820.169099999977,138.20169099999978,-84.92918913464452,rtt_5020__rsma_50100150,17.0,rtt_5020__rsma_50100150
rema_50100150__rbo_100_equity_convex,23474.72030000001,134.74720300000013,-77.28169177042751,rema_50100150__rbo_100,16.0,rema_50100150__rbo_100
rbo_20__rema_50100150_equity_convex,22950.6872,129.50687200000002,-83.52767597576369,rbo_20__rema_50100150,43.0,rbo_20__rema_50100150
rbo_20__rema_50100150_equity_concave,22244.430100000027,122.44430100000025,-83.91246271394557,rbo_20__rema_50100150,43.0,rbo_20__rema_50100150
rsma_50100150__rbo_50_equity_concave,21956.663700000012,119.5666370000001,-84.50422668678765,rsma_50100150__rbo_50,37.0,rsma_50100150__rbo_50
rsma_50100150__rbo_50_equity_convex,21936.092000000008,119.36092000000009,-84.50422668678765,rsma_50100150__rbo_50,37.0,rsma_50100150__rbo_50
rema_50100150__rtt_5020_equity_concave,21893.20070000002,118.93200700000017,-84.28328381223619,rema_50100150__rtt_5020,27.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_concave,21226.719500000007,112.26719500000009,-84.28328381223619,rema_50100150__rbo_20,53.0,rema_50100150__rbo_20
rtt_5020__rema_50100150_equity_convex,20946.436199999986,109.46436199999985,-78.6574943186139,rtt_5020__rema_50100150,20.0,rtt_5020__rema_50100150
rtt_5020__rema_50100150_equity_concave,20522.767800000027,105.22767800000028,-79.13918669321896,rtt_5020__rema_50100150,20.0,rtt_5020__rema_50100150
rtt_5020_equity_concave,20048.162899999978,100.48162899999977,-87.2929861205925,rtt_5020,,rtt_5020
rtt_5020__rsma_50100150_equity_concave,19050.69609999999,90.5069609999999,-87.8720707941191,rtt_5020__rsma_50100150,17.0,rtt_5020__rsma_50100150
rbo_20__rsma_50100150_equity_convex,18817.41010000012,88.1741010000012,-91.91902208172534,rbo_20__rsma_50100150,46.0,rbo_20__rsma_50100150
rema_50100150__rtt_5020_equity_convex,17244.984400000012,72.44984400000011,-78.06321338697403,rema_50100150__rtt_5020,27.0,rema_50100150__rtt_5020
rema_50100150__rbo_20_equity_convex,17236.228,72.36228,-78.06321338697403,rema_50100150__rbo_20,53.0,rema_50100150__rbo_20
rema_50100150__rbo_50_equity_concave,17102.77500000001,71.02775000000008,-80.29741514229961,rema_50100150__rbo_50,48.0,rema_50100150__rbo_50
rbo_20__rsma_50100150_equity_concave,16386.26730000008,63.86267300000079,-93.47560960335613,rbo_20__rsma_50100150,46.0,rbo_20__rsma_50100150
rema_50100150__rbo_50_equity_convex,13813.080300000025,38.13080300000025,-72.42530522521523,rema_50100150__rbo_50,48.0,rema_50100150__rbo_50
rbo_50__rema_50100150_equity_convex,11261.704000000029,12.61704000000028,-90.3703085598169,rbo_50__rema_50100150,29.0,rbo_50__rema_50100150
rbo_50__rsma_50100150_equity_convex,11249.984300000027,12.499843000000265,-94.33929494175017,rbo_50__rsma_50100150,25.0,rbo_50__rsma_50100150
rrg_equity_equal,10448.150000000009,4.481500000000094,-6.6710886395009386,rrg,,rrg
rsma_50100150__rbo_100_equity_equal,10439.819200000002,4.398192000000023,-5.496899476125837,rsma_50100150__rbo_100,9.0,rsma_50100150__rbo_100
rbo_100__rbo_50_equity_equal,10388.450300000011,3.884503000000117,-5.723337786381122,rbo_100__rbo_50,62.0,rbo_100__rbo_50
rsma_50100150__rbo_20_equity_equal,10387.149500000001,3.8714950000000137,-5.007646362009944,rsma_50100150__rbo_20,47.0,rsma_50100150__rbo_20
rbo_100__rbo_100_equity_equal,10364.711100000004,3.647111000000036,-5.852016026603911,rbo_100__rbo_100,3.0,rbo_100__rbo_100
rbo_100__rbo_20_equity_equal,10363.994400000001,3.639944000000006,-6.1482496601823,rbo_100__rbo_20,73.0,rbo_100__rbo_20
rbo_100__rtt_5020_equity_equal,10362.144100000003,3.6214410000000363,-6.027607033247545,rbo_100__rtt_5020,36.0,rbo_100__rtt_5020
rbo_50__rema_50100150_equity_concave,10353.0306,3.530305999999994,-89.82504812042916,rbo_50__rema_50100150,29.0,rbo_50__rema_50100150
rtt_5020__rbo_20_equity_equal,10350.056200000003,3.500562000000018,-4.991101914919462,rtt_5020__rbo_20,8.0,rtt_5020__rbo_20
rsma_50100150__rtt_5020_equity_equal,10345.433700000003,3.4543370000000406,-5.115391497073362,rsma_50100150__rtt_5020,20.0,rsma_50100150__rtt_5020
rbo_100_equity_equal,10262.699600000016,2.626996000000159,-6.776956646256467,rbo_100,,rbo_100
rbo_20__rbo_20_equity_equal,10248.705899999995,2.487058999999947,-4.960128624731382,rbo_20__rbo_20,11.0,rbo_20__rbo_20
rsma_50100150__rema_50100150_equity_convex,10246.544100000001,2.4654410000000127,-63.56004080377383,rsma_50100150__rema_50100150,21.0,rsma_50100150__rema_50100150
rbo_50__rbo_100_equity_equal,10234.604000000005,2.346040000000049,-5.2065023399598305,rbo_50__rbo_100,4.0,rbo_50__rbo_100
rbo_100__rsma_50100150_equity_equal,10218.419400000008,2.1841940000000726,-5.189483588545308,rbo_100__rsma_50100150,57.0,rbo_100__rsma_50100150
rbo_50__rtt_5020_equity_equal,10184.97830000001,1.8497830000000937,-5.227805304929642,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020
rbo_50__rbo_50_equity_equal,10184.97830000001,1.8497830000000937,-5.227805304929642,rbo_50__rbo_50,5.0,rbo_50__rbo_50
rema_50100150__rbo_100_equity_equal,10180.954499999996,1.809544999999968,-5.197137090351213,rema_50100150__rbo_100,16.0,rema_50100150__rbo_100
rsma_50100150__rsma_50100150_equity_equal,10177.968200000008,1.7796820000000935,-5.115391497073362,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150
rsma_50100150__rbo_50_equity_equal,10159.88990000001,1.598899000000098,-5.115391497073362,rsma_50100150__rbo_50,37.0,rsma_50100150__rbo_50
rbo_50__rbo_20_equity_equal,10148.993900000009,1.4899390000000956,-5.102358323714654,rbo_50__rbo_20,54.0,rbo_50__rbo_20
rema_50100150__rema_50100150_equity_equal,10131.096100000002,1.3109610000000327,-4.739477272531331,rema_50100150__rema_50100150,5.0,rema_50100150__rema_50100150
rtt_5020__rbo_100_equity_equal,10104.955000000004,1.0495500000000435,-5.272058883799905,rtt_5020__rbo_100,4.0,rtt_5020__rbo_100
rsma_50100150__rema_50100150_equity_equal,10075.187700000002,0.7518770000000119,-4.926975576192426,rsma_50100150__rema_50100150,21.0,rsma_50100150__rema_50100150
rbo_100__rema_50100150_equity_equal,10053.314799999996,0.5331479999999722,-4.823460449154005,rbo_100__rema_50100150,54.0,rbo_100__rema_50100150
rtt_5020__rbo_50_equity_equal,10042.636999999999,0.42636999999998704,-4.912194081759712,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50
rtt_5020__rtt_5020_equity_equal,10042.636999999999,0.42636999999998704,-4.912194081759712,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020
rbo_50__rsma_50100150_equity_equal,9987.720500000009,-0.12279499999992005,-5.193574849028676,rbo_50__rsma_50100150,25.0,rbo_50__rsma_50100150
