combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,11,8,3,0,0,221,58,258,41.154562383612664,10.800744878957168,48.04469273743017,27.625,19.333333333333332,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,51,31,20,0,0,268,43,226,49.906890130353815,8.007448789571695,42.08566108007449,8.64516129032258,2.15,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,23,2,20,0,1,336,43,158,62.56983240223464,8.007448789571695,29.42271880819367,168.0,2.15,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,8,5,3,0,0,293,62,182,54.56238361266295,11.54562383612663,33.89199255121043,58.6,20.666666666666668,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,46,30,15,0,1,279,49,209,51.955307262569825,9.124767225325884,38.91992551210428,9.3,3.2666666666666666,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,43,30,12,0,1,275,52,210,51.21042830540037,9.683426443202979,39.10614525139665,9.166666666666666,4.333333333333333,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,54,41,13,0,0,202,32,303,37.61638733705773,5.95903165735568,56.424581005586596,4.926829268292683,2.4615384615384617,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,4,1,0,0,240,44,253,44.6927374301676,8.193668528864059,47.113594040968344,60.0,44.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,4,2,1,0,1,314,44,179,58.47299813780261,8.193668528864059,33.33333333333333,157.0,44.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,4,1,0,0,240,44,253,44.6927374301676,8.193668528864059,47.113594040968344,60.0,44.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,25,23,1,0,1,257,44,236,47.8584729981378,8.193668528864059,43.947858472998135,11.173913043478262,44.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,29,27,1,0,1,249,44,244,46.36871508379888,8.193668528864059,45.43761638733706,9.222222222222221,44.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,73,73,0,0,0,290,0,247,54.00372439478585,0.0,45.99627560521415,3.9726027397260273,0.0,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,63,63,0,0,0,300,0,237,55.865921787709496,0.0,44.134078212290504,4.761904761904762,0.0,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,3,0,0,0,360,0,177,67.0391061452514,0.0,32.960893854748605,120.0,0.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,36,36,0,0,0,327,0,210,60.893854748603346,0.0,39.10614525139665,9.083333333333334,0.0,True,
