equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rtt_5020_equity_constant,17054.376999999993,70.54376999999994,-46.61651140935842,rtt_5020,,rtt_5020_equity_constant
rema_50100150__rtt_5020_equity_convex,16559.3484,65.59348399999998,-60.004641061451245,rema_50100150__rtt_5020,10.0,rema_50100150__rtt_5020_equity_convex
rema_50100150__rbo_50_equity_convex,16559.3484,65.59348399999998,-60.004641061451245,rema_50100150__rbo_50,10.0,rema_50100150__rbo_50_equity_convex
rema_50100150__rtt_5020_equity_concave,16365.809399999995,63.658093999999956,-60.004641061451245,rema_50100150__rtt_5020,10.0,rema_50100150__rtt_5020_equity_concave
rema_50100150__rbo_50_equity_concave,16365.809399999995,63.658093999999956,-60.004641061451245,rema_50100150__rbo_50,10.0,rema_50100150__rbo_50_equity_concave
rbo_100__rsma_50100150_equity_constant,16299.778800000022,62.99778800000022,-43.81570932729476,rbo_100__rsma_50100150,96.0,rbo_100__rsma_50100150_equity_constant
rema_50100150__rbo_20_equity_convex,15814.9213,58.149213,-63.16722199814389,rema_50100150__rbo_20,22.0,rema_50100150__rbo_20_equity_convex
rbo_50__rsma_100150_equity_constant,15612.491100000001,56.12491100000001,-41.34238385570642,rbo_50__rsma_100150,16.0,rbo_50__rsma_100150_equity_constant
rbo_100__rsma_100150_equity_constant,15612.491100000001,56.12491100000001,-41.34238385570642,rbo_100__rsma_100150,16.0,rbo_100__rsma_100150_equity_constant
rtt_5020__rsma_100150_equity_constant,15612.491100000001,56.12491100000001,-41.34238385570642,rtt_5020__rsma_100150,16.0,rtt_5020__rsma_100150_equity_constant
rbo_20__rsma_100150_equity_constant,15612.491100000001,56.12491100000001,-41.34238385570642,rbo_20__rsma_100150,16.0,rbo_20__rsma_100150_equity_constant
rema_100150__rsma_50100150_equity_constant,15333.590199999999,53.335901999999976,-44.80150121659053,rema_100150__rsma_50100150,96.0,rema_100150__rsma_50100150_equity_constant
rema_50100150__rbo_20_equity_concave,15244.855799999987,52.448557999999856,-65.91035993468057,rema_50100150__rbo_20,22.0,rema_50100150__rbo_20_equity_concave
rsma_50100150__rsma_100150_equity_constant,15020.679900000005,50.206799000000046,-43.65160794086299,rsma_50100150__rsma_100150,16.0,rsma_50100150__rsma_100150_equity_constant
rema_50100__rsma_50100150_equity_constant,15003.318999999996,50.03318999999995,-45.20866349639035,rema_50100__rsma_50100150,96.0,rema_50100__rsma_50100150_equity_constant
rema_50100__rema_50100150_equity_constant,15002.688199999997,50.02688199999996,-45.206359750914494,rema_50100__rema_50100150,124.0,rema_50100__rema_50100150_equity_constant
rsma_100150__rsma_100150_equity_constant,14952.212800000008,49.52212800000009,-43.3935851956308,rsma_100150__rsma_100150,3.0,rsma_100150__rsma_100150_equity_constant
rema_100150__rsma_100150_equity_constant,14898.051700000005,48.980517000000056,-43.1877954887216,rema_100150__rsma_100150,13.0,rema_100150__rsma_100150_equity_constant
rsma_50100__rsma_100150_equity_constant,14810.528699999999,48.10528699999998,-44.49543857269592,rsma_50100__rsma_100150,16.0,rsma_50100__rsma_100150_equity_constant
rema_50100__rsma_100150_equity_constant,14810.528699999999,48.10528699999998,-44.49543857269592,rema_50100__rsma_100150,16.0,rema_50100__rsma_100150_equity_constant
rema_100150__rsma_50100_equity_constant,14053.686499999989,40.53686499999989,-39.774438543224946,rema_100150__rsma_50100,23.0,rema_100150__rsma_50100_equity_constant
rema_50100__rsma_50100_equity_constant,13789.03640000001,37.8903640000001,-40.383658715992695,rema_50100__rsma_50100,23.0,rema_50100__rsma_50100_equity_constant
rsma_100150__rsma_50100150_equity_constant,13777.97249999999,37.77972499999991,-38.56925175311536,rsma_100150__rsma_50100150,96.0,rsma_100150__rsma_50100150_equity_constant
rsma_100150__rsma_50100_equity_constant,13478.618300000002,34.78618300000002,-37.204901781364406,rsma_100150__rsma_50100,23.0,rsma_100150__rsma_50100_equity_constant
rsma_100150__rema_100150_equity_constant,13222.958200000005,32.22958200000006,-35.99078608597591,rsma_100150__rema_100150,2.0,rsma_100150__rema_100150_equity_constant
rsma_100150__rema_50100_equity_constant,13222.958200000005,32.22958200000006,-35.99078608597591,rsma_100150__rema_50100,2.0,rsma_100150__rema_50100_equity_constant
rbo_50__rema_100150_equity_constant,13124.860100000002,31.248601000000022,-30.224665023286633,rbo_50__rema_100150,5.0,rbo_50__rema_100150_equity_constant
rbo_20__rema_100150_equity_constant,13124.860100000002,31.248601000000022,-30.224665023286633,rbo_20__rema_100150,5.0,rbo_20__rema_100150_equity_constant
rtt_5020__rema_100150_equity_constant,13124.860100000002,31.248601000000022,-30.224665023286633,rtt_5020__rema_100150,5.0,rtt_5020__rema_100150_equity_constant
rbo_100__rema_100150_equity_constant,13124.860100000002,31.248601000000022,-30.224665023286633,rbo_100__rema_100150,5.0,rbo_100__rema_100150_equity_constant
rema_100150__rbo_20_equity_constant,13066.40549999999,30.66405499999989,-33.999620630172544,rema_100150__rbo_20,53.0,rema_100150__rbo_20_equity_constant
rema_50100__rbo_20_equity_constant,12941.174300000004,29.411743000000044,-34.365783945897356,rema_50100__rbo_20,54.0,rema_50100__rbo_20_equity_constant
rbo_50__rbo_20_equity_constant,12890.523699999987,28.90523699999987,-28.99201139516147,rbo_50__rbo_20,26.0,rbo_50__rbo_20_equity_constant
rbo_50__rema_50100_equity_constant,12875.099499999995,28.750994999999957,-28.871112025192485,rbo_50__rema_50100,2.0,rbo_50__rema_50100_equity_constant
rbo_100__rema_50100_equity_constant,12875.099499999995,28.750994999999957,-28.871112025192485,rbo_100__rema_50100,2.0,rbo_100__rema_50100_equity_constant
rbo_20__rema_50100_equity_constant,12875.099499999995,28.750994999999957,-28.871112025192485,rbo_20__rema_50100,2.0,rbo_20__rema_50100_equity_constant
rtt_5020__rema_50100_equity_constant,12875.099499999995,28.750994999999957,-28.871112025192485,rtt_5020__rema_50100,2.0,rtt_5020__rema_50100_equity_constant
rbo_20__rsma_50100150_equity_constant,12779.00570000002,27.79005700000019,-32.249963111841815,rbo_20__rsma_50100150,73.0,rbo_20__rsma_50100150_equity_constant
rbo_100__rsma_50100_equity_constant,12763.31720000001,27.633172000000105,-28.248158715353476,rbo_100__rsma_50100,22.0,rbo_100__rsma_50100_equity_constant
