equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_100150__rbo_50_equity_concave,79679.03259999995,696.7903259999995,-94.7681084659653,rsma_100150__rbo_50,70.0,rsma_100150__rbo_50_equity_concave
rbo_100__rtt_5020_equity_concave,72117.0631999998,621.170631999998,-98.57943733673497,rbo_100__rtt_5020,30.0,rbo_100__rtt_5020_equity_concave
rbo_100__rsma_50100150_equity_concave,64614.51209999988,546.1451209999989,-98.47871352842516,rbo_100__rsma_50100150,38.0,rbo_100__rsma_50100150_equity_concave
rsma_100150__rbo_50_equity_convex,61513.33499999995,515.1333499999995,-92.38740181926141,rsma_100150__rbo_50,70.0,rsma_100150__rbo_50_equity_convex
rbo_100__rsma_100150_equity_concave,59558.398300000015,495.5839830000001,-98.13461886445083,rbo_100__rsma_100150,4.0,rbo_100__rsma_100150_equity_concave
rbo_100__rtt_5020_equity_convex,59507.79339999995,495.0779339999995,-98.15479853896726,rbo_100__rtt_5020,30.0,rbo_100__rtt_5020_equity_convex
rsma_100150__rbo_100_equity_concave,56232.30609999981,462.3230609999982,-94.51228521409647,rsma_100150__rbo_100,29.0,rsma_100150__rbo_100_equity_concave
rsma_100150__rbo_100_equity_convex,56127.48739999984,461.27487399999836,-94.42054110341375,rsma_100150__rbo_100,29.0,rsma_100150__rbo_100_equity_convex
rbo_100__rsma_100150_equity_convex,55242.25570000002,452.4225570000002,-97.94267774669973,rbo_100__rsma_100150,4.0,rbo_100__rsma_100150_equity_convex
rbo_100__rema_50100150_equity_concave,55210.92269999989,452.1092269999989,-98.30603566174123,rbo_100__rema_50100150,42.0,rbo_100__rema_50100150_equity_concave
rbo_100__rbo_50_equity_concave,54601.3578999998,446.013578999998,-98.07822827763954,rbo_100__rbo_50,45.0,rbo_100__rbo_50_equity_concave
rsma_100150__rema_50100_equity_concave,53426.68529999985,434.2668529999985,-94.51228521409647,rsma_100150__rema_50100,26.0,rsma_100150__rema_50100_equity_concave
rsma_100150__rema_50100_equity_convex,52897.58179999983,428.9758179999983,-94.42054110341375,rsma_100150__rema_50100,26.0,rsma_100150__rema_50100_equity_convex
rsma_50100150__rbo_100_equity_convex,51004.054399999986,410.04054399999984,-92.19836966458492,rsma_50100150__rbo_100,61.0,rsma_50100150__rbo_100_equity_convex
rsma_50100150__rbo_100_equity_concave,48886.146899999956,388.86146899999954,-92.29812213411681,rsma_50100150__rbo_100,61.0,rsma_50100150__rbo_100_equity_concave
rbo_100__rema_100150_equity_concave,46395.88530000003,363.95885300000026,-98.13461886445083,rbo_100__rema_100150,4.0,rbo_100__rema_100150_equity_concave
rsma_50100150__rema_50100_equity_concave,45952.918699999944,359.5291869999994,-92.29812213411681,rsma_50100150__rema_50100,61.0,rsma_50100150__rema_50100_equity_concave
rsma_50100150__rema_50100_equity_convex,45363.03359999999,353.6303359999999,-92.19836966458492,rsma_50100150__rema_50100,61.0,rsma_50100150__rema_50100_equity_convex
rsma_50100150__rsma_50100_equity_convex,45255.778199999964,352.55778199999963,-89.6386355749303,rsma_50100150__rsma_50100,68.0,rsma_50100150__rsma_50100_equity_convex
