combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,9,5,4,0,0,110,99,322,20.715630885122412,18.64406779661017,60.64030131826742,22.0,24.75,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,53,21,32,0,0,143,72,316,26.93032015065913,13.559322033898304,59.51035781544256,6.809523809523809,2.25,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,42,26,16,0,0,147,124,260,27.683615819209038,23.35216572504708,48.96421845574388,5.653846153846154,7.75,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,8,4,4,0,0,161,100,270,30.32015065913371,18.832391713747647,50.847457627118644,40.25,25.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,42,26,16,0,0,141,109,281,26.55367231638418,20.527306967984934,52.91902071563088,5.423076923076923,6.8125,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,38,21,16,0,1,179,129,223,33.70998116760829,24.293785310734464,41.99623352165725,8.523809523809524,8.0625,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,42,7,34,1,0,222,67,242,41.80790960451977,12.617702448210924,45.5743879472693,31.714285714285715,1.9705882352941178,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,42,26,16,0,0,153,124,254,28.8135593220339,23.35216572504708,47.83427495291902,5.884615384615385,7.75,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,16,6,9,0,1,208,135,188,39.1713747645951,25.423728813559322,35.40489642184557,34.666666666666664,15.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,50,22,27,1,0,176,73,282,33.14500941619586,13.74764595103578,53.10734463276836,8.0,2.7037037037037037,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,30,28,2,0,0,97,41,393,18.267419962335214,7.721280602636535,74.01129943502825,3.4642857142857144,20.5,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,3,2,0,0,123,42,366,23.163841807909606,7.909604519774012,68.92655367231639,41.0,21.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,15,13,2,0,0,125,102,304,23.540489642184557,19.2090395480226,57.250470809792844,9.615384615384615,51.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,3,2,0,0,123,42,366,23.163841807909606,7.909604519774012,68.92655367231639,41.0,21.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,15,13,2,0,0,119,87,325,22.4105461393597,16.38418079096045,61.20527306967985,9.153846153846153,43.5,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,15,12,2,0,1,161,107,263,30.32015065913371,20.15065913370998,49.52919020715631,13.416666666666666,53.5,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,13,3,9,1,0,198,34,299,37.28813559322034,6.4030131826742,56.30885122410546,66.0,3.7777777777777777,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,15,13,2,0,0,131,102,298,24.670433145009415,19.2090395480226,56.12052730696798,10.076923076923077,51.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,4,1,2,0,1,194,107,230,36.53483992467043,20.15065913370998,43.314500941619585,194.0,53.5,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,23,13,10,0,0,131,34,366,24.670433145009415,6.4030131826742,68.92655367231639,10.076923076923077,3.4,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,54,33,21,0,0,93,83,355,17.51412429378531,15.630885122410545,66.85499058380414,2.8181818181818183,3.9523809523809526,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,45,13,32,0,0,113,72,346,21.28060263653484,13.559322033898304,65.16007532956685,8.692307692307692,2.25,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,125,102,304,23.540489642184557,19.2090395480226,57.250470809792844,62.5,51.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,30,9,21,0,0,117,83,331,22.033898305084744,15.630885122410545,62.335216572504706,13.0,3.9523809523809526,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,14,5,9,0,0,122,94,315,22.975517890772128,17.702448210922785,59.32203389830508,24.4,10.444444444444445,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,4,1,2,0,1,161,107,263,30.32015065913371,20.15065913370998,49.52919020715631,161.0,53.5,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,38,4,33,0,1,122,76,333,22.975517890772128,14.312617702448211,62.71186440677966,30.5,2.303030303030303,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,4,2,2,0,0,131,102,298,24.670433145009415,19.2090395480226,56.12052730696798,65.5,51.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,4,1,2,0,1,205,107,219,38.60640301318267,20.15065913370998,41.24293785310734,205.0,53.5,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,42,1,40,0,1,131,69,331,24.670433145009415,12.994350282485875,62.335216572504706,131.0,1.725,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,6,4,2,0,0,72,41,418,13.559322033898304,7.721280602636535,78.71939736346516,18.0,20.5,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,5,3,2,0,0,123,42,366,23.163841807909606,7.909604519774012,68.92655367231639,41.0,21.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,14,12,2,0,0,124,102,305,23.35216572504708,19.2090395480226,57.43879472693032,10.333333333333334,51.0,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,5,3,2,0,0,123,42,366,23.163841807909606,7.909604519774012,68.92655367231639,41.0,21.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,14,12,2,0,0,118,87,326,22.22222222222222,16.38418079096045,61.39359698681732,9.833333333333334,43.5,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,14,11,2,0,1,160,107,264,30.131826741996232,20.15065913370998,49.717514124293785,14.545454545454545,53.5,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,12,3,8,1,0,198,33,300,37.28813559322034,6.214689265536723,56.49717514124294,66.0,4.125,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,14,12,2,0,0,130,102,299,24.48210922787194,19.2090395480226,56.30885122410546,10.833333333333334,51.0,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,4,1,2,0,1,194,107,230,36.53483992467043,20.15065913370998,43.314500941619585,194.0,53.5,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,21,12,9,0,0,130,33,368,24.48210922787194,6.214689265536723,69.30320150659134,10.833333333333334,3.6666666666666665,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,48,30,18,0,0,90,88,353,16.94915254237288,16.57250470809793,66.47834274952919,3.0,4.888888888888889,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,43,10,33,0,0,110,73,348,20.715630885122412,13.74764595103578,65.5367231638418,11.0,2.212121212121212,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,4,2,2,0,0,125,120,286,23.540489642184557,22.598870056497177,53.86064030131826,62.5,60.0,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,24,6,18,0,0,114,88,329,21.468926553672315,16.57250470809793,61.95856873822976,19.0,4.888888888888889,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,4,2,2,0,0,119,105,307,22.4105461393597,19.774011299435028,57.81544256120527,59.5,52.5,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,4,1,2,0,1,161,125,245,30.32015065913371,23.540489642184557,46.13935969868173,161.0,62.5,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,34,2,32,0,0,119,74,338,22.4105461393597,13.93596986817326,63.653483992467045,59.5,2.3125,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,4,2,2,0,0,131,120,280,24.670433145009415,22.598870056497177,52.730696798493405,65.5,60.0,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,4,1,2,0,1,205,125,201,38.60640301318267,23.540489642184557,37.85310734463277,205.0,62.5,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,34,2,32,0,0,131,74,326,24.670433145009415,13.93596986817326,61.39359698681732,65.5,2.3125,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,76,46,29,0,1,144,93,294,27.11864406779661,17.51412429378531,55.367231638418076,3.130434782608696,3.206896551724138,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,70,30,40,0,0,130,55,346,24.48210922787194,10.357815442561206,65.16007532956685,4.333333333333333,1.375,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,29,19,10,0,0,142,85,304,26.741996233521657,16.0075329566855,57.250470809792844,7.473684210526316,8.5,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,52,22,29,0,1,171,93,267,32.20338983050847,17.51412429378531,50.282485875706215,7.7727272727272725,3.206896551724138,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,40,22,18,0,0,139,78,314,26.17702448210923,14.689265536723164,59.133709981167605,6.318181818181818,4.333333333333333,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,4,1,3,0,0,160,93,278,30.131826741996232,17.51412429378531,52.35404896421846,160.0,31.0,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,55,22,32,1,0,240,63,228,45.19774011299435,11.864406779661017,42.93785310734463,10.909090909090908,1.96875,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,26,16,10,0,0,145,85,301,27.30696798493409,16.0075329566855,56.685499058380415,9.0625,8.5,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,4,1,3,0,0,204,107,220,38.4180790960452,20.15065913370998,41.431261770244824,204.0,35.666666666666664,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,57,16,41,0,0,145,69,317,27.30696798493409,12.994350282485875,59.69868173258004,9.0625,1.6829268292682926,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,77,60,16,0,1,159,43,329,29.943502824858758,8.097928436911488,61.95856873822976,2.65,2.6875,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,65,49,16,0,0,171,16,344,32.20338983050847,3.0131826741996233,64.7834274952919,3.489795918367347,1.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,61,52,9,0,0,175,23,333,32.95668549905838,4.3314500941619585,62.71186440677966,3.3653846153846154,2.5555555555555554,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,51,34,16,0,1,185,43,303,34.83992467043315,8.097928436911488,57.06214689265536,5.4411764705882355,2.6875,True,
rsma_50100150__rsma_50100,rsma_50100150,rsma_50100,rrg,rsma_50100150__rsma_50100,68,52,16,0,0,169,16,346,31.826741996233523,3.0131826741996233,65.16007532956685,3.25,1.0,True,
rsma_50100150__rsma_100150,rsma_50100150,rsma_100150,rrg,rsma_50100150__rsma_100150,53,51,2,0,0,210,31,290,39.548022598870055,5.83804143126177,54.61393596986818,4.117647058823529,15.5,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,4,2,2,0,0,219,31,281,41.24293785310734,5.83804143126177,52.91902071563088,109.5,15.5,True,
rsma_50100150__rema_50100,rsma_50100150,rema_50100,rrg,rsma_50100150__rema_50100,61,52,9,0,0,181,23,327,34.08662900188324,4.3314500941619585,61.5819209039548,3.480769230769231,2.5555555555555554,True,
rsma_50100150__rema_100150,rsma_50100150,rema_100150,rrg,rsma_50100150__rema_100150,31,29,2,0,0,232,45,254,43.69114877589454,8.47457627118644,47.83427495291902,8.0,22.5,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,33,24,9,0,0,209,38,284,39.35969868173258,7.1563088512241055,53.483992467043315,8.708333333333334,4.222222222222222,True,
rema_50100__rbo_20,rema_50100,rbo_20,rrg,rema_50100__rbo_20,62,36,26,0,0,96,96,339,18.07909604519774,18.07909604519774,63.84180790960452,2.6666666666666665,3.6923076923076925,True,
rema_50100__rbo_50,rema_50100,rbo_50,rrg,rema_50100__rbo_50,57,16,41,0,0,116,81,334,21.84557438794727,15.254237288135593,62.90018832391714,7.25,1.975609756097561,True,
rema_50100__rbo_100,rema_50100,rbo_100,rrg,rema_50100__rbo_100,7,5,2,0,0,128,120,283,24.105461393596986,22.598870056497177,53.29566854990584,25.6,60.0,True,
rema_50100__rtt_5020,rema_50100,rtt_5020,rrg,rema_50100__rtt_5020,38,12,26,0,0,120,96,315,22.598870056497177,18.07909604519774,59.32203389830508,10.0,3.6923076923076925,True,
rema_50100__rsma_50100,rema_50100,rsma_50100,rrg,rema_50100__rsma_50100,17,8,9,0,0,125,112,294,23.540489642184557,21.092278719397363,55.367231638418076,15.625,12.444444444444445,True,
rema_50100__rsma_100150,rema_50100,rsma_100150,rrg,rema_50100__rsma_100150,4,1,2,0,1,161,125,245,30.32015065913371,23.540489642184557,46.13935969868173,161.0,62.5,True,
rema_50100__rsma_50100150,rema_50100,rsma_50100150,rrg,rema_50100__rsma_50100150,41,7,33,0,1,125,94,312,23.540489642184557,17.702448210922785,58.75706214689266,17.857142857142858,2.8484848484848486,True,
rema_50100__rema_50100,rema_50100,rema_50100,rrg,rema_50100__rema_50100,4,2,2,0,0,131,120,280,24.670433145009415,22.598870056497177,52.730696798493405,65.5,60.0,True,
rema_50100__rema_100150,rema_50100,rema_100150,rrg,rema_50100__rema_100150,4,1,2,0,1,205,125,201,38.60640301318267,23.540489642184557,37.85310734463277,205.0,62.5,True,
rema_50100__rema_50100150,rema_50100,rema_50100150,rrg,rema_50100__rema_50100150,42,1,40,0,1,131,87,313,24.670433145009415,16.38418079096045,58.94538606403014,131.0,2.175,True,
rema_100150__rbo_20,rema_100150,rbo_20,rrg,rema_100150__rbo_20,83,53,29,0,1,151,93,287,28.436911487758948,17.51412429378531,54.048964218455744,2.849056603773585,3.206896551724138,True,
rema_100150__rbo_50,rema_100150,rbo_50,rrg,rema_100150__rbo_50,88,41,47,0,0,163,62,306,30.69679849340866,11.67608286252354,57.6271186440678,3.975609756097561,1.3191489361702127,True,
rema_100150__rbo_100,rema_100150,rbo_100,rrg,rema_100150__rbo_100,58,41,17,0,0,164,92,275,30.88512241054614,17.325800376647834,51.78907721280602,4.0,5.411764705882353,True,
rema_100150__rtt_5020,rema_100150,rtt_5020,rrg,rema_100150__rtt_5020,57,27,29,0,1,176,93,262,33.14500941619586,17.51412429378531,49.34086629001883,6.518518518518518,3.206896551724138,True,
rema_100150__rsma_50100,rema_100150,rsma_50100,rrg,rema_100150__rsma_50100,69,44,25,0,0,161,85,285,30.32015065913371,16.0075329566855,53.672316384180796,3.659090909090909,3.4,True,
rema_100150__rsma_100150,rema_100150,rsma_100150,rrg,rema_100150__rsma_100150,33,23,10,0,0,182,100,249,34.27495291902072,18.832391713747647,46.89265536723164,7.913043478260869,10.0,True,
rema_100150__rsma_50100150,rema_100150,rsma_50100150,rrg,rema_100150__rsma_50100150,62,22,39,1,0,240,70,221,45.19774011299435,13.182674199623351,41.6195856873823,10.909090909090908,1.794871794871795,True,
rema_100150__rema_50100,rema_100150,rema_50100,rrg,rema_100150__rema_50100,55,38,17,0,0,167,92,272,31.45009416195857,17.325800376647834,51.2241054613936,4.394736842105263,5.411764705882353,True,
rema_100150__rema_100150,rema_100150,rema_100150,rrg,rema_100150__rema_100150,4,1,3,0,0,204,107,220,38.4180790960452,20.15065913370998,41.431261770244824,204.0,35.666666666666664,True,
rema_100150__rema_50100150,rema_100150,rema_50100150,rrg,rema_100150__rema_50100150,79,38,40,1,0,224,69,238,42.18455743879473,12.994350282485875,44.8210922787194,5.894736842105263,1.725,True,
rema_50100150__rbo_20,rema_50100150,rbo_20,rrg,rema_50100150__rbo_20,68,58,9,0,1,129,36,366,24.293785310734464,6.779661016949152,68.92655367231639,2.2241379310344827,4.0,True,
rema_50100150__rbo_50,rema_50100150,rbo_50,rrg,rema_50100150__rbo_50,60,44,16,0,0,144,16,371,27.11864406779661,3.0131826741996233,69.86817325800376,3.272727272727273,1.0,True,
rema_50100150__rbo_100,rema_50100150,rbo_100,rrg,rema_50100150__rbo_100,49,33,16,0,0,156,16,359,29.37853107344633,3.0131826741996233,67.60828625235405,4.7272727272727275,1.0,True,
rema_50100150__rtt_5020,rema_50100150,rtt_5020,rrg,rema_50100150__rtt_5020,44,34,9,0,1,153,36,342,28.8135593220339,6.779661016949152,64.40677966101694,4.5,4.0,True,
rema_50100150__rsma_50100,rema_50100150,rsma_50100,rrg,rema_50100150__rsma_50100,52,36,16,0,0,153,16,362,28.8135593220339,3.0131826741996233,68.17325800376648,4.25,1.0,True,
