equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100__rbo_20_equity_concave,26489.898500000025,164.89898500000027,-82.82218174204445,rsma_50100__rbo_20,68.0,rsma_50100__rbo_20_equity_concave
rsma_50100__rbo_20_equity_convex,24345.586800000012,143.45586800000012,-81.07061219342255,rsma_50100__rbo_20,68.0,rsma_50100__rbo_20_equity_convex
rsma_50100150__rbo_20_equity_convex,14464.133099999997,44.641330999999965,-76.48099425022808,rsma_50100150__rbo_20,52.0,rsma_50100150__rbo_20_equity_convex
rsma_50100150__rbo_20_equity_concave,13389.130799999995,33.89130799999995,-78.22781769208909,rsma_50100150__rbo_20,52.0,rsma_50100150__rbo_20_equity_concave
rsma_100150__rbo_20_equity_convex,13350.562800000002,33.50562800000001,-65.26785532020905,rsma_100150__rbo_20,48.0,rsma_100150__rbo_20_equity_convex
rtt_5020__rbo_20_equity_convex,12598.430300000022,25.98430300000021,-82.8495246809566,rtt_5020__rbo_20,11.0,rtt_5020__rbo_20_equity_convex
rema_100150__rsma_50100150_equity_constant,11399.384200000008,13.993842000000068,-37.61343744778249,rema_100150__rsma_50100150,52.0,rema_100150__rsma_50100150_equity_constant
rema_100150__rema_50100150_equity_constant,10524.406899999998,5.2440689999999845,-30.894159658786087,rema_100150__rema_50100150,44.0,rema_100150__rema_50100150_equity_constant
rsma_100150__rbo_20_equity_concave,10419.1433,4.191433,-72.8926949939241,rsma_100150__rbo_20,48.0,rsma_100150__rbo_20_equity_concave
rema_100150__rsma_100150_equity_constant,10397.344800000015,3.973448000000146,-30.945428755708697,rema_100150__rsma_100150,31.0,rema_100150__rsma_100150_equity_constant
rema_100150__rsma_50100_equity_constant,10235.686599999999,2.356866000000002,-32.2717816496794,rema_100150__rsma_50100,22.0,rema_100150__rsma_50100_equity_constant
rsma_50100150_equity_equal,10169.533399999995,1.6953339999999484,-4.022890697822843,rsma_50100150,,rsma_50100150_equity_equal
rrg_equity_equal,10135.80869999999,1.358086999999908,-3.43311822915885,rrg,,rrg_equity_equal
rema_100150__rtt_5020_equity_constant,10122.289500000003,1.222895000000035,-23.853294023614694,rema_100150__rtt_5020,28.0,rema_100150__rtt_5020_equity_constant
rema_100150__rbo_100_equity_constant,10116.796100000003,1.1679610000000284,-26.434345189919938,rema_100150__rbo_100,15.0,rema_100150__rbo_100_equity_constant
rsma_50100__rsma_50100150_equity_equal,10086.452699999996,0.8645269999999705,-2.9408492408475566,rsma_50100__rsma_50100150,48.0,rsma_50100__rsma_50100150_equity_equal
rsma_50100150__rsma_50100150_equity_equal,10057.983499999993,0.5798349999999397,-2.894528408835039,rsma_50100150__rsma_50100150,8.0,rsma_50100150__rsma_50100150_equity_equal
rbo_20__rema_100150_equity_equal,10041.793299999988,0.41793299999988154,-2.547142631216574,rbo_20__rema_100150,43.0,rbo_20__rema_100150_equity_equal
rbo_20__rtt_5020_equity_equal,10039.392199999991,0.3939219999999022,-3.010968057133556,rbo_20__rtt_5020,7.0,rbo_20__rtt_5020_equity_equal
rbo_20__rema_50100150_equity_equal,10035.636599999993,0.35636599999993024,-2.862374449630574,rbo_20__rema_50100150,68.0,rbo_20__rema_50100150_equity_equal
rsma_50100__rbo_100_equity_equal,10030.495599999986,0.30495599999986744,-3.352000112105571,rsma_50100__rbo_100,11.0,rsma_50100__rbo_100_equity_equal
rsma_50100__rema_50100150_equity_equal,10028.976399999985,0.28976399999984803,-3.8069663006689,rsma_50100__rema_50100150,54.0,rsma_50100__rema_50100150_equity_equal
rsma_50100__rema_100150_equity_equal,10026.075599999986,0.2607559999998621,-3.2716045585738263,rsma_50100__rema_100150,31.0,rsma_50100__rema_100150_equity_equal
rsma_50100__rema_50100_equity_equal,10021.186899999986,0.21186899999985354,-2.9995702561545365,rsma_50100__rema_50100,22.0,rsma_50100__rema_50100_equity_equal
rsma_100150__rema_50100_equity_equal,10018.393000000004,0.18393000000003212,-2.9472207062793645,rsma_100150__rema_50100,12.0,rsma_100150__rema_50100_equity_equal
rbo_50__rsma_50100150_equity_equal,10010.594399999987,0.10594399999988013,-3.165199525100236,rbo_50__rsma_50100150,70.0,rbo_50__rsma_50100150_equity_equal
rema_100150_equity_equal,10006.473199999999,0.06473199999998958,-4.280620769764547,rema_100150,,rema_100150_equity_equal
rsma_100150_equity_equal,9992.140799999994,-0.07859200000006616,-4.968313902504223,rsma_100150,,rsma_100150_equity_equal
rsma_50100150__rema_50100150_equity_equal,9985.765400000008,-0.1423459999999266,-2.7731133194800757,rsma_50100150__rema_50100150,28.0,rsma_50100150__rema_50100150_equity_equal
rsma_100150__rema_100150_equity_equal,9978.850399999996,-0.21149600000004432,-2.7701317599278874,rsma_100150__rema_100150,12.0,rsma_100150__rema_100150_equity_equal
rbo_20__rbo_50_equity_equal,9974.150399999995,-0.25849600000005246,-3.568654832266205,rbo_20__rbo_50,30.0,rbo_20__rbo_50_equity_equal
rema_50100150_equity_equal,9972.331800000004,-0.27668199999996146,-3.7201489429069907,rema_50100150,,rema_50100150_equity_equal
rsma_50100150__rbo_20_equity_equal,9970.854299999992,-0.2914570000000838,-2.9288874114759675,rsma_50100150__rbo_20,52.0,rsma_50100150__rbo_20_equity_equal
rema_50100150__rema_50100150_equity_equal,9969.926199999989,-0.3007380000001114,-2.5747781439228143,rema_50100150__rema_50100150,7.0,rema_50100150__rema_50100150_equity_equal
rema_100150__rbo_50_equity_constant,9963.410599999996,-0.36589400000004435,-25.1835623664328,rema_100150__rbo_50,41.0,rema_100150__rbo_50_equity_constant
rbo_20__rsma_50100150_equity_equal,9956.097000000016,-0.4390299999998404,-3.3021836185127924,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150_equity_equal
rsma_100150__rbo_100_equity_equal,9953.149800000008,-0.46850199999991515,-3.129144743597545,rsma_100150__rbo_100,16.0,rsma_100150__rbo_100_equity_equal
rsma_50100150__rema_100150_equity_equal,9952.21090000001,-0.47789099999990814,-2.1460655238317248,rsma_50100150__rema_100150,29.0,rsma_50100150__rema_100150_equity_equal
rbo_20__rema_50100_equity_equal,9951.679799999993,-0.4832020000000714,-3.3150858590540655,rbo_20__rema_50100,28.0,rbo_20__rema_50100_equity_equal
